CMDLINE python collect_times.py
MEM 1.449219 1525738177.6947
MEM 7.019531 1525738177.7954
MEM 10.820312 1525738177.8958
MEM 13.898438 1525738177.9964
MEM 17.511719 1525738178.0970
MEM 20.960938 1525738178.1975
MEM 22.929688 1525738178.2980
MEM 26.339844 1525738178.3986
MEM 29.054688 1525738178.4993
MEM 32.742188 1525738178.5999
MEM 36.300781 1525738178.7004
MEM 39.460938 1525738178.8010
MEM 41.449219 1525738178.9015
MEM 43.871094 1525738179.0022
MEM 45.792969 1525738179.1029
MEM 47.980469 1525738179.2034
MEM 49.703125 1525738179.3039
MEM 55.441406 1525738179.4045
MEM 61.316406 1525738179.5050
MEM 66.992188 1525738179.6056
MEM 72.687500 1525738179.7062
MEM 78.152344 1525738179.8070
MEM 83.847656 1525738179.9077
MEM 89.503906 1525738180.0085
MEM 95.003906 1525738180.1092
MEM 100.707031 1525738180.2099
MEM 106.160156 1525738180.3107
MEM 112.605469 1525738180.4115
MEM 118.308594 1525738180.5122
MEM 124.015625 1525738180.6129
MEM 129.710938 1525738180.7137
MEM 135.187500 1525738180.8144
MEM 140.890625 1525738180.9152
MEM 146.585938 1525738181.0158
MEM 152.046875 1525738181.1164
MEM 157.488281 1525738181.2170
MEM 162.945312 1525738181.3176
MEM 168.648438 1525738181.4182
MEM 173.410156 1525738181.5186
MEM 173.519531 1525738181.6191
MEM 173.667969 1525738181.7196
MEM 173.824219 1525738181.8203
MEM 173.984375 1525738181.9209
MEM 174.136719 1525738182.0214
MEM 174.324219 1525738182.1220
MEM 174.531250 1525738182.2225
MEM 174.746094 1525738182.3230
MEM 174.949219 1525738182.4236
MEM 175.179688 1525738182.5242
MEM 175.410156 1525738182.6247
MEM 175.617188 1525738182.7254
MEM 175.859375 1525738182.8272
MEM 175.984375 1525738182.9275
MEM 176.324219 1525738183.0281
MEM 176.324219 1525738183.1286
MEM 176.453125 1525738183.2292
MEM 176.605469 1525738183.3297
MEM 0.000000 1525738183.4302
MEM 0.000000 1525738183.5307
MEM 0.000000 1525738183.6313
