ID,t,t_shadow
0.0,5330.627971768636,9377.841146982071
1.0,99999989.67221498,99999989.67221498
2.0,99999991.01359284,99999991.01359284
3.0,5946886.693812266,3941298.4770983863
4.0,371138.1372420083,634577.2327455775
5.0,582849.8134351795,1777121.094925509
6.0,99997304.01565358,99997304.01565358
7.0,2925.327654193965,7618.5582159461255
8.0,625086.1561073654,2305529.446913085
9.0,99999869.24761193,150092.43315557812
10.0,12951314.278022373,661036.7584534357
11.0,30956634.12370441,15756453.781192435
12.0,99999518.12045255,99999518.12045255
13.0,18606.658578503237,39217.12661251526
14.0,114464.57968111828,30203.396179498774
15.0,1517021.9471728704,240342.43437829672
16.0,19159704.826491974,3209224.3115101745
17.0,99999994.48166908,99999994.48166908
18.0,27554411.90859764,47176264.9058327
19.0,116453.37942469676,753157.7246872645
20.0,83916.95549979058,6013.333602533241
21.0,99999805.96573314,99999805.96573314
22.0,1420359.0694552362,3650554.3578437706
23.0,502838.88431348157,334182.6277787431
24.0,99999989.31430677,99999989.31430677
25.0,749287.8987234541,417159.3661418562
26.0,375707.82746873406,45229.96871331466
27.0,530496.1865329411,164167.1839484262
28.0,152375.5921381791,23685.61866421488
29.0,99999990.97323129,99999990.97323129
30.0,927169.8550562629,722605.7726760666
31.0,2782601.3249773374,8548504.904467901
32.0,99999986.4198254,99999986.4198254
33.0,46494.49549770535,260279.03214543086
34.0,28632.391603209013,121871.348296683
35.0,69423313.65038241,21262701.03901984
36.0,462854.0014607633,19773.05459538431
37.0,50413.30557735394,73521.58345937486
38.0,89696.46176532576,44829.612210652376
39.0,10356072.021102834,82934145.18186426
40.0,99997401.45239589,99997401.45239589
41.0,699345.8366240058,325999.4300904367
42.0,53050.12353201752,44542.74237259394
43.0,75286.9425182744,333298.5915745193
44.0,99998736.37828374,99998736.37828374
45.0,99999907.21253216,99999907.21253216
46.0,34564.590861592376,91127.04433493943
47.0,1184867.3290721488,599203.6038824256
48.0,259413.21444949144,236099.3455691625
49.0,187642.20123633012,185580.33378129144
50.0,55287.8530576896,18461.06170980085
51.0,13338252.60507914,7199630.758545968
52.0,99995102.21740133,99995102.21740133
53.0,279242.32830610446,331623.48272781423
54.0,1022165.636182638,7800874.800831341
55.0,18196121.764769472,99999985.91089772
56.0,99999994.16340084,99999994.16340084
57.0,99999971.3732148,99999971.3732148
58.0,204099.55583853862,203812.90378085236
59.0,123214.84895203898,85836.77273750976
60.0,17146.029773871724,19259.480179973605
61.0,257277.04742027828,51906.56608293894
62.0,60970.038442511825,59617.03009093872
63.0,30050.226583718268,28572.25118420544
64.0,99999990.67885834,99999990.67885834
65.0,301.826212176216,458.0566973037883
66.0,2495492.2127803215,1523426.8273882882
67.0,35215502.08170371,99999006.92283888
68.0,99999126.64727987,99999126.64727987
69.0,16421.433569938312,3116.894411851864
70.0,2976978.7450122125,471566.48295175453
71.0,21482.27729261687,63680.018438064944
72.0,99999928.02285773,99999928.02285773
73.0,295855.76557294873,59374.53712813149
74.0,99999984.07738079,99999984.07738079
75.0,686088.1250074117,1265355.59048015
76.0,99999975.94303404,99999975.94303404
77.0,334829.8577976598,557948.742238199
78.0,99999989.12193942,99999989.12193942
79.0,99999915.10039271,99999915.10039271
80.0,40384.664104161566,87857.20119823625
81.0,1035145.425205722,373836.77364098094
82.0,99997372.36421484,99997372.36421484
83.0,26314915.57227325,306639.3496740572
84.0,606103.2804224736,263393.0735904735
85.0,99999695.13780028,99999695.13780028
86.0,99999923.5817656,99999923.5817656
87.0,99999164.85557374,99999164.85557374
88.0,14195291.468764013,2804635.7957474347
89.0,18514.72004876004,18172.74398199455
90.0,99999783.44199342,99999783.44199342
91.0,38785415.60653138,48505165.56613922
92.0,46097.83695329585,1226430.572880973
93.0,181906.60142536386,661666.5177033973
94.0,31490.226767629472,88112.27734487
95.0,29720.73433955712,29873.777046485942
96.0,18454211.18936508,11392599.409012545
97.0,13381522.161338938,5431035.640909687
98.0,99999761.46285737,99999761.46285737
99.0,101517.87043935279,156821.11936821742
100.0,69970.5544328804,69703.13506613932
101.0,651055.2785728322,506697.33446662594
102.0,11983364.564852398,1389470.8580251774
103.0,948.7827159006694,4009.1430443821546
104.0,99999962.42673464,99999962.42673464
105.0,99999994.9459715,99999994.9459715
106.0,21464840.81494768,25171160.0622213
107.0,99999680.78982012,99999680.78982012
108.0,1786330.5801355941,2510116.3427737085
109.0,2914458.6952691637,764460.6389527137
110.0,99999968.34766862,99999968.34766862
111.0,3635985.557338988,18062102.043848407
112.0,27829462.803392734,59769413.7108839
113.0,3455600.430590009,1663615.1005715725
114.0,9644.537472407663,14886.28980865406
