ID,t,t_shadow
278.0,91638.09706166279,41810.32085553496
279.0,45275.01136863718,38596.01560722475
282.0,290170.88753513,1192682.7718674592
283.0,41519103.43740273,6579012.313958127
284.0,36232.70156185873,63705.556169550604
286.0,109804.642678434,24591.103109361564
287.0,1590925.8369329732,2400718.655286615
289.0,1538407.7353124518,615342.9535743886
291.0,54818.057063983484,50086.61387200546
294.0,6192431.735918765,222091.31417146546
296.0,554733.5077028446,935298.4628621407
297.0,882930.1839889874,223840.47764136142
299.0,2825.910174575614,20172.676140317748
301.0,98875.05567033656,45489.889591866966
302.0,212005.89408612897,5812.901074227834
303.0,62714.61526132697,83326.40092667853
304.0,39456.63701266094,39456.63701266094
306.0,179959.1436279469,15812.272873326852
307.0,237046.3258212191,237367.44804100628
308.0,818000.2759556866,1241280.5496761736
309.0,9700.038778563774,11108.854264408767
310.0,7963.55392094648,2378.4521689531557
312.0,18178401.894640304,3934106.0119670974
314.0,537216.8276080695,1083918.8142240804
315.0,9599.198780548217,4011.845362505077
316.0,188709.91464273733,194486.96226643675
317.0,1353805.3785334465,2821793.267768615
318.0,2006461.7319638291,137778.37173875835
319.0,3513592.4107436663,19522608.593275093
320.0,100202.94974273173,88814.54247561793
321.0,27132.368054198883,44038.91598906144
322.0,487743.8793738998,3198959.214327892
323.0,184012.76605675602,54627.600757145294
324.0,89288.50085869545,60560.42903050848
325.0,6427.709828875772,6723.994440015269
326.0,4350453.7884963835,1246158.6629469593
327.0,34969.79403577649,109178.02133714696
328.0,180542.53298106845,551029.3438574885
330.0,23175.25549723792,244.0113177703573
331.0,614779.4135254197,461610.41965596774
333.0,412490.2901279211,901828.1053163995
334.0,15500.1226767902,15661.826940183064
335.0,481000.93629665923,1755026.7742552096
336.0,37463.98184018847,34735.239715368814
337.0,18698.943390205783,11831.0501691248
339.0,21882.141005337264,18551.02625124101
341.0,236572.5406432224,125881.91932866733
342.0,2206255.5600199373,525402.8208561376
343.0,313462.9871847119,222449.22515041273
346.0,11671.424366700996,44660.16797284395
347.0,134101.71284778367,51413.7804830613
348.0,1730255.537773439,358658.87847930065
349.0,9099745.46824139,67232415.54493067
352.0,24144.718975239786,222419.1913894035
353.0,1003511.6117548731,1363463.0167427
356.0,114058.83659079947,810618.206155134
358.0,258440.27099040835,78159.34695651017
359.0,345447.5570188899,2705544.7375079105
360.0,180793.68034821594,51616.395786571054
361.0,3716901.0895160856,1627690.6246334326
366.0,149761.7730994067,51670.193284664856
369.0,796490.387377702,712530.7143099337
372.0,658102.4034948029,777689.3569721591
377.0,27656851.846108563,67688.09523320287
378.0,1162.2407328960912,8480.363240903238
382.0,29177.67757080233,19894.43949859292
383.0,8360.990299246894,334734.6149258463
384.0,1880110.738203888,492455.88895581313
386.0,691750.469452839,981757.1576036331
387.0,104608.00528046649,396402.72509588883
388.0,6307912.725181871,1632564.4770592162
391.0,28154.139466588756,51420.77796832528
393.0,710379.3340086541,322191.1722569671
394.0,2527236.618745,3198411.9209117675
395.0,8670.888829733734,7556.106288978424
399.0,2319745.349026558,3153388.472444308
