ID,Gamma,Location,Alpha
0.0,2.666553165645729,2.8577181414852033,1.0479867134288978
1.0,1.000000000007761,7.999999955146995,2.7977620220140356e-15
2.0,0.9999300151062682,7.999999960972522,1.0646592068589211e-14
3.0,2.8613113250856195,6.006627300259071,0.9342724111498499
4.0,1.4650594927654155,5.357732629871775,0.3657004695618946
5.0,2.471109093929136,4.724217949787297,1.206824333489151
6.0,378066.5884174366,-13748.82625180481,13756.81847595395
7.0,2.449563529891976,3.080913183229204,0.7722537464315998
8.0,2.7989970241548328,4.814388403566317,1.2105741970175963
9.0,102409661.3021055,-81836151.29793936,81836158.91921654
10.0,2.698916506393843,5.197121516365511,1.2235453835004653
11.0,3.5672626855886507,6.574244293538483,0.9891638100466918
12.0,1.000000000027594,7.999997907218672,2.797762022073776e-15
13.0,1.6761212842429998,4.216145105081676,0.4723982647077283
14.0,3.7301955773185274,3.6868490852856173,1.054262956413849
15.0,2.0726691508107367,4.460077958671601,1.0540855355194814
16.0,2.6020534442929444,6.180944906193103,1.2476462271951516
17.0,1.0000000000038805,7.999999976034192,1.8651746813564765e-15
18.0,95050539.36483103,-15886185.62799753,15886193.518618895
19.0,2.9717683792080036,3.8315907518017642,1.86803124642024
20.0,2.7909350431881252,3.333808355876873,1.0804555751638256
21.0,1.0000000000142282,7.999999157319068,1.8651746813610717e-15
22.0,2.395661916170818,4.738957627672615,1.078170987121785
23.0,1.3008249200502475,5.448790509080927,0.3212312174761033
24.0,90342667.19266367,-13003608.483941223,13003616.418330874
25.0,2.8438101220897,5.292712823396521,0.7645253825851455
26.0,2.9225264378273463,3.9398302830387264,1.2872928197538782
27.0,2.7363349846610543,4.054451672800292,0.990822663323017
28.0,2.5830527456464054,3.4189740665169017,1.6423088150130312
29.0,124625335.82406297,-32885345.34541583,32885353.272454962
30.0,2.659432127322244,5.571198442711342,0.6727198267093002
31.0,2.9660100516062933,6.157000808892073,0.7980784985875579
32.0,0.9999300151734439,7.999999941022046,1.775878920306968e-15
33.0,1.8128490481374937,3.944678252496683,0.7926517615209774
34.0,3.86221482675744,3.1728051486328415,1.7033023978798525
35.0,131071579.86425167,-13212741.917329116,13212749.882403092
36.0,1.501525724597371,4.2050677973074775,0.8072386241840788
37.0,2.8242188789997886,4.144742075670777,0.8581328442296072
38.0,2.326928143521192,3.6728561324851388,1.5740763324751161
39.0,101932282.35897276,-54312368.79237855,54312376.50327671
40.0,1.0000000000034492,7.999988714504514,9.325873406813018e-16
