ID,Norm,Mean,Mean_Error,Sigma,Error,IOU
0.0,17.579000021622626,3.7615036297818705,0.0017607250262088696,0.5411285307653262,0.0017607250339437893,0.9802128633546844
3.0,23.46541578143086,6.822150226732221,0.0011017523886182486,0.45487986610862835,0.00110175238329683,0.9854152601906437
4.0,88.04559520806677,5.6222233930685315,0.00426456951858876,0.302329844333261,0.004264578649834235,0.915517290046057
5.0,12.440545136781074,5.75012576685907,0.0028111306533177088,0.6635678873988973,0.0028111306531563326,0.9741463630717231
7.0,30.160825097033037,3.736248750626865,0.001862604633308452,0.42768486855817783,0.001862604633423453,0.9734189917156182
8.0,13.720186103177275,5.867232223592195,0.0016050543522187232,0.6003593514939864,0.0016050543580915446,0.9838274380949915
10.0,13.027139727231814,6.254578766763361,0.0019427624722976491,0.6254804228630202,0.0019427624737524355,0.9811310250659828
11.0,25.242440862573076,7.465454800374395,0.00033941850898671077,0.39932773906274954,0.00033941851077792795,0.9938982849701622
13.0,58.94090118021675,4.577657217477792,0.0038587053913093595,0.35359387001083753,0.0038587059507517816,0.9337982853387361
14.0,23.091128278853784,4.64190128390607,0.0004170390492224977,0.4094891398501075,0.00041703904648622694,0.9932990589430377
15.0,14.096942224167597,5.3212137822244205,0.004590295528121046,0.6684385264004078,0.004590295524376322,0.9580797396398536
16.0,12.151689084506595,7.252121013527882,0.0023406874536599474,0.6574256321655931,0.0023406874495871316,0.9783216875497102
19.0,6.059787793661467,5.472108434548152,0.0017703743020311207,0.8810448387522255,0.0017703742947131234,0.9880069890260779
20.0,17.18215891853433,4.2730293992490145,0.0014539896238435566,0.5371216967098099,0.0014539896168777816,0.9836154723666777
22.0,15.189918013812834,5.649744688927422,0.0028349692724694135,0.608091195777648,0.002834969288582861,0.9715212588360244
23.0,103.74465521172507,5.665376097509386,0.005003093132668921,0.28859905234888905,0.005003159465580655,0.8979400847483809
25.0,34.861975607099005,5.959390584701774,0.0009321302198374645,0.3741497795934581,0.0009321302136087898,0.9849861096650772
26.0,12.58218178474096,5.067358825585124,0.0013473178823959458,0.6157312959912494,0.0013473178828749806,0.9868797994433476
27.0,20.09579412920519,4.912844445542674,0.0014722191709189995,0.5007432476708957,0.001472219177332744,0.9821576608431103
28.0,6.970325350021255,4.827066856910692,0.0031812592293842803,0.8706458089801425,0.0031812592315771113,0.9777432457760342
