Unnamed: 0,runstring,t
0,0000000.bin,200176340.99557322
1,0000001.bin,89152919.04851419
2,0000002.bin,40917257.00360982
3,0000003.bin,35119970.38264273
4,0000004.bin,98279688.69324857
5,0000005.bin,27160482.928827085
6,0000006.bin,149711081.85302475
7,0000007.bin,67504666.70748462
8,0000008.bin,545407587.6191208
9,0000009.bin,590415507.9137254
10,0000010.bin,107143515.40729761
11,0000011.bin,101311988.22769345
12,0000012.bin,42042990.68173081
13,0000013.bin,20213677.588890787
14,0000014.bin,243995970.71990454
15,0000015.bin,340251273.56561404
16,0000016.bin,880947364.5695655
17,0000017.bin,108553522.04122229
18,0000018.bin,134712557.9282179
19,0000019.bin,78553681.8181156
20,0000020.bin,215992010.56523243
21,0000021.bin,47251757.52647632
22,0000022.bin,28012948.975167084
23,0000023.bin,56491075.40966443
24,0000024.bin,
25,0000025.bin,139586622.86096793
26,0000026.bin,76377795.34333389
27,0000027.bin,353636421.36252385
28,0000028.bin,99975951.34847541
29,0000029.bin,149343570.8191226
30,0000030.bin,18814604.26399088
31,0000031.bin,279044343.6526982
32,0000032.bin,203162466.97291595
33,0000033.bin,33118231.756476037
34,0000034.bin,91920634.0827489
35,0000035.bin,444223431.7239949
36,0000036.bin,86370902.49241252
37,0000037.bin,418716722.6358002
38,0000038.bin,550449919.4410083
39,0000039.bin,85074229.83561915
40,0000040.bin,37678562.32278215
41,0000041.bin,137808688.90741998
42,0000042.bin,56920706.32660473
43,0000043.bin,64194472.87723765
44,0000044.bin,17033475.84968282
45,0000045.bin,28612158.564890265
46,0000046.bin,55289071.49482757
47,0000047.bin,77958103.35057484
48,0000048.bin,68184037.36538173
49,0000049.bin,155126758.06098622
50,0000050.bin,334204180.1716229
51,0000051.bin,374111135.2686825
52,0000052.bin,77911458.65428205
53,0000053.bin,118387565.6821321
54,0000054.bin,147369065.88603002
55,0000055.bin,440638381.2441801
56,0000056.bin,67790622.66635111
57,0000057.bin,36542208.03347334
58,0000058.bin,34100368.06101845
59,0000059.bin,30500916.229337003
60,0000060.bin,92602697.87851973
61,0000061.bin,26570938.079491563
62,0000062.bin,113355480.62801124
63,0000063.bin,538307266.5030185
64,0000064.bin,134687989.59835038
65,0000065.bin,22104773.892463714
66,0000066.bin,148818282.72351965
67,0000067.bin,557394308.5264674
68,0000068.bin,639270749.9293295
69,0000069.bin,358267339.96675175
70,0000070.bin,51705203.72562871
71,0000071.bin,124631596.89915359
72,0000072.bin,197890733.3543085
73,0000073.bin,39479897.11918786
74,0000074.bin,33167031.456676416
75,0000075.bin,65818535.357655086
76,0000076.bin,29937499.378458656
77,0000077.bin,31964600.308090266
78,0000078.bin,
79,0000079.bin,82817768.84473768
80,0000080.bin,50165947.05451965
81,0000081.bin,156559310.05033955
82,0000082.bin,90511145.32838985
83,0000083.bin,182409971.66481182
84,0000084.bin,590683063.6305451
85,0000085.bin,661809851.6561404
86,0000086.bin,405329206.5205687
87,0000087.bin,34198352.184831664
88,0000088.bin,309693041.3426056
89,0000089.bin,147250941.25006166
90,0000090.bin,75685243.80184397
91,0000091.bin,48655072.0668122
92,0000092.bin,53775524.65917072
93,0000093.bin,
94,0000094.bin,67638601.2194719
95,0000095.bin,134898277.16264424
96,0000096.bin,23710842.399497915
97,0000097.bin,109088876.04822382
98,0000098.bin,54507238.46818725
99,0000099.bin,
100,0000100.bin,206024791.8939678
101,0000101.bin,42664163.187367894
102,0000102.bin,499761677.2760097
103,0000103.bin,156687328.549218
104,0000104.bin,62854647.61318128
105,0000105.bin,282916318.02926767
106,0000106.bin,19782604.775460284
107,0000107.bin,94138068.36027326
108,0000108.bin,14469579.882161641
109,0000109.bin,78175668.05966295
110,0000110.bin,308767786.2120412
111,0000111.bin,147235437.05309308
112,0000112.bin,55554000.45116369
113,0000113.bin,118423791.8399976
114,0000114.bin,66716715.85479775
115,0000115.bin,27075820.79662874
116,0000116.bin,19417512.653533235
117,0000117.bin,24582001.25889765
118,0000118.bin,82873600.34687693
119,0000119.bin,80934727.6884006
120,0000120.bin,30478858.52035522
121,0000121.bin,529714354.3000291
122,0000122.bin,16740807.950848287
123,0000123.bin,96411938.3558025
124,0000124.bin,152109978.04951417
125,0000125.bin,69606111.87228645
126,0000126.bin,44313668.103916116
127,0000127.bin,43037998.81255202
128,0000128.bin,62531906.28597127
129,0000129.bin,130481541.24221723
130,0000130.bin,73724543.86975512
131,0000131.bin,471460550.2717581
132,0000132.bin,77288561.57754183
133,0000133.bin,348939408.6778496
134,0000134.bin,232519185.719006
135,0000135.bin,45716402.56150451
136,0000136.bin,57192721.72310199
137,0000137.bin,91176414.9444979
138,0000138.bin,265885007.1727395
139,0000139.bin,17506574.120421946
140,0000140.bin,134823424.97463942
141,0000141.bin,
142,0000142.bin,282376781.32223344
143,0000143.bin,73341103.82222414
144,0000144.bin,319688628.4586452
145,0000145.bin,325984251.68393296
146,0000146.bin,66289386.96138157
147,0000147.bin,56129498.14990939
148,0000148.bin,578960799.6953241
149,0000149.bin,142086187.87949303
150,0000150.bin,13980718.753969759
151,0000151.bin,182727724.76388693
152,0000152.bin,93635348.78136332
153,0000153.bin,75134646.75607905
154,0000154.bin,25615263.756011464
155,0000155.bin,66994540.05357577
156,0000156.bin,132265356.74414794
157,0000157.bin,816822972.0435833
158,0000158.bin,29943044.94235765
159,0000159.bin,50981457.403830156
160,0000160.bin,58042830.66217755
161,0000161.bin,
162,0000162.bin,198987242.40116754
163,0000163.bin,320297216.94017786
164,0000164.bin,172903769.64130864
165,0000165.bin,37367499.139565855
166,0000166.bin,124726764.40015955
167,0000167.bin,238174708.75244835
168,0000168.bin,145497123.41788208
169,0000169.bin,415539633.3778086
170,0000170.bin,122831474.16862251
171,0000171.bin,134547813.83850002
172,0000172.bin,240036293.01444754
173,0000173.bin,351953763.57539403
174,0000174.bin,84393539.0991208
175,0000175.bin,338678035.91212505
176,0000176.bin,229304748.90206322
177,0000177.bin,18445564.458389092
178,0000178.bin,86288557.9087397
179,0000179.bin,134799989.14128476
180,0000180.bin,372320529.9193041
181,0000181.bin,106648871.56753506
182,0000182.bin,108432559.6796344
183,0000183.bin,260167913.80372757
184,0000184.bin,111860934.04164065
185,0000185.bin,31002589.594135582
186,0000186.bin,156848933.53418273
187,0000187.bin,46074462.84857798
188,0000188.bin,181959931.7937752
189,0000189.bin,49939292.53370717
190,0000190.bin,13906129.189344408
191,0000191.bin,385822333.1783196
192,0000192.bin,38633337.675378956
193,0000193.bin,419858355.7504795
194,0000194.bin,284575230.8362263
195,0000195.bin,215734865.13373116
196,0000196.bin,230474277.58777997
197,0000197.bin,500532771.690862
198,0000198.bin,26065099.630870722
199,0000199.bin,
