Unnamed: 0,runstring,t
0,0000000.bin,291711683.17581576
1,0000001.bin,319441157.2010086
2,0000002.bin,383760930.09726983
3,0000003.bin,102959823.63669795
4,0000004.bin,452640841.8480795
5,0000005.bin,53607706.34011425
6,0000006.bin,266867549.87283447
7,0000007.bin,240181370.73459375
8,0000008.bin,372474330.58748466
9,0000009.bin,1052914110.4776597
10,0000010.bin,51763835.008292034
11,0000011.bin,158850142.1127957
12,0000012.bin,149993373.4088348
13,0000013.bin,664547930.2457261
14,0000014.bin,155391049.5720955
15,0000015.bin,461272558.6478208
16,0000016.bin,338553060.8897179
17,0000017.bin,150978601.54935044
18,0000018.bin,2015033381.81744
19,0000019.bin,54504957.387280755
20,0000020.bin,252138107.2862617
21,0000021.bin,96639513.36045982
22,0000022.bin,276602721.45809823
23,0000023.bin,172341906.7829033
24,0000024.bin,151193305.85653955
25,0000025.bin,521617305.94850284
26,0000026.bin,98437791.89208667
27,0000027.bin,343068192.73409826
28,0000028.bin,28262445.7458056
29,0000029.bin,92135621.87813504
30,0000030.bin,168362108.07269
31,0000031.bin,78417719.75526495
32,0000032.bin,70471150.58650239
33,0000033.bin,834217976.8292348
34,0000034.bin,547912514.3652034
35,0000035.bin,1036926508.9223334
36,0000036.bin,538730792.1140708
37,0000037.bin,57489701.689145975
38,0000038.bin,784556591.6041229
39,0000039.bin,293139338.8219349
40,0000040.bin,41482042.83128331
41,0000041.bin,60980582.36814921
42,0000042.bin,159307654.33882222
43,0000043.bin,221827618.71321902
44,0000044.bin,494625194.086325
45,0000045.bin,142077447.3863714
46,0000046.bin,430467757.77984375
47,0000047.bin,113019697.59592758
48,0000048.bin,544001086.8640924
49,0000049.bin,760263747.6327387
50,0000050.bin,80860133.60868421
51,0000051.bin,244173805.6122055
52,0000052.bin,326405163.90506023
53,0000053.bin,219302757.92035326
54,0000054.bin,431655703.55967504
55,0000055.bin,860339360.934503
56,0000056.bin,113689402.26283243
57,0000057.bin,1947360336.7410538
58,0000058.bin,134019018.6162089
59,0000059.bin,334819279.17275643
60,0000060.bin,55630611.039638065
61,0000061.bin,289045640.4064345
62,0000062.bin,150668071.365726
63,0000063.bin,57439507.23022461
64,0000064.bin,298368009.002714
65,0000065.bin,59595541.02372101
66,0000066.bin,229147138.41004118
67,0000067.bin,821289213.6165277
68,0000068.bin,128165084.70379993
69,0000069.bin,130653034.12630244
70,0000070.bin,40762002.312008224
71,0000071.bin,126248230.29899776
72,0000072.bin,95742053.94251573
73,0000073.bin,48501056.526703164
74,0000074.bin,330596089.5491713
75,0000075.bin,139353303.40670505
76,0000076.bin,153331381.05324903
77,0000077.bin,52408739.936858065
78,0000078.bin,902096255.7102895
79,0000079.bin,683655525.5800005
80,0000080.bin,403767163.9463612
81,0000081.bin,141796949.13007244
82,0000082.bin,69594741.41588852
83,0000083.bin,68611474.73908588
84,0000084.bin,98852701.00143196
85,0000085.bin,291119962.51940644
86,0000086.bin,134775837.09846675
87,0000087.bin,424962126.28797436
88,0000088.bin,108372364.48417093
89,0000089.bin,386413522.3637053
90,0000090.bin,53062004.64530334
91,0000091.bin,195703430.03036678
92,0000092.bin,119540454.41508512
93,0000093.bin,58427419.836068526
94,0000094.bin,96699394.2783489
95,0000095.bin,213399863.97400078
96,0000096.bin,682938728.9323442
97,0000097.bin,191577076.79803595
98,0000098.bin,498958613.81071466
99,0000099.bin,47872435.52284142
100,0000100.bin,242464918.1628315
101,0000101.bin,976425111.9937321
102,0000102.bin,88945039.74697031
103,0000103.bin,581759196.8485496
104,0000104.bin,383582782.17519504
105,0000105.bin,149000982.4064325
106,0000106.bin,54141108.547074504
107,0000107.bin,517679766.7438668
108,0000108.bin,999984159.3873899
109,0000109.bin,104445537.0137731
110,0000110.bin,207301942.83784136
111,0000111.bin,154145005.14735615
112,0000112.bin,157533839.3546103
113,0000113.bin,126429518.36558087
114,0000114.bin,567552990.535476
115,0000115.bin,98079357.26540267
116,0000116.bin,1592011562.161784
117,0000117.bin,1801405050.1706262
118,0000118.bin,466562865.1126211
119,0000119.bin,41690269.30520636
120,0000120.bin,580727996.187109
121,0000121.bin,8415287710.577687
122,0000122.bin,178583759.89752993
123,0000123.bin,120058504.61685082
124,0000124.bin,750198965.8187698
125,0000125.bin,100432023.5959288
126,0000126.bin,24702090.39692252
127,0000127.bin,72129495.23906197
