ID,Anderson_P,KS_P,ShapiroW
2241.0,0.029114047783413352,0.14408243524623654,1.2483183930989128e-10
18651.0,0.06380017398748906,0.14408243524623743,3.7910263817053647e-10
1021.0,0.09734785042491886,0.15955408974378718,4.495232587942155e-06
1241.0,0.09507735215652932,0.15955408974378718,3.5940946264056625e-14
1375.0,0.10250597578102612,0.15955408974378782,4.228359884450583e-08
24824.0,0.05585409385799278,0.17417622630441407,1.6148491432943501e-09
1796.0,0.18973502290577546,0.17589278330048236,7.160493031843629e-11
24763.0,0.28998067274161393,0.17632237218081653,0.00023971780319698155
1324.0,0.20472144497677564,0.19399386565569543,4.5341117527186725e-09
1204.0,0.21158945681747066,0.19444817870469266,1.5676894690841436e-05
1379.0,0.13623167012191653,0.19444817870469266,2.1707224462375052e-08
15003.0,0.020937940574435408,0.20157175985987427,3.913018346846098e-12
1877.0,0.0469997026035583,0.21111635316948454,1.2351830170655165e-13
2063.0,0.3014240043958559,0.213988434592342,1.3019116522627883e-06
2113.0,0.18305572232925885,0.21398843459234218,4.551675374386832e-07
5505.0,0.032979817899105444,0.2139884345923434,2.65205512859509e-16
2197.0,0.09544908800642955,0.2139884345923434,1.9353747120476328e-05
2370.0,0.17445777856145905,0.23499464102017023,0.2404956817626953
2018.0,0.15094243963910228,0.23499464102017087,0.00010389156523160636
16588.0,0.18829845643644383,0.25593040695755004,5.493279431334486e-08
1513.0,0.2801427337493672,0.2799238827593913,0.031240934506058693
1174.0,0.10307564392598037,0.28157331258093327,0.0001977868814719841
7431.0,0.050984869790936665,0.28157331258093427,2.190809653915965e-13
1007.0,0.18726625828845495,0.28157331258093427,1.5473778508523495e-11
1753.0,0.2015866097086136,0.3072049308557448,2.3089349442811935e-12
24937.0,0.24531091796356932,0.30720493085574624,1.1575223197723972e-06
1208.0,0.21536107079539593,0.3344158758152953,4.101614831597544e-05
2107.0,0.043888777434820954,0.33441587581529847,5.601722800625385e-15
1197.0,0.1646997202220131,0.36319895384167805,3.1063125788932666e-05
1323.0,0.15837937645200278,0.3631989538416791,1.1375024769222364e-05
2264.0,0.45087028120714484,0.36319895384167966,0.0004040502826683223
1924.0,0.03637769428603159,0.36319895384167966,1.282865198619365e-12
1052.0,0.20525942711503095,0.3631989538416812,0.0007361152092926204
2126.0,0.5436536708741995,0.3935265460267513,0.20405998826026917
2083.0,0.34709101072682724,0.393526546026753,0.000980651006102562
1913.0,0.09136654494242907,0.41340315506203407,9.088328738471319e-07
1251.0,0.15198120116660066,0.4221504383756468,1.3881533789117384e-07
2222.0,0.4093112941537463,0.4579316339803468,1.2849378435930703e-05
24631.0,0.36553464805114605,0.458579791657173,1.0414975088954281e-12
1900.0,0.4513695693132072,0.45857979165717483,0.3052999973297119
2179.0,0.24506638305628256,0.4918039627499258,2.0316957005661607e-08
1823.0,0.3140593586802107,0.49311268076747256,3.9881303592892436e-08
1996.0,0.041856384545680206,0.5281401013980288,2.1316773351912413e-14
24248.0,0.5347922273495366,0.5287957655456447,1.0934543581697653e-07
1616.0,0.313173933781515,0.5287957655456457,0.0989832654595375
1646.0,0.2277408364144415,0.5287957655456459,1.5212452131319054e-10
15220.0,0.12584935720576987,0.5287957655456461,2.767253306501516e-07
1025.0,0.18870840182973525,0.5654378910227631,1.9765307012614697e-12
1136.0,0.4452861546251192,0.5654378910227642,0.2872052788734436
1.0,0.2686954512011696,0.6028025867269027,0.00022294795780908316
1810.0,0.6672752322557016,0.6374475741439674,0.39753788709640503
35.0,0.149323164209108,0.6406050184621189,4.879303716620598e-08
1943.0,0.17803910655086638,0.6406050184621199,3.8156692028223915e-08
2256.0,0.6021929591071594,0.6406050184621233,1.7930125977727585e-05
20972.0,0.37359708291675664,0.6772907648805944,2.96941315980348e-08
1922.0,0.364228251253628,0.6785103823828902,0.014574743807315826
1120.0,0.6104798135899392,0.6785103823828934,0.0017223525792360306
25.0,0.6248853866820038,0.7161344718258027,0.023095043376088142
1169.0,0.40943628991991265,0.753047296152258,1.8060679091592285e-13
2030.0,0.45535348214522653,0.7872452390031168,2.9542309221142204e-06
2087.0,0.6489731003573728,0.8228413328247728,2.6196346880169585e-05
19591.0,0.6113365548639549,0.8839619016797241,0.0010793041437864304
2081.0,0.7931183729512349,0.9492346047929784,0.02675703912973404
