ID,Anderson_P,KS_P
1007.0,0.18617945685938608,0.28779764348473313
1021.0,0.09798610598675904,0.16411447756429137
1025.0,0.1875797648553584,0.5728904395829821
1041.0,0.001,1.0083648503451665e-06
10518.0,0.001,0.00018454124332184854
1052.0,0.20362332610045125,0.37012017606173
1107.0,0.011294754519892165,0.07761108123267829
1120.0,0.25,0.6854967337920594
1124.0,0.004425700457748991,0.0028179208242694134
1128.0,0.026156443553624766,0.0038826726503625613
1136.0,0.25,0.5728904395829821
1137.0,0.0029389353074965882,0.025633868930359294
1138.0,0.001,7.893625082841682e-06
1169.0,0.25,0.7593695685682871
1174.0,0.10366357972365665,0.28779764348473313
1190.0,0.001,8.685223195188911e-14
1194.0,0.001,8.869005231254265e-06
1197.0,0.16421511424812144,0.37012017606173
1.0,0.25,0.6101664688189142
1204.0,0.2097463776940437,0.19957365535779528
1206.0,0.03885304376224418,0.12864968432319987
12073.0,0.001,0.0005028776494501317
1208.0,0.21339138419803952,0.34112475112661245
1217.0,0.06242790785559241,0.06153429181321559
1223.0,0.001,1.9560462171529424e-21
1230.0,0.001,8.099640116649182e-23
1235.0,0.008083342761633404,0.014870029418858987
1237.0,0.001,5.577646320340156e-06
1241.0,0.0957329128402241,0.16411447756429137
1248.0,0.0288688918084434,0.07761108123267829
1251.0,0.15179026709120857,0.42941810633082356
1261.0,0.08704276428985996,0.14759389012389187
1266.0,0.001,4.441088228134397e-06
1270.0,0.001,1.3433151993983066e-08
1277.0,0.001,2.8565575057657556e-20
12840.0,0.007633684587771762,0.07761108123267829
1308.0,0.001,2.461977466455732e-07
1313.0,0.0036814272754180366,0.0052754044317585855
1323.0,0.15804500138797822,0.37012017606173
1324.0,0.20310261226083545,0.1991151991135384
1337.0,0.07881887156198629,0.03776014017220749
1344.0,0.001,0.0030428131828984786
1350.0,0.13155165351497938,0.1082872208757189
1356.0,0.001,1.047670755116839e-32
1364.0,0.001,1.2146029729227987e-62
1366.0,0.001,1.9092886474554655e-07
1375.0,0.10309933715441179,0.16411447756429137
1379.0,0.13635513369767516,0.19957365535779528
1396.0,0.001,2.461977466455732e-07
