,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
0,1007,0.13319613599588728,5.587628616935485,0.46459275477164347,0.014737985100895152,0.010562560313403888,2.423315353063089e-08
1,1021,0.1812621921559921,6.003998891265976,0.32731367655201354,0.010287317330517088,0.007410424026146116,5.811602938930458e-09
2,1025,0.1536873024953472,5.794417899192297,0.3859845825057551,0.012357847800834315,0.008755846799658346,1.17060086062295e-08
3,1041,0.12759662081566103,5.730233646052283,0.49441482092726885,0.015324426537185758,0.011150162378524835,2.919533613454927e-08
4,10518,0.14406385756465107,6.46584927648276,0.4315974868702609,0.013325153401317584,0.009608321036307522,1.6381410779438786e-08
5,1052,0.1663052528396172,5.1924550625272845,0.36825255526209544,0.011720839824636268,0.008295011552343653,9.448781552529758e-09
6,1107,0.14447715119443333,5.698337564499874,0.43099628606619045,0.013765372619021448,0.009809904766089431,1.8225597373096137e-08
7,1120,0.15075387665610943,5.006299557277154,0.41003609075301267,0.01272984824914032,0.00944835279483461,1.4467214615566754e-08
8,1124,0.1367007550654709,4.169145985275208,0.4553160260076288,0.014081508510728235,0.010376763940616795,2.1348398789583902e-08
9,1128,0.09107022434246302,5.2192216488944245,0.678140877527461,0.02129780687279175,0.014862131726139151,1.0003968806968592e-07
10,1136,0.19103040377333497,5.101767956912906,0.32347180804019704,0.010231712716826517,0.007123277632690607,5.309082900279157e-09
11,1137,0.09588830874234805,4.858953345374465,0.649093420138898,0.02046538959067909,0.01435176484171669,8.621446451588278e-08
12,1138,0.081578926236407,6.153955782849627,0.861446968223126,0.027020831439101552,0.019738791880960074,2.8449248569470274e-07
13,1169,0.17219674010441563,5.149209158227786,0.3604463720672966,0.011154049580360198,0.007873024866229344,7.706772248087621e-09
14,1174,0.2516073175070152,5.258133978540979,0.2376191634831997,0.007587361564582399,0.005335613687706261,1.6390273180264584e-09
15,1190,0.12439029527758268,5.311517183892399,0.48347078097281576,0.014815918228505877,0.010942477571671027,2.6263596932717235e-08
16,1194,0.08192340577461611,5.650086315172738,0.9189184333978713,0.03039744676171005,0.02206145497187895,4.495350545455225e-07
17,1197,0.17361889630588673,5.090331492380466,0.35363503146970654,0.010947147665281914,0.007727528350862003,7.156045429563144e-09
18,1,0.17691824515816593,5.4770427164516065,0.35252424165732177,0.011180673166115098,0.007764265166606472,7.53445235675187e-09
19,1204,0.16250633354367325,4.332254986692478,0.3852226602669793,0.01182281847185867,0.008688669302548654,1.0550073280303207e-08
20,1206,0.10526883994197014,6.800931514546755,0.6325589010050895,0.020580530687130002,0.01464060403402297,9.077598425085996e-08
21,12073,0.11788212932522801,4.527457166215934,0.5267114436370123,0.016867426164860568,0.011672358824909392,3.876488143654689e-08
22,1208,0.15027739806371085,4.979603110017664,0.42931378360271816,0.013431295479954966,0.00934818412763925,1.5766433745575648e-08
23,1217,0.3910474414872088,4.682305326732873,0.15498684206030536,0.004756196986721751,0.0035408507408419485,2.8345436148705404e-10
24,1223,0.08422894277662715,4.704217344689472,0.732398729244567,0.022984726582796267,0.015698543727028894,1.3015341721056105e-07
25,1230,0.09440848970142761,5.4570528382556045,0.7688376412819256,0.025968406543153102,0.018039492648076104,2.1931299960297533e-07
26,1235,0.19499647330228825,5.118659783138557,0.3092619811933122,0.0096045269757052,0.007052396470104565,4.587978562913008e-09
27,1237,0.12409332402699852,4.193935799285418,0.4945211828326884,0.015999392039145664,0.010760019457608502,2.960831461053321e-08
28,1241,0.11570270055545495,4.794259996529606,0.5303978593805839,0.016514951785584233,0.011428051344684014,3.562178207839202e-08
29,1248,0.133875261373544,4.637510133132764,0.46421435414399487,0.014593554008818706,0.010349972552996417,2.280533816862939e-08
30,1251,0.11611684812022322,6.43689285629411,0.5268497172310006,0.016959988001425667,0.011729082041442244,3.957027299302075e-08
