,runstring,t
0,0000000.bin,99997304.01565358
1,0000001.bin,99997304.01565358
2,0000002.bin,99997304.01565358
3,0000003.bin,99997304.01565358
4,0000004.bin,60222356.182483755
5,0000005.bin,99997304.01565358
6,0000006.bin,98210989.64388306
7,0000007.bin,99997304.01565358
8,0000008.bin,99997304.01565358
9,0000009.bin,99997304.01565358
10,0000010.bin,99997304.01565358
11,0000011.bin,99997304.01565358
12,0000012.bin,99997304.01565358
13,0000013.bin,56212995.44330155
14,0000014.bin,99997304.01565358
15,0000015.bin,99997304.01565358
16,0000016.bin,99997304.01565358
17,0000017.bin,48397269.9073996
18,0000018.bin,99997304.01565358
19,0000019.bin,99997304.01565358
20,0000020.bin,99997304.01565358
21,0000021.bin,99997304.01565358
22,0000022.bin,99997304.01565358
23,0000023.bin,99997304.01565358
24,0000024.bin,99997304.01565358
25,0000025.bin,99997304.01565358
26,0000026.bin,99997304.01565358
27,0000027.bin,99997304.01565358
28,0000028.bin,99997304.01565358
29,0000029.bin,74171174.89881332
30,0000030.bin,81739011.83867224
31,0000031.bin,99997304.01565358
32,0000032.bin,99997304.01565358
33,0000033.bin,99997304.01565358
34,0000034.bin,99997304.01565358
35,0000035.bin,99997304.01565358
36,0000036.bin,99997304.01565358
37,0000037.bin,99997304.01565358
38,0000038.bin,78449688.77604945
39,0000039.bin,35583160.39661082
40,0000040.bin,99997304.01565358
41,0000041.bin,99997304.01565358
42,0000042.bin,99997304.01565358
43,0000043.bin,99997304.01565358
44,0000044.bin,98686141.82025965
45,0000045.bin,99997304.01565358
46,0000046.bin,99997304.01565358
47,0000047.bin,99997304.01565358
48,0000048.bin,99997304.01565358
49,0000049.bin,99997304.01565358
50,0000050.bin,99997304.01565358
51,0000051.bin,99997304.01565358
52,0000052.bin,99997304.01565358
53,0000053.bin,65852013.200847335
54,0000054.bin,97446280.08624871
55,0000055.bin,99997304.01565358
56,0000056.bin,99997304.01565358
57,0000057.bin,99997304.01565358
58,0000058.bin,99997304.01565358
59,0000059.bin,99997304.01565358
60,0000060.bin,99997304.01565358
61,0000061.bin,99997304.01565358
62,0000062.bin,53078675.59403319
63,0000063.bin,99997304.01565358
64,0000064.bin,80350302.95468743
65,0000065.bin,69718585.8869129
66,0000066.bin,75478473.68597133
67,0000067.bin,99997304.01565358
68,0000068.bin,99997304.01565358
69,0000069.bin,99997304.01565358
70,0000070.bin,99997304.01565358
71,0000071.bin,99997304.01565358
72,0000072.bin,99997304.01565358
73,0000073.bin,99997304.01565358
74,0000074.bin,99997304.01565358
75,0000075.bin,80814182.73145612
76,0000076.bin,99997304.01565358
77,0000077.bin,84158908.74703582
78,0000078.bin,99997304.01565358
79,0000079.bin,99997304.01565358
80,0000080.bin,99997304.01565358
81,0000081.bin,99997304.01565358
82,0000082.bin,99997304.01565358
83,0000083.bin,99997304.01565358
84,0000084.bin,99997304.01565358
85,0000085.bin,99997304.01565358
86,0000086.bin,99997304.01565358
87,0000087.bin,99997304.01565358
88,0000088.bin,99997304.01565358
89,0000089.bin,99997304.01565358
90,0000090.bin,99997304.01565358
91,0000091.bin,99997304.01565358
92,0000092.bin,99997304.01565358
93,0000093.bin,99997304.01565358
94,0000094.bin,99997304.01565358
95,0000095.bin,99997304.01565358
96,0000096.bin,47228192.444282494
97,0000097.bin,99997304.01565358
98,0000098.bin,99997304.01565358
