,runstring,t
0,0000000.bin,55287.8530576896
1,0000001.bin,18461.061709800855
2,0000002.bin,25348.872835216014
3,0000003.bin,27215.39988320388
4,0000004.bin,31352.818520792072
5,0000005.bin,34631.902144532636
6,0000006.bin,19806.657208335444
7,0000007.bin,30760.734331188705
8,0000008.bin,11209.173540579743
9,0000009.bin,20925.908329683723
10,0000010.bin,14149.294855136037
11,0000011.bin,15890.248231972944
12,0000012.bin,30508.89416863216
13,0000013.bin,24382.700349127346
14,0000014.bin,20442.631561069367
15,0000015.bin,48834.4402332804
16,0000016.bin,36914.74488304577
17,0000017.bin,48989.354842182234
18,0000018.bin,64100.83846379565
19,0000019.bin,45890.40448490383
20,0000020.bin,30612.470796698744
21,0000021.bin,25226.971111414572
22,0000022.bin,25831.491424588476
23,0000023.bin,13247.312165638466
24,0000024.bin,21417.256454264472
25,0000025.bin,36246.796875701155
26,0000026.bin,32462.543363639244
27,0000027.bin,26249.227397115214
28,0000028.bin,15526.032624116064
29,0000029.bin,28172.842834084262
30,0000030.bin,18318.721788487946
31,0000031.bin,5317.3608132149
32,0000032.bin,43410.800794118244
33,0000033.bin,22863.89978693626
34,0000034.bin,10782.742673857449
35,0000035.bin,20993.56222754795
36,0000036.bin,83292.86017923539
37,0000037.bin,30294.327735774492
38,0000038.bin,14423.028137738764
39,0000039.bin,9239.83196680538
40,0000040.bin,41171.675013662825
41,0000041.bin,35683.98434197395
42,0000042.bin,19067.417996649518
43,0000043.bin,9273.364467129277
44,0000044.bin,10109.875642564692
45,0000045.bin,21083.005322420166
46,0000046.bin,13425.990509306508
47,0000047.bin,22697.068669622324
48,0000048.bin,43582.55093520395
49,0000049.bin,23788.052724581863
50,0000050.bin,9583.713300188987
51,0000051.bin,26653.0723235367
52,0000052.bin,12673.3798667063
53,0000053.bin,13899.53315334337
54,0000054.bin,10987.090007959383
55,0000055.bin,21393.873770670845
56,0000056.bin,10257.065305659982
57,0000057.bin,31667.566762468658
58,0000058.bin,25419.15945004782
59,0000059.bin,27437.20628772239
60,0000060.bin,10516.110798864638
61,0000061.bin,36468.74184422397
62,0000062.bin,69942.31779843497
63,0000063.bin,21586.131391329556
64,0000064.bin,16650.930230539543
65,0000065.bin,25839.285652453018
66,0000066.bin,21436.69006240673
67,0000067.bin,12367.395801250734
68,0000068.bin,29855.98036067263
69,0000069.bin,15295.427402363805
70,0000070.bin,15215.960919158204
71,0000071.bin,28838.22740662706
72,0000072.bin,10296.313573084544
73,0000073.bin,10171.328799150016
74,0000074.bin,18482.054163516023
75,0000075.bin,20798.32547979435
76,0000076.bin,15959.426334397349
77,0000077.bin,14735.69791865147
78,0000078.bin,15877.119288147782
79,0000079.bin,21836.655195402313
80,0000080.bin,44672.04542638721
81,0000081.bin,12692.952038899484
82,0000082.bin,247513.0496881093
83,0000083.bin,38344.62196525528
84,0000084.bin,45179.98659595956
85,0000085.bin,33163.885307313976
86,0000086.bin,26189.43700914099
87,0000087.bin,26739.363086250367
88,0000088.bin,29651.70230859616
89,0000089.bin,47202.502123851664
90,0000090.bin,17882.62607921362
91,0000091.bin,13100.74604077234
92,0000092.bin,51913.9223414079
93,0000093.bin,13955.201260802567
94,0000094.bin,33934.57855839805
95,0000095.bin,10558.788526549599
96,0000096.bin,20567.027437787463
97,0000097.bin,63094.82881327729
98,0000098.bin,21544.042560861028
99,0000099.bin,23485.3941963485
100,0000100.bin,15026.197451416147
101,0000101.bin,22097.12097012895
102,0000102.bin,32064.34492229296
103,0000103.bin,52329.33736599439
104,0000104.bin,74577.80491610015
105,0000105.bin,85326.73795930097
106,0000106.bin,11887.271364794926
107,0000107.bin,17523.329495164584
108,0000108.bin,25154.017138602456
109,0000109.bin,70331.05924322396
110,0000110.bin,35070.00703245336
111,0000111.bin,100897.14571748224
112,0000112.bin,17845.386990527473
113,0000113.bin,10151.895191007758
114,0000114.bin,20030.057099439593
115,0000115.bin,14279.926114145766
116,0000116.bin,29337.265836034156
117,0000117.bin,14497.090622958282
118,0000118.bin,18355.89159514863
119,0000119.bin,30019.69378684075
120,0000120.bin,41304.66186151035
121,0000121.bin,28265.8539532678
122,0000122.bin,12322.570330776432
123,0000123.bin,22785.818944239913
124,0000124.bin,23275.919992362335
125,0000125.bin,19527.277440657515
126,0000126.bin,36588.63438926182
127,0000127.bin,34075.775326261166
128,0000128.bin,19400.52597507369
129,0000129.bin,25925.126082001178
130,0000130.bin,10723.194772972345
131,0000131.bin,12037.301590934183
132,0000132.bin,27964.650347569153
133,0000133.bin,26075.364154216822
134,0000134.bin,30763.81738132179
135,0000135.bin,23177.64343924364
136,0000136.bin,21355.179759449984
137,0000137.bin,14778.929902540132
138,0000138.bin,30008.643303779467
139,0000139.bin,14484.689140400476
140,0000140.bin,27857.055362025738
141,0000141.bin,36121.04999951295
142,0000142.bin,257636.15819543792
143,0000143.bin,49852.262469137655
144,0000144.bin,34280.39978842197
145,0000145.bin,9214.682591562456
146,0000146.bin,22934.7752989845
147,0000147.bin,35964.645827063985
148,0000148.bin,91776.3056312978
