,runstring,t
0,0000000.bin,180542.53298106845
1,0000001.bin,551029.3438574885
2,0000002.bin,295674.6868233729
3,0000003.bin,670615.1195402992
4,0000004.bin,305685.7672880337
5,0000005.bin,173884.66823951257
6,0000006.bin,183055.70406233516
7,0000007.bin,112421.87537224017
8,0000008.bin,848011.4855625358
9,0000009.bin,1659831.8412506927
10,0000010.bin,232520.7541882697
11,0000011.bin,212110.78708305626
12,0000012.bin,200439.3280729132
13,0000013.bin,3170666.0950035052
14,0000014.bin,4933919.076686122
15,0000015.bin,517942.01200479554
16,0000016.bin,1355292.5866441515
17,0000017.bin,695281.9478332264
18,0000018.bin,128760.17207922609
19,0000019.bin,1211654.2361994397
20,0000020.bin,7386593.545909745
21,0000021.bin,19059597.26987297
22,0000022.bin,335869.0389229975
23,0000023.bin,386708.3674419631
24,0000024.bin,398909.2451020531
25,0000025.bin,114865.90298525497
26,0000026.bin,169342.43427779104
27,0000027.bin,188162.30945930732
28,0000028.bin,431867.85102856945
29,0000029.bin,434362.0734739976
30,0000030.bin,1365232.8609051902
31,0000031.bin,169785.2157463261
32,0000032.bin,158394.31432604892
33,0000033.bin,274534.9374307531
34,0000034.bin,5980213.768811674
35,0000035.bin,199164.57331930482
36,0000036.bin,143815.29626567717
37,0000037.bin,703170.573211359
38,0000038.bin,181567.56064919182
39,0000039.bin,357078.72852724086
40,0000040.bin,930754.2543777697
41,0000041.bin,1699021.5347313967
42,0000042.bin,3929279.271323447
43,0000043.bin,984329.1837627093
44,0000044.bin,195381.35866262726
45,0000045.bin,184402.92782174665
46,0000046.bin,151422.87910622833
47,0000047.bin,3744135.2676139707
48,0000048.bin,138887.5424351302
49,0000049.bin,104702.57525457858
50,0000050.bin,260033.65381064054
51,0000051.bin,1297660.5703550626
52,0000052.bin,217127.70688919464
53,0000053.bin,251828.92913355303
54,0000054.bin,202748.04787681377
55,0000055.bin,113398.85595095201
56,0000056.bin,4124358.872756765
57,0000057.bin,1392803.2300660212
58,0000058.bin,1427694.7355293941
59,0000059.bin,6551106.342631628
60,0000060.bin,297585.7277617765
61,0000061.bin,10780813.539478727
62,0000062.bin,191797.12200276283
63,0000063.bin,735655.012799533
64,0000064.bin,755521.115884299
65,0000065.bin,239309.04235566148
66,0000066.bin,269744.95092146756
67,0000067.bin,409735.80972809583
68,0000068.bin,273289.69682291156
69,0000069.bin,775828.5108724224
70,0000070.bin,2696125.949105871
71,0000071.bin,139848.17245421532
72,0000072.bin,214008.9069224328
73,0000073.bin,2185718.113906243
74,0000074.bin,327499.52693204506
75,0000075.bin,326120.77984792955
76,0000076.bin,305046.1209246711
77,0000077.bin,102521.50759522125
78,0000078.bin,6272806.341494546
79,0000079.bin,1033088.8733537662
80,0000080.bin,1174920.7293366764
81,0000081.bin,482356.68174604565
82,0000082.bin,168322.7759671722
83,0000083.bin,314558.8903718951
84,0000084.bin,159889.42058344008
85,0000085.bin,513379.2705615083
86,0000086.bin,290947.57375841466
87,0000087.bin,279214.28053442907
88,0000088.bin,282013.2746400177
89,0000089.bin,2012778.2095123727
90,0000090.bin,1743182.9068678443
91,0000091.bin,285907.27126636944
92,0000092.bin,330127.429058828
93,0000093.bin,159714.7952209862
94,0000094.bin,149599.8956308991
95,0000095.bin,303564.62858663016
96,0000096.bin,12384091.571364537
97,0000097.bin,103546.74310944157
98,0000098.bin,455365.54510905076
99,0000099.bin,173670.30963152516
100,0000100.bin,263118.3670175026
101,0000101.bin,115343.49867502911
102,0000102.bin,267199.9447463514
103,0000103.bin,362101.60658815847
104,0000104.bin,424093.8181053778
105,0000105.bin,11734184.710036892
106,0000106.bin,433399.88460918533
107,0000107.bin,113468.5190344463
108,0000108.bin,287104.46478479943
109,0000109.bin,207939.90481455144
110,0000110.bin,147737.49067918173
111,0000111.bin,8353079.181691215
112,0000112.bin,113920.51501327948
113,0000113.bin,171001.46182364316
114,0000114.bin,337753.371637943
115,0000115.bin,159424.91919777376
116,0000116.bin,607759.8619577453
117,0000117.bin,102132.66218884461
118,0000118.bin,164327.52365058984
119,0000119.bin,133467.02014973175
120,0000120.bin,299854.19470490114
121,0000121.bin,258951.53774788833
122,0000122.bin,214342.3267029562
123,0000123.bin,291703.613936069
124,0000124.bin,13367706.600796565
125,0000125.bin,340223.10288494726
126,0000126.bin,2952512.1126296157
127,0000127.bin,158717.58428883794
128,0000128.bin,19734995.96675267
129,0000129.bin,502482.6271597774
130,0000130.bin,2657850.050993477
131,0000131.bin,1619608.078793173
132,0000132.bin,315448.5755898881
133,0000133.bin,92017.03513741816
134,0000134.bin,156525.88183752002
135,0000135.bin,365378.9238448606
136,0000136.bin,2183695.45960698
137,0000137.bin,474789.80209948047
138,0000138.bin,148593.5741115012
139,0000139.bin,17040714.070188113
140,0000140.bin,257964.37271042596
141,0000141.bin,223759.45230456718
142,0000142.bin,530568.0388350912
143,0000143.bin,181362.52047455098
144,0000144.bin,137621.48257657755
145,0000145.bin,7266065.118088302
146,0000146.bin,877094.835554704
147,0000147.bin,116620.60901773625
148,0000148.bin,352183.46796985035
149,0000149.bin,148144.14156786373
150,0000150.bin,345740.23896441114
151,0000151.bin,644308.2123428701
152,0000152.bin,928868.1549773385
153,0000153.bin,427608.9805790226
154,0000154.bin,3087140.404023313
155,0000155.bin,1936122.386315712
156,0000156.bin,323660.22847020725
157,0000157.bin,283382.5993677382
158,0000158.bin,775828.5108724224
159,0000159.bin,566030.0469571432
160,0000160.bin,267699.36427630525
161,0000161.bin,870261.3062431744
162,0000162.bin,193892.3145830638
163,0000163.bin,102702.99187887445
164,0000164.bin,281884.23685482814
165,0000165.bin,3848557.4588415446
166,0000166.bin,9008365.827487335
167,0000167.bin,429017.1378858565
168,0000168.bin,513316.9513734396
169,0000169.bin,2100661.6710578883
170,0000170.bin,9092766.619820658
171,0000171.bin,147164.18186176228
172,0000172.bin,221152.88904373776
173,0000173.bin,249760.82582788783
174,0000174.bin,102554.13943244235
175,0000175.bin,682947.6676613617
176,0000176.bin,497606.73093041935
177,0000177.bin,100498.74937970724
178,0000178.bin,3988008.3685979554
179,0000179.bin,444859.02883129433
180,0000180.bin,1175955.2140056875
181,0000181.bin,147420.2828942204
182,0000182.bin,205430.54424506213
183,0000183.bin,997122.1109869682
184,0000184.bin,160657.2733476044
185,0000185.bin,50032653.02975952
186,0000186.bin,570924.3029086174
187,0000187.bin,1652417.1395631928
188,0000188.bin,253862.2528589953
189,0000189.bin,881914.0937064475
190,0000190.bin,10905304.553151831
191,0000191.bin,321927.2423548572
192,0000192.bin,384219.23722591024
193,0000193.bin,339664.79362752434
194,0000194.bin,514045.4519432481
195,0000195.bin,101820.82376138782
196,0000196.bin,371731.35874694894
197,0000197.bin,1115559.3295921062
198,0000198.bin,7416781.320978259
199,0000199.bin,314286.54270285874
200,0000200.bin,149212.262660088
201,0000201.bin,282355.45859762916
202,0000202.bin,92344.01168893612
203,0000203.bin,885180.8800832591
204,0000204.bin,274526.00004858425
205,0000205.bin,147093.1677786378
206,0000206.bin,719973.7176577038
207,0000207.bin,91675.99433333994
208,0000208.bin,275097.8193023089
209,0000209.bin,597446.746507859
210,0000210.bin,112399.28942970498
211,0000211.bin,187148.81724956466
212,0000212.bin,238817.24384926245
213,0000213.bin,750133.5025823567
214,0000214.bin,223759.45230456718
215,0000215.bin,280909.5079421666
216,0000216.bin,496073.13850407634
217,0000217.bin,10460143.349233713
218,0000218.bin,326976.4475880551
219,0000219.bin,137375.21959270837
220,0000220.bin,13285100.732721515
221,0000221.bin,260013.0077650102
222,0000222.bin,7844782.127536253
223,0000223.bin,394524.28135369014
224,0000224.bin,442285.2706127668
225,0000225.bin,539165.280837376
226,0000226.bin,695534.5154811876
227,0000227.bin,291477.962356814
228,0000228.bin,459530.15735363093
229,0000229.bin,341520.6167861716
230,0000230.bin,504672.04330402886
231,0000231.bin,529792.1147167695
232,0000232.bin,803051.6036621266
233,0000233.bin,448028.16219453415
234,0000234.bin,4144746.1154238926
235,0000235.bin,255771.97743878487
236,0000236.bin,466024.2047297743
237,0000237.bin,609171.5526434832
238,0000238.bin,114833.86004530857
239,0000239.bin,3771394.837576785
240,0000240.bin,103392.90235668267
241,0000241.bin,270591.78520247276
242,0000242.bin,2258793.753429898
243,0000243.bin,240813.77881554465
244,0000244.bin,1878839.8978808348
245,0000245.bin,536032.2780645181
246,0000246.bin,934842.4485269658
247,0000247.bin,294970.43496487517
248,0000248.bin,12542718.985628258
249,0000249.bin,4335681.542798237
250,0000250.bin,1987358.3546418746
251,0000251.bin,289234.5062273556
252,0000252.bin,215887.24674158296
253,0000253.bin,5062378.010927395
254,0000254.bin,772466.1499323513
255,0000255.bin,283235.2018439847
256,0000256.bin,137774.97691917486
257,0000257.bin,150802.3892248013
258,0000258.bin,523878.06189266144
259,0000259.bin,688462.5174152259
260,0000260.bin,377417.716190346
261,0000261.bin,434515.0135603364
262,0000262.bin,201806.0547244218
263,0000263.bin,368535.5864422834
264,0000264.bin,1095115.9338375975
265,0000265.bin,205361.0890076648
266,0000266.bin,406093.2029560047
267,0000267.bin,420526.9712356248
268,0000268.bin,294279.1388464206
269,0000269.bin,509622.8334103211
270,0000270.bin,674306.1544405754
271,0000271.bin,59681348.4197856
272,0000272.bin,101400.31646624251
273,0000273.bin,191668.1188585894
274,0000274.bin,10043783.82939991
275,0000275.bin,890360.7512119984
276,0000276.bin,22531601.941108175
277,0000277.bin,648937.6723677203
278,0000278.bin,1553857.4900068988
279,0000279.bin,254938.2374618875
280,0000280.bin,218323.8611771399
281,0000281.bin,183037.76001596518
282,0000282.bin,102670.36004165336
283,0000283.bin,314280.5844480795
284,0000284.bin,106207.17315039711
285,0000285.bin,1427694.7355293941
286,0000286.bin,1591216.232572404
287,0000287.bin,2854037.783896406
288,0000288.bin,618612.7190785798
289,0000289.bin,278519.4510323264
290,0000290.bin,264481.56028536306
291,0000291.bin,431676.63261937577
292,0000292.bin,286023.3533115158
293,0000293.bin,196106.01407964222
294,0000294.bin,194805.76353814136
295,0000295.bin,285519.53437250986
296,0000296.bin,663731.2914734768
297,0000297.bin,10931022.008993145
298,0000298.bin,11918877.964842603
299,0000299.bin,828648.2661076494
300,0000300.bin,13536204.868724711
301,0000301.bin,217649.19274644132
302,0000302.bin,472071.2097923952
303,0000303.bin,144669.4051600756
304,0000304.bin,929595.0620579609
305,0000305.bin,235351.30625957853
306,0000306.bin,276965.87073966005
307,0000307.bin,467694.6291699425
308,0000308.bin,419045.2710514869
309,0000309.bin,464806.08803758473
310,0000310.bin,112377.04989733137
311,0000311.bin,3426455.1859707395
312,0000312.bin,500411.0251114802
313,0000313.bin,139633.29423098554
314,0000314.bin,103639.06141750337
315,0000315.bin,833540.1318290167
316,0000316.bin,336878.20100572036
317,0000317.bin,234603.06031055978
318,0000318.bin,340594.454578164
319,0000319.bin,694041.2798436872
320,0000320.bin,228264.96678916094
321,0000321.bin,1660594.2900188987
322,0000322.bin,4711619.7078176895
323,0000323.bin,168033.90453342834
324,0000324.bin,306070.8021826329
325,0000325.bin,1008030.2898104215
326,0000326.bin,521075.0147881823
327,0000327.bin,149706.55531965042
328,0000328.bin,251920.5199802755
329,0000329.bin,145766.45150079203
330,0000330.bin,116376.80554601431
331,0000331.bin,1238327.5762438376
332,0000332.bin,101808.66476471626
333,0000333.bin,151410.09657126592
334,0000334.bin,1581495.6862775956
335,0000335.bin,454879.5662933663
336,0000336.bin,732913.2803028679
337,0000337.bin,135523.55335600008
338,0000338.bin,9493106.367037214
339,0000339.bin,446960.4567945038
340,0000340.bin,201826.5622059875
341,0000341.bin,1063716.6238658924
342,0000342.bin,169683.47508186926
343,0000343.bin,192676.9345311507
344,0000344.bin,2009516.8963941757
345,0000345.bin,191031.07057143873
346,0000346.bin,387408.1852503926
347,0000347.bin,808936.7312364621
348,0000348.bin,745383.3186166006
349,0000349.bin,5821353.116585375
350,0000350.bin,142264.14084414192
351,0000351.bin,103913.1757783638
352,0000352.bin,1026963.5103331803
353,0000353.bin,2467957.3874910334
354,0000354.bin,113279.20588114133
355,0000355.bin,920700.8079841331
356,0000356.bin,750456.4261338989
357,0000357.bin,173008.31981274052
358,0000358.bin,915692.3059617529
359,0000359.bin,831099.7415308998
360,0000360.bin,909004.2689175991
361,0000361.bin,308912.8550713063
362,0000362.bin,1700156.2012194742
363,0000363.bin,103447.01162392189
364,0000364.bin,182434.72920668192
365,0000365.bin,115978.12209104872
366,0000366.bin,283068.05894102104
367,0000367.bin,9536624.143732294
368,0000368.bin,272600.20203729725
369,0000369.bin,386619.51323551714
370,0000370.bin,218554.08537052778
371,0000371.bin,102381.31540282871
372,0000372.bin,170754.81778859624
373,0000373.bin,277999.35081572604
374,0000374.bin,1077607.3942639132
375,0000375.bin,426581.94373196206
376,0000376.bin,23099902.89010357
377,0000377.bin,102382.04286416803
378,0000378.bin,50139699.47430424
379,0000379.bin,102014.05134951868
380,0000380.bin,9985888.749233231
381,0000381.bin,2891433.696272374
382,0000382.bin,389067.83633453556
383,0000383.bin,535043.7273897316
384,0000384.bin,351404.7725676285
385,0000385.bin,306529.8995697785
386,0000386.bin,502323.59025459475
387,0000387.bin,738470.392096303
388,0000388.bin,3867097.7810849706
389,0000389.bin,1448848.2028355014
390,0000390.bin,2345951.866735638
391,0000391.bin,595870.1992267779
392,0000392.bin,128933.7582111952
393,0000393.bin,471986.3393028074
394,0000394.bin,102190.09699363503
395,0000395.bin,206294.97616227574
396,0000396.bin,10791645.819908839
397,0000397.bin,860119.6638226953
398,0000398.bin,422637.37122201925
399,0000399.bin,91135.3866351739
400,0000400.bin,483326.2837883158
401,0000401.bin,295679.2594375058
