,Unnamed: 0,runstring,t
0,0,0000000.bin,383870.330432
1,1,0000001.bin,603967.765661
2,2,0000002.bin,205667.170638
3,3,0000003.bin,1163678.91241
4,4,0000004.bin,109444.578335
5,5,0000005.bin,862512.661743
6,6,0000006.bin,476773.344816
7,7,0000007.bin,384415.094853
8,8,0000008.bin,1210215.46296
9,9,0000009.bin,105130.283848
10,10,0000010.bin,129217.489877
11,11,0000011.bin,348504.879658
12,12,0000012.bin,1157786.47776
13,13,0000013.bin,216916.455444
14,14,0000014.bin,597087.577398
15,15,0000015.bin,249850.973745
16,16,0000016.bin,118923.673227
17,17,0000017.bin,129704.334539
18,18,0000018.bin,488612.115597
19,19,0000019.bin,230893.303577
20,20,0000020.bin,139568.914516
21,21,0000021.bin,162047.219143
22,22,0000022.bin,125725.538169
23,23,0000023.bin,149498.96599
24,24,0000024.bin,459192.134889
25,25,0000025.bin,364452.281297
26,26,0000026.bin,356202.83809
27,27,0000027.bin,124539.222367
28,28,0000028.bin,112756.292902
29,29,0000029.bin,329799.29204
30,30,0000030.bin,114285.901049
31,31,0000031.bin,638315.082703
32,32,0000032.bin,115315.397029
33,33,0000033.bin,470287.925428
34,34,0000034.bin,889396.851715
35,35,0000035.bin,111165.889795
36,36,0000036.bin,355970.53552
37,37,0000037.bin,1219288.84237
38,38,0000038.bin,908553.638403
39,39,0000039.bin,247917.105089
40,40,0000040.bin,340714.291182
41,41,0000041.bin,308367.907783
42,42,0000042.bin,442868.843721
43,43,0000043.bin,123418.135573
44,44,0000044.bin,134623.183818
45,45,0000045.bin,106021.389019
46,46,0000046.bin,124594.994382
47,47,0000047.bin,365981.924087
48,48,0000048.bin,1152213.67565
49,49,0000049.bin,112087.271204
50,50,0000050.bin,221431.806316
51,51,0000051.bin,123688.092913
52,52,0000052.bin,530297.540327
53,53,0000053.bin,219731.175535
54,54,0000054.bin,243053.127159
55,55,0000055.bin,786615.712706
56,56,0000056.bin,115575.828093
57,57,0000057.bin,254693.578176
58,58,0000058.bin,123197.957355
59,59,0000059.bin,338543.616623
60,60,0000060.bin,477862.63117
61,61,0000061.bin,202815.211468
62,62,0000062.bin,358957.802454
63,63,0000063.bin,200216.0277
64,64,0000064.bin,216323.366825
65,65,0000065.bin,764145.375473
66,66,0000066.bin,110268.82637
67,67,0000067.bin,831243.405706
68,68,0000068.bin,125497.046111
69,69,0000069.bin,144051.252512
70,70,0000070.bin,121853.193603
71,71,0000071.bin,238753.000841
72,72,0000072.bin,165697.341672
73,73,0000073.bin,121958.190484
74,74,0000074.bin,137926.75775
75,75,0000075.bin,906109.195993
76,76,0000076.bin,330007.241984
77,77,0000077.bin,120301.207368
78,78,0000078.bin,249408.123157
79,79,0000079.bin,343225.486806
