,Unnamed: 0,runstring,t
0,0,0000000.bin,29948.2286469
1,1,0000001.bin,35760.8105132
2,2,0000002.bin,33014.959241
3,3,0000003.bin,33020.3632326
4,4,0000004.bin,36871.1229419
5,5,0000005.bin,29536.4167739
6,6,0000006.bin,35297.1757464
7,7,0000007.bin,30550.427301
8,8,0000008.bin,50354.6362487
9,9,0000009.bin,20909.5330751
10,10,0000010.bin,33510.1865741
11,11,0000011.bin,32856.407513
12,12,0000012.bin,33117.8775683
13,13,0000013.bin,29477.7003267
14,14,0000014.bin,40125.1226297
15,15,0000015.bin,33951.8936058
16,16,0000016.bin,36683.5074385
17,17,0000017.bin,32381.6529942
18,18,0000018.bin,33097.2315491
19,19,0000019.bin,32326.0542344
20,20,0000020.bin,31929.4497481
21,21,0000021.bin,29821.9623046
22,22,0000022.bin,28177.0703988
23,23,0000023.bin,33300.3662078
24,24,0000024.bin,49548.2290657
25,25,0000025.bin,51872.0840192
26,26,0000026.bin,49951.5885416
27,27,0000027.bin,31867.4770495
28,28,0000028.bin,70758.6882622
29,29,0000029.bin,55304.8657625
30,30,0000030.bin,33217.8860539
31,31,0000031.bin,58942.9299049
32,32,0000032.bin,30794.8539981
33,33,0000033.bin,30967.5738836
34,34,0000034.bin,54433.1603477
35,35,0000035.bin,35006.8151206
36,36,0000036.bin,31686.5472537
37,37,0000037.bin,68007.2597947
38,38,0000038.bin,31310.034531
39,39,0000039.bin,31059.0606902
40,40,0000040.bin,31460.7227584
41,41,0000041.bin,34630.198475
42,42,0000042.bin,34097.5935332
43,43,0000043.bin,32408.8807981
44,44,0000044.bin,77194.5997727
45,45,0000045.bin,33257.2035569
46,46,0000046.bin,32331.9431997
47,47,0000047.bin,43932.0961506
48,48,0000048.bin,29152.1444735
49,49,0000049.bin,34794.3966814
50,50,0000050.bin,56439.2190257
51,51,0000051.bin,35474.7800089
52,52,0000052.bin,29419.6074169
53,53,0000053.bin,35693.2606181
54,54,0000054.bin,28995.2555121
55,55,0000055.bin,32093.2322628
56,56,0000056.bin,32319.6456547
57,57,0000057.bin,52655.4549559
58,58,0000058.bin,33374.2900417
59,59,0000059.bin,44656.4042304
60,60,0000060.bin,48119.1850553
61,61,0000061.bin,33035.2934915
62,62,0000062.bin,18649.9717653
63,63,0000063.bin,30349.9253561
64,64,0000064.bin,33089.7144582
65,65,0000065.bin,58880.1951049
66,66,0000066.bin,51826.9121919
67,67,0000067.bin,32887.3072598
68,68,0000068.bin,70767.9720427
69,69,0000069.bin,74728.0586574
70,70,0000070.bin,85750.6773215
71,71,0000071.bin,29638.5729998
72,72,0000072.bin,54654.1697479
73,73,0000073.bin,31711.0037798
74,74,0000074.bin,36267.504008
75,75,0000075.bin,75756.9301609
76,76,0000076.bin,30886.2022408
77,77,0000077.bin,30602.6312455
78,78,0000078.bin,48002.2371344
79,79,0000079.bin,32868.1161615
80,80,0000080.bin,87070.6715521
81,81,0000081.bin,44766.4932388
82,82,0000082.bin,35003.5935102
83,83,0000083.bin,31082.9976017
84,84,0000084.bin,52813.5217103
85,85,0000085.bin,32702.8094439
86,86,0000086.bin,30967.8856524
87,87,0000087.bin,31582.6243382
88,88,0000088.bin,57227.7861082
89,89,0000089.bin,33321.1161499
90,90,0000090.bin,58609.2680643
91,91,0000091.bin,28913.3988957
92,92,0000092.bin,71605.9717916
93,93,0000093.bin,36588.2101251
94,94,0000094.bin,32926.8326087
95,95,0000095.bin,34581.5279096
96,96,0000096.bin,30886.2022408
97,97,0000097.bin,32083.6367137
98,98,0000098.bin,30457.7973423
99,99,0000099.bin,29308.0981286
100,100,0000100.bin,28580.9841302
101,101,0000101.bin,38904.4440647
102,102,0000102.bin,44417.139038
103,103,0000103.bin,31328.1864002
104,104,0000104.bin,32751.1682406
105,105,0000105.bin,57241.4000101
106,106,0000106.bin,33157.7839678
107,107,0000107.bin,31501.8762329
108,108,0000108.bin,94472.5812023
109,109,0000109.bin,34070.2271655
110,110,0000110.bin,47751.4364985
111,111,0000111.bin,28516.7251274
112,112,0000112.bin,34018.0578619
113,113,0000113.bin,53202.9901565
114,114,0000114.bin,32900.3669062
115,115,0000115.bin,32377.3228727
