,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant,maxstddetrended,maxda,tlyap,mind,maxm,KSpval
218,2341,0.14328796036650554,4.1672906253157365,0.42297813737117534,0.013484295960351163,0.009422091195055977,1.6138551446955092e-08,0.006497855812309856,0.00010638229784620809,497.99899571029516,-4.112220807565947,3.283067400063127e-05,1.1442532060332164e-11
219,2344,0.16745108629301694,5.008511092645816,0.3669719146962992,0.011534414402311371,0.008144223497081377,8.820992807467571e-09,0.004207494558582349,0.00013939163081195982,535.5969360006461,3.2291504333578986,1.3495815515960413e-06,0.027898179221742436
220,2359,0.19359515006561068,4.976098547054966,0.3035784651335068,0.009474529682792887,0.00686184850027245,4.22517917431607e-09,0.0009254522099076123,0.0001415372056327453,2099.491428036983,3.959319920583747,4.6625027614223094e-06,2.879293182699657e-05
221,2364,0.6678661273138019,4.932280062220512,0.09126990325312803,0.0028517227659216344,0.0020677397733517657,3.4721446015016396e-11,0.0002538524776585963,0.0003640344971413953,23990.927041492756,5.9062122472230145,7.037799027152659e-07,2.9954050247865736e-48
222,2370,0.23781516161846736,5.180663384565916,0.2593064579724752,0.008496874726712005,0.005704224387802865,2.347881437498273e-09,0.0027259800931670043,2.0118148950516115e-05,355.59586235516764,4.640699314811293,1.4542578998093445e-06,0.4253468503964972
223,2372,0.16046167596196673,6.320224229224,0.3709804241643348,0.011691892030200282,0.008271178612196891,9.346662343956764e-09,0.006461692896436307,1.8525762593011697e-05,3683.895761313689,7.354960614861453,6.166670932022429e-05,9.347305103499439e-05
224,2377,0.11811794778109147,5.180803470713278,0.5274662812846524,0.0168536574618225,0.011633743301409528,3.8431903169673056e-08,0.0003109727127562444,3.305916732754266e-05,527022.417236077,8.702642333934438,2.4614699315171974e-06,2.620478899651175e-07
225,2383,0.16316570459485755,5.9235339266484575,0.3778961284317075,0.012290193793405924,0.00850869117391972,1.0933474134962163e-08,0.0007644490835896783,1.2976740100922864e-05,-69178.87092515024,5.604935753825633,2.2169900967609394e-06,0.06617603592390908
226,23975,0.16957498008017025,5.74705950162601,0.3574908136697392,0.011588565004363222,0.007966819608259545,8.520253694759377e-09,0.000454235731425633,0.00031756775133806586,176688.6680419204,9.320789790748897,1.4961988896025688e-05,4.539116694677293e-07
227,2399,0.1131138051311962,5.502242611655047,0.5693609672187303,0.018143419577812358,0.012863031433451884,5.435757219734899e-08,0.0012072832967710513,9.376056502707894e-05,-55100.249797562436,4.878680742772675,1.4997757057310323e-05,5.75261663682573e-14
228,24008,0.215237115561206,4.6533008872603165,0.28442390952011826,0.009074830781621685,0.006218875530560946,3.185085445197916e-09,0.005946864920290222,7.278773576207615e-06,427.138996096367,2.3094367827658235,8.075290774095901e-05,0.14408243524623562
230,24017,0.09562674764401123,5.2877197794860775,0.6360101931280401,0.020272355976605014,0.014289654336261497,8.392422077606431e-08,0.0024135293225912785,1.616160279460654e-05,839.8161346334473,3.6440525788635183,1.147174078879674e-05,0.0022138188880831125
231,24248,0.1562566297530697,5.521755020059429,0.3819452237108304,0.012301601551949079,0.008763563425772277,1.1622513570965624e-08,0.0016631114763909073,1.198038003014102e-05,2268.0809747937606,5.130663696890135,1.0714419795401614e-05,0.1298437801612358
232,24346,0.17602351491959128,6.6408396616662655,0.3474598729032075,0.010962653895313144,0.007924823516662578,7.545125989269306e-09,0.005328442846799208,3.815538917792729e-05,2553.783585604649,5.262696632104928,9.75581169215007e-05,0.04037148126043403
233,24453,0.2428373624069312,4.354669071380795,0.2555672193036689,0.008012794151085065,0.00568744339263397,2.0768455098792022e-09,0.025018482405092628,0.016404350533466304,106.82216947117028,-19.592731001098855,1.6337294700698306e-05,1.436800573826131e-13
234,24576,0.25786640727470056,5.0868571528763775,0.23862127274696635,0.00735656995100748,0.005396969148514034,1.5764994745836253e-09,0.0014154992798097676,0.00038777255865433415,-6398946.664322756,6.520052388931927,3.4300618758598754e-05,1.275924470567565e-07
235,24631,0.17882246316775813,5.116808514251794,0.3406976925538984,0.010839577593693223,0.007692298960074927,6.9530708040079594e-09,0.011126879017527676,0.0004184358046125313,313.5625534048654,2.8669369040126367,6.1169435052563244e-06,0.10480344582370013
236,24705,0.15305165628675602,5.2765356266143355,0.3997828289218254,0.012727332529278906,0.00879677674781987,1.2534695398121149e-08,0.0010378549068844412,0.00019027734208898464,510.1542443043025,6.927007256121573,1.0595758546862729e-05,3.556889928938408e-05
237,24763,0.11520643742321825,5.859998116780439,0.5363351662550544,0.01657862331616164,0.012143361714001846,4.043686343324944e-08,0.017822771927229968,0.004088374346620556,463.07449786347394,4.048490194740154,1.824983452944509e-05,0.6028025867269027
238,24824,0.0934028072053408,5.8590362333612,0.6708467039052427,0.020705474204004124,0.015118998110059269,9.795926025481251e-08,0.019081006899942337,0.0037070849244743567,583.9578960066324,4.246167150901658,8.73657693920208e-05,0.11510931329227768
239,24923,0.14625926358208796,5.222847318991144,0.3949236374135085,0.012501122521680563,0.00885713963638228,1.225755922180266e-08,0.009401569714004217,0.0008155956596929132,473.95179997003385,4.115310316296089,3.4350150643381824e-05,0.03178534978943396
240,24930,0.12824266887185262,5.180965952885849,0.4729436779026469,0.015298734696863587,0.010765318848483635,2.712721258534752e-08,0.0002417258154085736,1.4848770981018107e-05,678298.735602577,8.281581464013556,2.701441584453581e-05,2.962869184240814e-23
241,24937,0.17348020580748932,5.707116458796067,0.3453194843862869,0.010958417719558713,0.007656982657103353,7.02208994585114e-09,0.003457174925016544,0.00015701138417212326,632.3407448124365,3.8656485487986796,5.322856892807357e-06,0.093869537046765
242,24946,0.10245647821591797,5.424337977583966,0.5848407774300679,0.018909110007984425,0.013300753942848966,6.325126223626678e-08,0.0022210742426726935,0.0014688476349642547,488.7209276606562,2.6272252866187813,6.748540012081974e-06,2.0069512640304907e-09
243,25,0.1803818541956217,5.331401170468938,0.33569767983023785,0.010599423004222444,0.007709298951403356,6.6775764131754355e-09,0.018876867525915247,0.005364261037895109,1331.9995657503343,4.4943476963029445,6.030669427572176e-05,0.39352654602675474
245,28,0.23881324293477305,4.155607041137558,0.25295348749910546,0.00793175067306033,0.0055775333285014925,1.9556122347708467e-09,0.0014265437301120888,0.0003734731787636836,140.566934858192,2.8495761996086384,6.191311724673287e-06,0.3935265460267513
