,Unnamed: 0,runstring,t
0,0,0000000.bin,948.034249237
1,1,0000001.bin,4859.40297252
2,2,0000002.bin,876.987104938
3,3,0000003.bin,875.497574365
4,4,0000004.bin,875.532214611
5,5,0000005.bin,853.293176756
6,6,0000006.bin,36313.6122383
7,7,0000007.bin,13415.3012229
8,8,0000008.bin,2955.15937601
9,9,0000009.bin,2916.29302013
10,10,0000010.bin,916.927308437
11,11,0000011.bin,3652.12112312
12,12,0000012.bin,3269.72744885
13,13,0000013.bin,900.68103312
14,14,0000014.bin,3383.13961386
15,15,0000015.bin,876.987104938
16,16,0000016.bin,875.497574365
17,17,0000017.bin,2011.94012095
18,18,0000018.bin,853.293176756
19,19,0000019.bin,1152.44634017
20,20,0000020.bin,1078.38549448
21,21,0000021.bin,7294.19657493
22,22,0000022.bin,876.987104938
23,23,0000023.bin,986.588842901
24,24,0000024.bin,5113.87021876
25,25,0000025.bin,990.988154128
26,26,0000026.bin,1109.38851455
27,27,0000027.bin,878.476635511
28,28,0000028.bin,996.911636174
29,29,0000029.bin,896.212441401
30,30,0000030.bin,1067.88949998
31,31,0000031.bin,2082.84870426
32,32,0000032.bin,38372.0742095
33,33,0000033.bin,916.927308437
34,34,0000034.bin,2558.90960339
35,35,0000035.bin,896.212441401
36,36,0000036.bin,875.497574365
37,37,0000037.bin,1115.41591733
38,38,0000038.bin,2019.42241406
39,39,0000039.bin,918.41683901
40,40,0000040.bin,2492.33105081
41,41,0000041.bin,936.187285146
42,42,0000042.bin,1964.72546581
43,43,0000043.bin,1801.81238944
44,44,0000044.bin,2803.0886966
45,45,0000045.bin,15199.2046051
46,46,0000046.bin,9386.74454798
47,47,0000047.bin,875.497574365
48,48,0000048.bin,896.212441401
49,49,0000049.bin,1032.4178882
50,50,0000050.bin,2646.82654743
51,51,0000051.bin,875.497574365
52,52,0000052.bin,876.987104938
53,53,0000053.bin,853.293176756
54,54,0000054.bin,2711.74236821
55,55,0000055.bin,989.498623555
56,56,0000056.bin,876.987104938
57,57,0000057.bin,45473.8788592
58,58,0000058.bin,17005.1391838
59,59,0000059.bin,2507.29563703
60,60,0000060.bin,1001.38022789
61,61,0000061.bin,1075.40643334
62,62,0000062.bin,928.808912774
63,63,0000063.bin,1021.99117419
64,64,0000064.bin,2179.28714879
65,65,0000065.bin,1061.96601794
66,66,0000066.bin,1103.4650325
67,67,0000067.bin,943.600297765
68,68,0000068.bin,2192.76220444
69,69,0000069.bin,976.196769138
70,70,0000070.bin,2307.24821707
71,71,0000071.bin,2766.71643842
72,72,0000072.bin,8041.35203832
73,73,0000073.bin,1075.33715285
74,74,0000074.bin,2617.17449696
75,75,0000075.bin,38785.7826661
76,76,0000076.bin,875.497574365
77,77,0000077.bin,4230.99427202
78,78,0000078.bin,1140.53009559
79,79,0000079.bin,59241.2635422
80,80,0000080.bin,35380.1615325
81,81,0000081.bin,1053.13275524
82,82,0000082.bin,6734.37556127
83,83,0000083.bin,993.932575028
84,84,0000084.bin,2554.33709093
85,85,0000085.bin,6594.91393135
86,86,0000086.bin,11112.0019939
87,87,0000087.bin,945.089828338
88,88,0000088.bin,3138.12915475
89,89,0000089.bin,900.68103312
90,90,0000090.bin,3612.21555986
91,91,0000091.bin,924.340321056
92,92,0000092.bin,1138.93664428
93,93,0000093.bin,1173.05728647
94,94,0000094.bin,7060.54811647
95,95,0000095.bin,3594.93007717
96,96,0000096.bin,875.532214611
97,97,0000097.bin,3080.73026733
98,98,0000098.bin,875.497574365
99,99,0000099.bin,983.57514151
100,100,0000100.bin,2681.1550311
101,101,0000101.bin,2292.90715528
102,102,0000102.bin,948.068889483
103,103,0000103.bin,876.987104938
104,104,0000104.bin,876.987104938
105,105,0000105.bin,1118.32569798
106,106,0000106.bin,3466.13764299
107,107,0000107.bin,875.497574365
108,108,0000108.bin,2328.17092558
109,109,0000109.bin,46020.2594575
110,110,0000110.bin,1075.40643334
111,111,0000111.bin,1109.42315479
112,112,0000112.bin,2517.72235104
113,113,0000113.bin,2405.69579586
114,114,0000114.bin,875.497574365
115,115,0000115.bin,4210.48724645
116,116,0000116.bin,2206.75686378
117,117,0000117.bin,875.497574365
118,118,0000118.bin,3682.67381998
119,119,0000119.bin,928.808912774
120,120,0000120.bin,1079.80574456
121,121,0000121.bin,147672.095617
122,122,0000122.bin,2930.66872217
123,123,0000123.bin,18437.6172717
124,124,0000124.bin,876.987104938
125,125,0000125.bin,1340.50823506
126,126,0000126.bin,916.961948683
127,127,0000127.bin,1286.98905517
128,128,0000128.bin,3757.63531207
129,129,0000129.bin,916.927308437
130,130,0000130.bin,3221.12718388
131,131,0000131.bin,6798.32145516
132,132,0000132.bin,1061.96601794
133,133,0000133.bin,990.953513882
134,134,0000134.bin,918.41683901
135,135,0000135.bin,902.170563693
136,136,0000136.bin,6051.02743079
137,137,0000137.bin,2511.69494826
138,138,0000138.bin,2115.30661465
139,139,0000139.bin,924.374961301
140,140,0000140.bin,4511.68418438
141,141,0000141.bin,942.110767192
142,142,0000142.bin,916.961948683
143,143,0000143.bin,3947.70634121
144,144,0000144.bin,31326.5945996
145,145,0000145.bin,2189.81778354
146,146,0000146.bin,988.009092982
147,147,0000147.bin,853.293176756
148,148,0000148.bin,915.437777865
149,149,0000149.bin,2607.75235008
150,150,0000150.bin,1036.85183967
151,151,0000151.bin,1149.36335829
152,152,0000152.bin,876.987104938
153,153,0000153.bin,876.987104938
154,154,0000154.bin,3072.07020586
155,155,0000155.bin,2524.68504046
156,156,0000156.bin,918.41683901
157,157,0000157.bin,853.293176756
158,158,0000158.bin,5086.05410132
159,159,0000159.bin,3777.5188132
160,160,0000160.bin,948.068889483
161,161,0000161.bin,942.110767192
162,162,0000162.bin,2851.27327862
163,163,0000163.bin,1005.77953912
164,164,0000164.bin,2341.29957877
165,165,0000165.bin,2872.26526762
166,166,0000166.bin,853.327817002
167,167,0000167.bin,2589.32373927
168,168,0000168.bin,2395.3037221
169,169,0000169.bin,955.481902101
170,170,0000170.bin,990.953513882
171,171,0000171.bin,990.988154128
172,172,0000172.bin,875.497574365
173,173,0000173.bin,5643.48493802
174,174,0000174.bin,1144.86012633
175,175,0000175.bin,27986.2356893
176,176,0000176.bin,988.009092982
