,Unnamed: 0,runstring,t
0,0,0000000.bin,101812.558442
1,1,0000001.bin,99904.7061653
2,2,0000002.bin,1725671.17871
3,3,0000003.bin,930094.215071
4,4,0000004.bin,356958.139346
5,5,0000005.bin,732802.370889
6,6,0000006.bin,626598.824983
7,7,0000007.bin,1491631.03391
8,8,0000008.bin,445370.248284
9,9,0000009.bin,293698.746088
10,10,0000010.bin,523368.064533
11,11,0000011.bin,762350.889069
12,12,0000012.bin,405063.625634
13,13,0000013.bin,1608233.56119
14,14,0000014.bin,342039.271463
15,15,0000015.bin,536731.656089
16,16,0000016.bin,937667.42733
17,17,0000017.bin,163271.070761
18,18,0000018.bin,1126028.61759
19,19,0000019.bin,925069.782605
20,20,0000020.bin,229207.865793
21,21,0000021.bin,1196538.33448
22,22,0000022.bin,506622.334994
23,23,0000023.bin,1690231.19884
24,24,0000024.bin,557189.132587
25,25,0000025.bin,181712.926875
26,26,0000026.bin,1206431.8346
27,27,0000027.bin,415665.568541
28,28,0000028.bin,980844.436682
29,29,0000029.bin,1076356.56202
30,30,0000030.bin,2159249.28919
31,31,0000031.bin,1432545.11731
32,32,0000032.bin,999305.310696
33,33,0000033.bin,1382551.14306
34,34,0000034.bin,2086840.10314
35,35,0000035.bin,2233106.91877
36,36,0000036.bin,1827305.64791
37,37,0000037.bin,1285991.71681
38,38,0000038.bin,1847448.7921
39,39,0000039.bin,294587.356649
40,40,0000040.bin,1335535.42753
41,41,0000041.bin,575144.317495
42,42,0000042.bin,452750.267766
43,43,0000043.bin,725786.151037
44,44,0000044.bin,742343.468255
45,45,0000045.bin,809940.293954
46,46,0000046.bin,1229151.05568
47,47,0000047.bin,1377179.40007
48,48,0000048.bin,326143.874196
49,49,0000049.bin,1008212.09698
50,50,0000050.bin,693141.664056
51,51,0000051.bin,487251.373008
52,52,0000052.bin,543040.853427
53,53,0000053.bin,488328.049479
54,54,0000054.bin,737753.988003
55,55,0000055.bin,808130.30246
56,56,0000056.bin,2594341.28002
57,57,0000057.bin,617540.830802
58,58,0000058.bin,574698.765139
59,59,0000059.bin,512548.021981
60,60,0000060.bin,1471771.49547
61,61,0000061.bin,1346499.64587
62,62,0000062.bin,1040590.1255
63,63,0000063.bin,913565.788435
64,64,0000064.bin,883044.897791
65,65,0000065.bin,554660.409925
66,66,0000066.bin,308488.680223
67,67,0000067.bin,4761570.10506
68,68,0000068.bin,1194816.91999
69,69,0000069.bin,642191.390754
70,70,0000070.bin,1869735.07015
71,71,0000071.bin,495400.422369
72,72,0000072.bin,411029.773292
73,73,0000073.bin,12803447.7264
74,74,0000074.bin,761008.100546
75,75,0000075.bin,504861.221931
76,76,0000076.bin,387583.230075
77,77,0000077.bin,2857811.99044
78,78,0000078.bin,1139014.58777
79,79,0000079.bin,415622.336591
80,80,0000080.bin,320699.004089
81,81,0000081.bin,1510685.20409
82,82,0000082.bin,913946.943198
83,83,0000083.bin,181472.449153
84,84,0000084.bin,1092649.56851
85,85,0000085.bin,661215.457911
86,86,0000086.bin,237509.335491
87,87,0000087.bin,501610.511847
88,88,0000088.bin,509934.359622
89,89,0000089.bin,1055149.48923
90,90,0000090.bin,393496.515589
91,91,0000091.bin,793513.365406
92,92,0000092.bin,388833.111474
93,93,0000093.bin,382826.122094
94,94,0000094.bin,1293438.31626
95,95,0000095.bin,213681.048613
96,96,0000096.bin,1990350.30527
97,97,0000097.bin,1263104.14053
98,98,0000098.bin,2071140.91241
99,99,0000099.bin,65021732.2647
100,100,0000100.bin,1794687.86913
101,101,0000101.bin,693621.441706
102,102,0000102.bin,470744.978038
103,103,0000103.bin,1467109.99661
104,104,0000104.bin,2824478.21713
105,105,0000105.bin,877976.471273
106,106,0000106.bin,1823477.23011
107,107,0000107.bin,1511140.69841
108,108,0000108.bin,848716.096811
109,109,0000109.bin,520716.054603
110,110,0000110.bin,940912.213804
111,111,0000111.bin,1701453.1461
112,112,0000112.bin,602016.092081
113,113,0000113.bin,1085239.03032
114,114,0000114.bin,888689.334616
115,115,0000115.bin,448507.716985
116,116,0000116.bin,333801.506537
117,117,0000117.bin,391773.646173
118,118,0000118.bin,314572.052976
119,119,0000119.bin,522945.098099
120,120,0000120.bin,557496.640616
121,121,0000121.bin,1004297.38848
122,122,0000122.bin,3746255.65127
123,123,0000123.bin,1074826.08863
124,124,0000124.bin,383938.79055
125,125,0000125.bin,490993.049779
126,126,0000126.bin,1528746.56362
127,127,0000127.bin,366121.30356
128,128,0000128.bin,1483526.08253
129,129,0000129.bin,1515494.61996
130,130,0000130.bin,607416.275317
131,131,0000131.bin,461988.498995
132,132,0000132.bin,547676.648676
133,133,0000133.bin,646908.349832
134,134,0000134.bin,354437.557316
135,135,0000135.bin,380753.725134
136,136,0000136.bin,1987915.63288
137,137,0000137.bin,380363.598355
138,138,0000138.bin,1247431.76193
139,139,0000139.bin,1690982.35397
140,140,0000140.bin,191547.329465
141,141,0000141.bin,310125.155021
142,142,0000142.bin,1764979.96777
143,143,0000143.bin,328784.729729
144,144,0000144.bin,802100.346107
145,145,0000145.bin,971779.271817
146,146,0000146.bin,1567261.31201
147,147,0000147.bin,1810757.3027
148,148,0000148.bin,527940.051087
149,149,0000149.bin,509666.273035
150,150,0000150.bin,993225.921657
151,151,0000151.bin,1654269.62965
152,152,0000152.bin,1324937.71083
153,153,0000153.bin,588133.232151
154,154,0000154.bin,287466.763507
155,155,0000155.bin,2139459.03271
156,156,0000156.bin,1046083.66619
157,157,0000157.bin,678248.776912
158,158,0000158.bin,642191.390754
159,159,0000159.bin,562153.185815
160,160,0000160.bin,386337.263107
161,161,0000161.bin,354920.31409
162,162,0000162.bin,392821.917036
163,163,0000163.bin,2678515.20294
164,164,0000164.bin,815075.854702
165,165,0000165.bin,2068029.0434
166,166,0000166.bin,750620.619981
167,167,0000167.bin,643244.407432
168,168,0000168.bin,720607.011929
169,169,0000169.bin,1602792.57088
170,170,0000170.bin,2080963.25994
171,171,0000171.bin,1018503.62201
172,172,0000172.bin,1100955.5069
173,173,0000173.bin,862191.474828
174,174,0000174.bin,2253368.15409
175,175,0000175.bin,1928250.27651
176,176,0000176.bin,1911575.90741
177,177,0000177.bin,911073.88914
178,178,0000178.bin,1010672.85402
179,179,0000179.bin,720283.776893
180,180,0000180.bin,945759.804039
181,181,0000181.bin,532629.366658
182,182,0000182.bin,1445192.12544
183,183,0000183.bin,554146.71875
184,184,0000184.bin,688818.018728
185,185,0000185.bin,334983.872655
186,186,0000186.bin,471262.999336
187,187,0000187.bin,1070592.92556
188,188,0000188.bin,293726.320312
189,189,0000189.bin,412011.672027
190,190,0000190.bin,474329.21153
191,191,0000191.bin,2706965.15155
192,192,0000192.bin,1455465.29075
193,193,0000193.bin,457245.108845
194,194,0000194.bin,253702.645233
195,195,0000195.bin,1618002.63088
196,196,0000196.bin,795999.167887
197,197,0000197.bin,2293188.55586
198,198,0000198.bin,2486583.42773
199,199,0000199.bin,515511.177243
200,200,0000200.bin,478335.337585
201,201,0000201.bin,466910.359503
202,202,0000202.bin,421546.880425
203,203,0000203.bin,1566474.58058
204,204,0000204.bin,1053321.10337
205,205,0000205.bin,777300.552789
206,206,0000206.bin,467453.426233
207,207,0000207.bin,1099430.50679
208,208,0000208.bin,725896.136166
209,209,0000209.bin,630276.658418
210,210,0000210.bin,332809.457993
211,211,0000211.bin,750791.954295
212,212,0000212.bin,8470150.64484
213,213,0000213.bin,272653.308142
214,214,0000214.bin,977341.678788
215,215,0000215.bin,900336.015006
216,216,0000216.bin,908234.644683
217,217,0000217.bin,1068710.67297
218,218,0000218.bin,1694327.84179
219,219,0000219.bin,818306.957987
220,220,0000220.bin,911058.958875
221,221,0000221.bin,1119488.33024
222,222,0000222.bin,458531.778971
223,223,0000223.bin,204710.488279
224,224,0000224.bin,1635897.02086
225,225,0000225.bin,977465.83208
226,226,0000226.bin,1442660.59686
227,227,0000227.bin,183053.394451
228,228,0000228.bin,376976.264225
229,229,0000229.bin,153997.297881
230,230,0000230.bin,323566.965923
231,231,0000231.bin,2662304.08773
232,232,0000232.bin,1821976.61725
233,233,0000233.bin,400789.863325
234,234,0000234.bin,2702363.44303
235,235,0000235.bin,309097.841954
236,236,0000236.bin,371773.603889
237,237,0000237.bin,483314.425001
238,238,0000238.bin,588428.407989
239,239,0000239.bin,2531730.40065
240,240,0000240.bin,876799.751635
241,241,0000241.bin,634991.29655
242,242,0000242.bin,1941977.63306
243,243,0000243.bin,14263101.2556
244,244,0000244.bin,707550.027736
245,245,0000245.bin,530388.683791
246,246,0000246.bin,686756.880088
247,247,0000247.bin,559542.156171
248,248,0000248.bin,769236.99738
249,249,0000249.bin,258173.618673
250,250,0000250.bin,363892.121499
251,251,0000251.bin,349820.676045
252,252,0000252.bin,3747817.33618
253,253,0000253.bin,224962.994065
254,254,0000254.bin,2404340.0123
255,255,0000255.bin,2010397.45929
256,256,0000256.bin,1524340.61131
257,257,0000257.bin,1377036.22888
258,258,0000258.bin,429182.896791
259,259,0000259.bin,310420.504064
260,260,0000260.bin,448771.473449
261,261,0000261.bin,3481989.13349
262,262,0000262.bin,341420.756666
263,263,0000263.bin,10519460.7941
264,264,0000264.bin,467565.07413
265,265,0000265.bin,639358.104546
266,266,0000266.bin,463268.79518
267,267,0000267.bin,1191663.27395
268,268,0000268.bin,784855.682453
269,269,0000269.bin,453026.876036
270,270,0000270.bin,947741.129848
271,271,0000271.bin,439686.251453
272,272,0000272.bin,8709407.97098
273,273,0000273.bin,280272.454348
274,274,0000274.bin,2282987.37452
275,275,0000275.bin,1427385.68892
276,276,0000276.bin,1014608.72816
277,277,0000277.bin,1405556.94901
278,278,0000278.bin,2558682.36912
279,279,0000279.bin,264372.44983
280,280,0000280.bin,731542.790014
281,281,0000281.bin,2072068.2516
282,282,0000282.bin,12085780.0174
283,283,0000283.bin,572067.228031
284,284,0000284.bin,2317727.60648
285,285,0000285.bin,583419.875736
286,286,0000286.bin,100000000.0
287,287,0000287.bin,1481283.04407
288,288,0000288.bin,464129.207979
289,289,0000289.bin,699219.07856
290,290,0000290.bin,310571.573402
291,291,0000291.bin,811679.098223
292,292,0000292.bin,826220.621852
293,293,0000293.bin,549773.121121
294,294,0000294.bin,410716.272373
295,295,0000295.bin,656536.846404
296,296,0000296.bin,271957.613229
297,297,0000297.bin,501338.580111
298,298,0000298.bin,836143.497519
299,299,0000299.bin,1783983.28498
300,300,0000300.bin,1391724.24923
301,301,0000301.bin,578658.229786
302,302,0000302.bin,584723.242817
303,303,0000303.bin,772681.385213
304,304,0000304.bin,173905.472272
305,305,0000305.bin,760607.235062
306,306,0000306.bin,1178548.12754
307,307,0000307.bin,311931.994186
308,308,0000308.bin,1171569.11211
309,309,0000309.bin,415873.553018
310,310,0000310.bin,666989.174894
311,311,0000311.bin,409186.318606
312,312,0000312.bin,640741.561586
313,313,0000313.bin,2252616.51398
314,314,0000314.bin,858306.800068
315,315,0000315.bin,2810602.35468
316,316,0000316.bin,695938.992921
317,317,0000317.bin,508731.659245
318,318,0000318.bin,1141514.48913
319,319,0000319.bin,826801.58582
320,320,0000320.bin,506600.095482
321,321,0000321.bin,1082742.24665
322,322,0000322.bin,728912.811751
323,323,0000323.bin,1516286.61681
324,324,0000324.bin,508985.924079
325,325,0000325.bin,634675.232198
326,326,0000326.bin,1583084.58674
327,327,0000327.bin,1260093.76961
328,328,0000328.bin,215145.461635
329,329,0000329.bin,799186.415685
330,330,0000330.bin,899484.193171
331,331,0000331.bin,3007739.31901
332,332,0000332.bin,3222278.97918
333,333,0000333.bin,339833.125657
334,334,0000334.bin,557599.143292
335,335,0000335.bin,1176040.88229
336,336,0000336.bin,181313.308466
337,337,0000337.bin,614588.102476
338,338,0000338.bin,1325822.40695
339,339,0000339.bin,386419.535447
340,340,0000340.bin,2411120.53488
341,341,0000341.bin,881111.480465
342,342,0000342.bin,217648.896378
343,343,0000343.bin,3484647.51736
344,344,0000344.bin,1645983.05557
