,Unnamed: 0,runstring,t
0,0,0000000.bin,34296.1626683
1,1,0000001.bin,43033.2152864
2,2,0000002.bin,24929.7521084
3,3,0000003.bin,21160.8097895
4,4,0000004.bin,25307680.0075
5,5,0000005.bin,212357.244444
6,6,0000006.bin,14508.6265963
7,7,0000007.bin,920698.083261
8,8,0000008.bin,78809.0688703
9,9,0000009.bin,24282.2769165
10,10,0000010.bin,56062.4280984
11,11,0000011.bin,713907.199508
12,12,0000012.bin,26164.9121022
13,13,0000013.bin,3063026.74365
14,14,0000014.bin,47346.3679347
15,15,0000015.bin,323673.059711
16,16,0000016.bin,11061.4300147
17,17,0000017.bin,22672.0240235
18,18,0000018.bin,29092.4241921
19,19,0000019.bin,46899.0138804
20,20,0000020.bin,9385.32455401
21,21,0000021.bin,27240.1345345
22,22,0000022.bin,64222.8463982
23,23,0000023.bin,59167.821795
24,24,0000024.bin,12903.1888041
25,25,0000025.bin,356946.584991
26,26,0000026.bin,42088.0005795
27,27,0000027.bin,22265.1653145
28,28,0000028.bin,16439.5167147
29,29,0000029.bin,32587.0096804
30,30,0000030.bin,62119.2708255
31,31,0000031.bin,41041.1491376
32,32,0000032.bin,22126.9130278
33,33,0000033.bin,25516.709449
34,34,0000034.bin,165698.292812
35,35,0000035.bin,18652.1075584
36,36,0000036.bin,99596.2753317
37,37,0000037.bin,64918.3686765
38,38,0000038.bin,11963.2048902
39,39,0000039.bin,519910.489283
40,40,0000040.bin,41134.9570034
41,41,0000041.bin,3023870.48085
42,42,0000042.bin,8773.0792732
43,43,0000043.bin,21810.7098524
44,44,0000044.bin,23546.50178
45,45,0000045.bin,10720.6317193
46,46,0000046.bin,19250.5657156
47,47,0000047.bin,19758.9225955
48,48,0000048.bin,3429730.94501
49,49,0000049.bin,4571.71317673
50,50,0000050.bin,31936.7632074
51,51,0000051.bin,143296.156939
52,52,0000052.bin,5748.74554915
53,53,0000053.bin,478308.987122
54,54,0000054.bin,24638.6290271
55,55,0000055.bin,308675.232723
56,56,0000056.bin,13061.0132638
57,57,0000057.bin,412958.64503
58,58,0000058.bin,20206.6577009
59,59,0000059.bin,438723.869101
60,60,0000060.bin,11357.5760431
61,61,0000061.bin,30903.0753508
62,62,0000062.bin,5975.47098554
63,63,0000063.bin,209581.044305
64,64,0000064.bin,79258.5706677
65,65,0000065.bin,31264.6582545
66,66,0000066.bin,77515.0191522
67,67,0000067.bin,38040.5098673
68,68,0000068.bin,131321.104827
69,69,0000069.bin,119893.900342
70,70,0000070.bin,25195.4486855
71,71,0000071.bin,67907.2992851
72,72,0000072.bin,7881.2463687
73,73,0000073.bin,19902.5442394
74,74,0000074.bin,31508.0806596
75,75,0000075.bin,6010.1119995
76,76,0000076.bin,17450.9650403
77,77,0000077.bin,1772702.03119
78,78,0000078.bin,193016.404256
79,79,0000079.bin,26690.0352328
80,80,0000080.bin,14109.3542694
81,81,0000081.bin,187530.653287
82,82,0000082.bin,81155.8243621
83,83,0000083.bin,403751.721702
84,84,0000084.bin,24672.0922466
85,85,0000085.bin,99810485.6081
86,86,0000086.bin,28945.7194979
87,87,0000087.bin,1951538.96769
88,88,0000088.bin,80832.9008298
89,89,0000089.bin,33805.7151926
90,90,0000090.bin,26997.6820778
91,91,0000091.bin,23382.7190659
92,92,0000092.bin,4214.8760919
93,93,0000093.bin,107782.189421
94,94,0000094.bin,41523.6984621
95,95,0000095.bin,82681.8995918
96,96,0000096.bin,37897.1307105
97,97,0000097.bin,274279.788924
98,98,0000098.bin,172391.248475
99,99,0000099.bin,160711.995982
100,100,0000100.bin,54253.1972213
101,101,0000101.bin,84923.9006573
102,102,0000102.bin,31187.9976906
103,103,0000103.bin,11413.0016654
104,104,0000104.bin,55025.3107815
105,105,0000105.bin,51560.6204881
106,106,0000106.bin,16184.3510059
107,107,0000107.bin,44478.5076709
108,108,0000108.bin,18327.1055654
109,109,0000109.bin,21642.5623706
110,110,0000110.bin,27341.0784492
111,111,0000111.bin,6970.11841945
112,112,0000112.bin,33578.1237309
113,113,0000113.bin,59222.6238791
114,114,0000114.bin,17880.4789724
115,115,0000115.bin,217626.385153
116,116,0000116.bin,15892.3618991
117,117,0000117.bin,30251.4085961
118,118,0000118.bin,15024.2927302
119,119,0000119.bin,148780.695472
120,120,0000120.bin,55445.3677168
121,121,0000121.bin,31422.9676883
122,122,0000122.bin,11955.9302773
123,123,0000123.bin,59860.6074332
124,124,0000124.bin,28561646.3862
125,125,0000125.bin,933097.522434
126,126,0000126.bin,181193.149068
127,127,0000127.bin,8157.02348086
128,128,0000128.bin,66195.8253487
129,129,0000129.bin,917709.429782
130,130,0000130.bin,14191.3841904
131,131,0000131.bin,10067.510042
132,132,0000132.bin,4617.61252023
133,133,0000133.bin,29519.5132532
134,134,0000134.bin,107448.423252
135,135,0000135.bin,9886.16433391
136,136,0000136.bin,33441.5688538
137,137,0000137.bin,28981.4690243
138,138,0000138.bin,389931.06565
139,139,0000139.bin,16762.3363238
140,140,0000140.bin,95729.1603775
141,141,0000141.bin,24768.3596244
142,142,0000142.bin,10366.1848644
143,143,0000143.bin,18008.5468011
144,144,0000144.bin,6241.54861379
145,145,0000145.bin,124009.876341
146,146,0000146.bin,58491.3867154
147,147,0000147.bin,22932.7669356
148,148,0000148.bin,51960.2738662
149,149,0000149.bin,87981.940089
150,150,0000150.bin,34356.1955454
151,151,0000151.bin,32661.4878604
152,152,0000152.bin,40511.6265982
153,153,0000153.bin,14787.6599638
154,154,0000154.bin,10553.2809808
155,155,0000155.bin,64005.3354716
156,156,0000156.bin,12852.6822058
157,157,0000157.bin,50456.230322
158,158,0000158.bin,7115.95708824
159,159,0000159.bin,25252.4331535
160,160,0000160.bin,23485.3603903
161,161,0000161.bin,17540.3734974
162,162,0000162.bin,6356394.36812
163,163,0000163.bin,12545.8667451
164,164,0000164.bin,3027627.19494
165,165,0000165.bin,672029.920235
166,166,0000166.bin,3094966.0707
167,167,0000167.bin,32456.82875
168,168,0000168.bin,7616.31189391
169,169,0000169.bin,15288.6036668
170,170,0000170.bin,48084.5679422
171,171,0000171.bin,278092.586765
172,172,0000172.bin,126464.711796
173,173,0000173.bin,11089.9742102
174,174,0000174.bin,494946.927556
175,175,0000175.bin,30090.0853941
176,176,0000176.bin,125550.639361
177,177,0000177.bin,32987.1480327
178,178,0000178.bin,14644.8697043
179,179,0000179.bin,250644.814006
180,180,0000180.bin,7068.91459127
181,181,0000181.bin,7531.06035855
182,182,0000182.bin,40055.4044443
183,183,0000183.bin,105420.295806
184,184,0000184.bin,25742.0838858
185,185,0000185.bin,403627.568308
186,186,0000186.bin,53048.0709866
187,187,0000187.bin,170148.797078
188,188,0000188.bin,33321.0874073
189,189,0000189.bin,22776.7091677
190,190,0000190.bin,63355.1236395
191,191,0000191.bin,529411.618742
192,192,0000192.bin,8114.72680281
193,193,0000193.bin,621770.104485
194,194,0000194.bin,47476.9645573
195,195,0000195.bin,14340.1327044
196,196,0000196.bin,23058.5484573
197,197,0000197.bin,34602.9781289
198,198,0000198.bin,22924.5570153
199,199,0000199.bin,47784.8538894
200,200,0000200.bin,73234.7061834
201,201,0000201.bin,20484.2361458
202,202,0000202.bin,7746.49282439
203,203,0000203.bin,36009.9575519
204,204,0000204.bin,30692.3194218
205,205,0000205.bin,40441.0282117
206,206,0000206.bin,38337.6951261
207,207,0000207.bin,145539.78613
208,208,0000208.bin,42893.8891283
