,Unnamed: 0,runstring,t
0,0,0000000.bin,15808236.0211
1,1,0000001.bin,3721339.90196
2,2,0000002.bin,2805197.03881
3,3,0000003.bin,226076.573996
4,4,0000004.bin,401575.855805
5,5,0000005.bin,194831.051047
6,6,0000006.bin,606864.112092
7,7,0000007.bin,68201.7815187
8,8,0000008.bin,404052.857695
9,9,0000009.bin,818442.577932
10,10,0000010.bin,147816.720333
11,11,0000011.bin,925251.848579
12,12,0000012.bin,1247416.28249
13,13,0000013.bin,326401.160736
14,14,0000014.bin,622991.003466
15,15,0000015.bin,643084.458038
16,16,0000016.bin,127344.570777
17,17,0000017.bin,519655.632274
18,18,0000018.bin,656295.827602
19,19,0000019.bin,290619.923607
20,20,0000020.bin,3700357.38728
21,21,0000021.bin,631364.07006
22,22,0000022.bin,390314.772324
23,23,0000023.bin,1323405.5949
24,24,0000024.bin,262457.931127
25,25,0000025.bin,177803.113645
26,26,0000026.bin,228307.105451
27,27,0000027.bin,2945781.21048
28,28,0000028.bin,354909.216413
29,29,0000029.bin,1477663.52567
30,30,0000030.bin,1547146.67673
31,31,0000031.bin,470754.062025
32,32,0000032.bin,204373.838958
33,33,0000033.bin,665621.243485
34,34,0000034.bin,153426.027164
35,35,0000035.bin,330455.365563
36,36,0000036.bin,473725.63291
37,37,0000037.bin,109025.149065
38,38,0000038.bin,199857.108024
39,39,0000039.bin,534634.522214
40,40,0000040.bin,236828.885688
41,41,0000041.bin,335082.774366
42,42,0000042.bin,237013.106317
43,43,0000043.bin,209580.860313
44,44,0000044.bin,291615.851225
45,45,0000045.bin,880408.53615
46,46,0000046.bin,624362.404457
47,47,0000047.bin,1018572.65662
48,48,0000048.bin,1823891.19995
49,49,0000049.bin,201613.1276
50,50,0000050.bin,446386.675013
51,51,0000051.bin,202741.522252
52,52,0000052.bin,188697.418635
53,53,0000053.bin,341318.459048
54,54,0000054.bin,187019.410502
55,55,0000055.bin,490528.992964
56,56,0000056.bin,37412324.5764
57,57,0000057.bin,1169174.2684
58,58,0000058.bin,225314.161093
59,59,0000059.bin,2749662.90277
60,60,0000060.bin,2484231.32419
61,61,0000061.bin,302818.564687
62,62,0000062.bin,188175.171512
63,63,0000063.bin,84987.197569
64,64,0000064.bin,305100.260841
65,65,0000065.bin,210569.686535
66,66,0000066.bin,200759.366485
67,67,0000067.bin,173679.696179
68,68,0000068.bin,150216.195752
69,69,0000069.bin,360856.861507
70,70,0000070.bin,750571.964053
71,71,0000071.bin,337264.011734
72,72,0000072.bin,551512.810665
73,73,0000073.bin,328578.65688
74,74,0000074.bin,7768314.71771
75,75,0000075.bin,2972696.78638
76,76,0000076.bin,7215641.23084
77,77,0000077.bin,4297321.90544
78,78,0000078.bin,3215374.06907
79,79,0000079.bin,173383.412042
80,80,0000080.bin,120869.205283
81,81,0000081.bin,89592.159033
82,82,0000082.bin,330688.222101
83,83,0000083.bin,132605.181702
84,84,0000084.bin,588204.897213
85,85,0000085.bin,2287647.37268
86,86,0000086.bin,1113098.13914
87,87,0000087.bin,98194.583434
88,88,0000088.bin,1906570.34008
89,89,0000089.bin,201052.394371
90,90,0000090.bin,1014438.67366
91,91,0000091.bin,394829.563364
92,92,0000092.bin,199290.693677
93,93,0000093.bin,2574085.6107
94,94,0000094.bin,356405.775194
95,95,0000095.bin,544260.586994
96,96,0000096.bin,804599.357246
97,97,0000097.bin,716652.332148
98,98,0000098.bin,1153629.65683
99,99,0000099.bin,840604.201776
100,100,0000100.bin,704420.366463
101,101,0000101.bin,73788.7795764
102,102,0000102.bin,238283.736753
103,103,0000103.bin,2854106.16046
104,104,0000104.bin,197080.981439
105,105,0000105.bin,304463.213575
106,106,0000106.bin,850759.441871
107,107,0000107.bin,235829.632538
108,108,0000108.bin,1369281.34683
109,109,0000109.bin,302940.847278
110,110,0000110.bin,197823.47579
111,111,0000111.bin,1001688.61777
112,112,0000112.bin,160192.411363
113,113,0000113.bin,811020.613554
114,114,0000114.bin,405908.400751
115,115,0000115.bin,135216.105545
116,116,0000116.bin,2398172.85556
117,117,0000117.bin,681372.834692
118,118,0000118.bin,706917.148342
119,119,0000119.bin,504397.328346
120,120,0000120.bin,1586157.00591
121,121,0000121.bin,657096.691971
122,122,0000122.bin,1211558.83501
123,123,0000123.bin,311429.164348
124,124,0000124.bin,191862.251439
125,125,0000125.bin,731545.312505
126,126,0000126.bin,502310.245109
127,127,0000127.bin,218112.062892
128,128,0000128.bin,234258.838178
129,129,0000129.bin,424469.685634
130,130,0000130.bin,5739568.88133
131,131,0000131.bin,174362.01918
132,132,0000132.bin,3383313.93004
133,133,0000133.bin,83404.0017441
134,134,0000134.bin,2010628.14921
135,135,0000135.bin,310321.45035
136,136,0000136.bin,213540.114267
137,137,0000137.bin,920610.825879
138,138,0000138.bin,362529.188522
139,139,0000139.bin,480204.982109
140,140,0000140.bin,206728.800743
141,141,0000141.bin,259268.156831
142,142,0000142.bin,174142.984386
143,143,0000143.bin,659001.0095
144,144,0000144.bin,143223.121108
145,145,0000145.bin,169204.395834
146,146,0000146.bin,345108.006936
147,147,0000147.bin,1132856.51183
148,148,0000148.bin,171033.126787
149,149,0000149.bin,268549.994386
150,150,0000150.bin,1039714.31202
151,151,0000151.bin,296606.089449
152,152,0000152.bin,833985.838402
153,153,0000153.bin,988088.819111
154,154,0000154.bin,635185.07194
155,155,0000155.bin,565666.83005
156,156,0000156.bin,405628.155379
157,157,0000157.bin,74621.201861
158,158,0000158.bin,635337.97714
159,159,0000159.bin,1011389.43774
160,160,0000160.bin,499906.231724
161,161,0000161.bin,253947.68633
162,162,0000162.bin,1718316.18602
163,163,0000163.bin,949302.409365
164,164,0000164.bin,898254.970169
165,165,0000165.bin,234727.738221
166,166,0000166.bin,186313.670211
167,167,0000167.bin,624238.978714
168,168,0000168.bin,577269.265557
169,169,0000169.bin,226332.362849
170,170,0000170.bin,2464847.8016
171,171,0000171.bin,789304.611028
172,172,0000172.bin,1247433.32585
173,173,0000173.bin,285451.873332
174,174,0000174.bin,409585.226953
175,175,0000175.bin,90298.1071702
176,176,0000176.bin,355679.215686
