,Unnamed: 0,runstring,t
0,0,0000000.bin,71361.0605219
1,1,0000001.bin,128551.820381
2,2,0000002.bin,121214.61066
3,3,0000003.bin,85936.0625957
4,4,0000004.bin,1085816.14427
5,5,0000005.bin,2629827.30685
6,6,0000006.bin,94732.7678003
7,7,0000007.bin,147789.012143
8,8,0000008.bin,55525.3630601
9,9,0000009.bin,46961.474626
10,10,0000010.bin,207614.055227
11,11,0000011.bin,65027.2387893
12,12,0000012.bin,132632.505045
13,13,0000013.bin,183869.03051
14,14,0000014.bin,725862.635733
15,15,0000015.bin,436836.492876
16,16,0000016.bin,192818.637558
17,17,0000017.bin,167622.742766
18,18,0000018.bin,9458713.55241
19,19,0000019.bin,104652.889282
20,20,0000020.bin,313745.111034
21,21,0000021.bin,88517.6580281
22,22,0000022.bin,892300.33767
23,23,0000023.bin,27233.1541357
24,24,0000024.bin,73312.3429026
25,25,0000025.bin,1510434.5899
26,26,0000026.bin,696029.457515
27,27,0000027.bin,53994846.8585
28,28,0000028.bin,475615.051923
29,29,0000029.bin,294408.536573
30,30,0000030.bin,146649.834575
31,31,0000031.bin,55505.2024646
32,32,0000032.bin,323561.519753
33,33,0000033.bin,129102.114575
34,34,0000034.bin,88879.8213033
35,35,0000035.bin,385245.771468
36,36,0000036.bin,48361.7007298
37,37,0000037.bin,85116.54478
38,38,0000038.bin,303406.224202
39,39,0000039.bin,965484.962318
40,40,0000040.bin,637950.176418
41,41,0000041.bin,2276445.97927
42,42,0000042.bin,1137844.85652
43,43,0000043.bin,54569.8824649
44,44,0000044.bin,146451.069116
45,45,0000045.bin,4816250.06235
46,46,0000046.bin,97446.6541507
47,47,0000047.bin,110088.178906
48,48,0000048.bin,549163.952735
49,49,0000049.bin,42711.5033121
50,50,0000050.bin,145659.956262
51,51,0000051.bin,89931.2898881
52,52,0000052.bin,143627.996857
53,53,0000053.bin,119688.571355
54,54,0000054.bin,137337.960331
55,55,0000055.bin,1576488.04471
56,56,0000056.bin,262039.799849
57,57,0000057.bin,101806.677373
58,58,0000058.bin,119879.300288
59,59,0000059.bin,59987.7827114
60,60,0000060.bin,212521.636072
61,61,0000061.bin,49801.1395383
62,62,0000062.bin,102130.008986
63,63,0000063.bin,1087347.58745
64,64,0000064.bin,87547.1089469
65,65,0000065.bin,587042.698113
66,66,0000066.bin,152867.888769
67,67,0000067.bin,389329.504464
68,68,0000068.bin,93329.9783224
69,69,0000069.bin,130554.093134
70,70,0000070.bin,535060.230526
71,71,0000071.bin,312944.402847
72,72,0000072.bin,348378.623933
73,73,0000073.bin,342412.577193
74,74,0000074.bin,182551.005597
75,75,0000075.bin,411860.840509
76,76,0000076.bin,87928.0818499
77,77,0000077.bin,54024.5071797
78,78,0000078.bin,119708.281628
79,79,0000079.bin,479596.908095
80,80,0000080.bin,390408.304165
81,81,0000081.bin,92436.4344025
82,82,0000082.bin,40441.115422
83,83,0000083.bin,108133.432505
84,84,0000084.bin,151341.295221
85,85,0000085.bin,48317.9155189
86,86,0000086.bin,182271.182073
87,87,0000087.bin,67513.7122368
88,88,0000088.bin,1106584.70997
89,89,0000089.bin,2387702.74552
90,90,0000090.bin,178819.875174
91,91,0000091.bin,87945.5751501
92,92,0000092.bin,57808.3253423
93,93,0000093.bin,109568.85305
94,94,0000094.bin,169859.876067
95,95,0000095.bin,193306.856516
96,96,0000096.bin,298950.143712
97,97,0000097.bin,3294897.98894
98,98,0000098.bin,1492194.68942
99,99,0000099.bin,1035692.19262
100,100,0000100.bin,1280498.39028
101,101,0000101.bin,655778.412778
102,102,0000102.bin,75587.4418588
103,103,0000103.bin,56558.9226628
104,104,0000104.bin,127642.861573
105,105,0000105.bin,55079.8901074
106,106,0000106.bin,214217.897312
107,107,0000107.bin,5120195.08086
108,108,0000108.bin,38741.8404846
109,109,0000109.bin,90066.4213024
110,110,0000110.bin,286649.755642
111,111,0000111.bin,112318.280244
112,112,0000112.bin,8471383.11231
113,113,0000113.bin,120108.16808
114,114,0000114.bin,539808.154703
115,115,0000115.bin,137856.731944
116,116,0000116.bin,122767.322917
117,117,0000117.bin,99357.199658
118,118,0000118.bin,2601233.38174
119,119,0000119.bin,763677.643146
120,120,0000120.bin,3373400.71543
121,121,0000121.bin,105932.013251
122,122,0000122.bin,775033.08128
123,123,0000123.bin,2936684.24973
124,124,0000124.bin,154893.578298
125,125,0000125.bin,2386917.07118
126,126,0000126.bin,228237.097413
127,127,0000127.bin,116942.157859
128,128,0000128.bin,97487.5642251
129,129,0000129.bin,402628.500176
130,130,0000130.bin,2515304.03915
131,131,0000131.bin,579934.875768
132,132,0000132.bin,825212.006929
133,133,0000133.bin,3041596.59434
134,134,0000134.bin,2930740.61518
135,135,0000135.bin,116308.90039
