,Unnamed: 0,runstring,t
0,0,0000000.bin,1887563.22633
1,1,0000001.bin,3031754.89994
2,2,0000002.bin,486502.775582
3,3,0000003.bin,10116036.5041
4,4,0000004.bin,860992.11808
5,5,0000005.bin,1344917.82403
6,6,0000006.bin,3722006.95413
7,7,0000007.bin,1783530.48077
8,8,0000008.bin,2849332.29927
9,9,0000009.bin,1579139.92872
10,10,0000010.bin,8789348.68846
11,11,0000011.bin,16544523.7857
12,12,0000012.bin,3119290.79356
13,13,0000013.bin,539110.34601
14,14,0000014.bin,2393807.13557
15,15,0000015.bin,3049786.13169
16,16,0000016.bin,1976970.52015
17,17,0000017.bin,1575124.88623
18,18,0000018.bin,1490056.35322
19,19,0000019.bin,3063985.67473
20,20,0000020.bin,749200.732143
21,21,0000021.bin,5322931.91985
22,22,0000022.bin,1422539.17289
23,23,0000023.bin,565916.440218
24,24,0000024.bin,2633055.58641
25,25,0000025.bin,2298386.78692
26,26,0000026.bin,3349752.04999
27,27,0000027.bin,3660649.42852
28,28,0000028.bin,8843379.99417
29,29,0000029.bin,863131.39564
30,30,0000030.bin,2159740.60273
31,31,0000031.bin,1986240.36489
32,32,0000032.bin,2569516.27898
33,33,0000033.bin,3989467.11894
34,34,0000034.bin,8569531.37949
35,35,0000035.bin,13289937.7072
36,36,0000036.bin,3686433.6188
37,37,0000037.bin,1936001.35985
38,38,0000038.bin,2425800.82869
39,39,0000039.bin,4570644.19142
40,40,0000040.bin,2183572.4719
41,41,0000041.bin,1250216.58385
42,42,0000042.bin,2382590.06191
43,43,0000043.bin,3822117.07887
44,44,0000044.bin,24662055.8602
45,45,0000045.bin,3193069.33401
46,46,0000046.bin,2048747.20313
47,47,0000047.bin,895617.057689
48,48,0000048.bin,2527075.30016
49,49,0000049.bin,4291007.32586
50,50,0000050.bin,1699169.90189
51,51,0000051.bin,5751857.00991
52,52,0000052.bin,1015057.34124
53,53,0000053.bin,2705312.59879
54,54,0000054.bin,3699790.42034
55,55,0000055.bin,3543252.26044
56,56,0000056.bin,558538.2605
57,57,0000057.bin,1677059.16111
58,58,0000058.bin,6590997.2405
59,59,0000059.bin,967517.685953
60,60,0000060.bin,1365791.50702
61,61,0000061.bin,666489.851755
62,62,0000062.bin,7515299.60585
63,63,0000063.bin,3361452.60536
64,64,0000064.bin,1184557.50165
65,65,0000065.bin,886782.162834
66,66,0000066.bin,736971.904409
67,67,0000067.bin,833313.837681
68,68,0000068.bin,13208123.1603
69,69,0000069.bin,1895041.37936
70,70,0000070.bin,776510.365095
71,71,0000071.bin,1314368.89496
72,72,0000072.bin,427349.513263
73,73,0000073.bin,2784254.10872
74,74,0000074.bin,605507.901335
75,75,0000075.bin,2441068.83272
76,76,0000076.bin,1898588.28601
77,77,0000077.bin,3153845.82779
78,78,0000078.bin,4307391.90738
79,79,0000079.bin,1595581.0436
80,80,0000080.bin,1757924.17102
81,81,0000081.bin,508598.898084
82,82,0000082.bin,3387865.76874
83,83,0000083.bin,4057237.21179
84,84,0000084.bin,3268231.60141
85,85,0000085.bin,6122047.50525
86,86,0000086.bin,3808932.54605
87,87,0000087.bin,2839133.42278
88,88,0000088.bin,2971178.9748
89,89,0000089.bin,8836986.79131
90,90,0000090.bin,11559610.1518
91,91,0000091.bin,3870621.68809
92,92,0000092.bin,1183174.19039
93,93,0000093.bin,3073084.77494
94,94,0000094.bin,8921614.69101
95,95,0000095.bin,10082415.9758
96,96,0000096.bin,5842366.54194
97,97,0000097.bin,2095709.32659
98,98,0000098.bin,2784252.20348
99,99,0000099.bin,1408411.64808
100,100,0000100.bin,3279983.73695
101,101,0000101.bin,628181.832467
102,102,0000102.bin,1575290.33072
103,103,0000103.bin,527694.503331
104,104,0000104.bin,2282301.50238
105,105,0000105.bin,2162772.40062
106,106,0000106.bin,343338.182411
107,107,0000107.bin,2421655.08645
108,108,0000108.bin,1043629.7701
109,109,0000109.bin,4318564.46791
110,110,0000110.bin,861019.692161
111,111,0000111.bin,298161.480365
112,112,0000112.bin,2153076.61254
113,113,0000113.bin,1551891.22913
114,114,0000114.bin,8744512.88809
115,115,0000115.bin,370086.565038
116,116,0000116.bin,502569.319549
117,117,0000117.bin,8595943.60686
118,118,0000118.bin,778807.36224
119,119,0000119.bin,795527.404995
120,120,0000120.bin,1268933.08
121,121,0000121.bin,1995276.28027
122,122,0000122.bin,3451504.5992
123,123,0000123.bin,1299817.40134
124,124,0000124.bin,1516091.89719
125,125,0000125.bin,297244.676818
126,126,0000126.bin,3906922.27248
127,127,0000127.bin,2775498.26424
128,128,0000128.bin,23232827.5929
129,129,0000129.bin,2493377.0716
130,130,0000130.bin,730401.998596
131,131,0000131.bin,537807.817097
132,132,0000132.bin,7368178.05983
133,133,0000133.bin,1285068.66298
134,134,0000134.bin,2185895.44963
135,135,0000135.bin,2143679.87853
136,136,0000136.bin,5024643.3013
137,137,0000137.bin,21256594.2542
138,138,0000138.bin,593006.450465
139,139,0000139.bin,1201070.18443
140,140,0000140.bin,86099765.7647
141,141,0000141.bin,1549097.93319
142,142,0000142.bin,1998397.72856
143,143,0000143.bin,1595283.02876
144,144,0000144.bin,1155057.18438
145,145,0000145.bin,883855.153367
146,146,0000146.bin,2058135.69263
147,147,0000147.bin,3300317.8894
148,148,0000148.bin,2810975.2635
149,149,0000149.bin,2341486.426
150,150,0000150.bin,7034369.52111
151,151,0000151.bin,1990434.70818
152,152,0000152.bin,1070465.51669
153,153,0000153.bin,2014314.5895
154,154,0000154.bin,9490663.26484
155,155,0000155.bin,2403299.09715
156,156,0000156.bin,2243850.83252
157,157,0000157.bin,4726941.74049
158,158,0000158.bin,1895041.37936
159,159,0000159.bin,1532074.50638
160,160,0000160.bin,5489356.01568
161,161,0000161.bin,5264073.27639
162,162,0000162.bin,7214547.6796
163,163,0000163.bin,2271856.19121
164,164,0000164.bin,4376189.24051
165,165,0000165.bin,214904.73025
166,166,0000166.bin,1673664.39688
167,167,0000167.bin,10761089.4959
168,168,0000168.bin,4890318.55391
169,169,0000169.bin,5305503.54156
170,170,0000170.bin,1347972.51948
171,171,0000171.bin,5169230.69917
172,172,0000172.bin,3462236.8748
173,173,0000173.bin,1045969.79112
174,174,0000174.bin,5302955.60637
175,175,0000175.bin,438567.210537
176,176,0000176.bin,10241729.4834
177,177,0000177.bin,748377.389488
178,178,0000178.bin,2396310.03764
179,179,0000179.bin,2591849.34444
180,180,0000180.bin,3626485.45433
181,181,0000181.bin,924582.209357
182,182,0000182.bin,833876.404356
183,183,0000183.bin,736952.955889
184,184,0000184.bin,668793.880984
185,185,0000185.bin,2925750.05336
186,186,0000186.bin,840825.072732
187,187,0000187.bin,1101747.86088
188,188,0000188.bin,1148275.38081
189,189,0000189.bin,3624911.68792
190,190,0000190.bin,434054.414294
191,191,0000191.bin,2181879.50648
192,192,0000192.bin,4500273.6461
193,193,0000193.bin,10472913.8951
194,194,0000194.bin,1130374.77953
195,195,0000195.bin,2338394.56096
196,196,0000196.bin,8798958.9135
197,197,0000197.bin,1695798.83196
198,198,0000198.bin,678785.570884
199,199,0000199.bin,4746236.01114
200,200,0000200.bin,558843.75776
201,201,0000201.bin,9636628.45827
202,202,0000202.bin,866728.150433
203,203,0000203.bin,9084136.11028
204,204,0000204.bin,1848229.52771
205,205,0000205.bin,332301.76047
206,206,0000206.bin,1286227.84823
207,207,0000207.bin,602795.318451
208,208,0000208.bin,794595.948387
209,209,0000209.bin,5650328.6879
210,210,0000210.bin,1040044.55069
211,211,0000211.bin,11567060.5227
212,212,0000212.bin,1635899.02606
213,213,0000213.bin,12320708.9708
214,214,0000214.bin,7372790.79488
215,215,0000215.bin,3319038.54245
216,216,0000216.bin,977516.685063
217,217,0000217.bin,1728229.76132
218,218,0000218.bin,2381121.29178
219,219,0000219.bin,1769660.33714
220,220,0000220.bin,5522107.33872
221,221,0000221.bin,1693110.60158
222,222,0000222.bin,825933.544874
223,223,0000223.bin,3764518.1845
224,224,0000224.bin,14139118.8068
225,225,0000225.bin,1693218.50769
226,226,0000226.bin,1817454.01313
227,227,0000227.bin,1943477.7462
228,228,0000228.bin,806747.007513
229,229,0000229.bin,717706.178169
230,230,0000230.bin,2425976.1458
231,231,0000231.bin,662280.682168
232,232,0000232.bin,505752.082081
233,233,0000233.bin,1109517.62021
234,234,0000234.bin,1295056.05735
235,235,0000235.bin,2459434.0711
236,236,0000236.bin,1545804.28546
237,237,0000237.bin,1753861.32422
238,238,0000238.bin,3858899.55149
239,239,0000239.bin,20991466.9469
240,240,0000240.bin,466807.15695
241,241,0000241.bin,15259143.0156
242,242,0000242.bin,1196745.00282
243,243,0000243.bin,1102883.2479
244,244,0000244.bin,275761.835129
245,245,0000245.bin,5255499.43447
246,246,0000246.bin,590249.388788
247,247,0000247.bin,2092316.08655
248,248,0000248.bin,3443992.11713
249,249,0000249.bin,2865735.20534
250,250,0000250.bin,1034891.59237
251,251,0000251.bin,4764119.05001
252,252,0000252.bin,954299.516825
253,253,0000253.bin,921344.090819
254,254,0000254.bin,732505.630767
255,255,0000255.bin,849667.969612
256,256,0000256.bin,2209858.5728
257,257,0000257.bin,2325655.88995
258,258,0000258.bin,2101858.51979
259,259,0000259.bin,838847.671655
260,260,0000260.bin,878522.062859
261,261,0000261.bin,8173007.50757
262,262,0000262.bin,3385835.60973
263,263,0000263.bin,2304209.45589
264,264,0000264.bin,14121259.4978
265,265,0000265.bin,1657535.91526
266,266,0000266.bin,5655969.35423
267,267,0000267.bin,8943619.81138
268,268,0000268.bin,1747517.83075
269,269,0000269.bin,555020.38282
