,Unnamed: 0,runstring,t
0,0,0000000.bin,179768.601315
1,1,0000001.bin,568078.762352
2,2,0000002.bin,376197.621407
3,3,0000003.bin,346062.197624
4,4,0000004.bin,1257857.71762
5,5,0000005.bin,361572.985306
6,6,0000006.bin,356947.891355
7,7,0000007.bin,64686.7098195
8,8,0000008.bin,242789.840856
9,9,0000009.bin,940558.537783
10,10,0000010.bin,300484.609992
11,11,0000011.bin,322425.080205
12,12,0000012.bin,147521.669635
13,13,0000013.bin,210633.737895
14,14,0000014.bin,117239.922242
15,15,0000015.bin,1864820.83224
16,16,0000016.bin,219827.149188
17,17,0000017.bin,127549.743885
18,18,0000018.bin,53696.0538441
19,19,0000019.bin,558378.864906
20,20,0000020.bin,609468.910506
21,21,0000021.bin,388891.471742
22,22,0000022.bin,310251.884194
23,23,0000023.bin,196917.700747
24,24,0000024.bin,1981365.57801
25,25,0000025.bin,672050.832805
26,26,0000026.bin,131555.075593
27,27,0000027.bin,2637676.15671
28,28,0000028.bin,311034.978782
29,29,0000029.bin,457380.309148
30,30,0000030.bin,346418.445732
31,31,0000031.bin,246337.738076
32,32,0000032.bin,3445127.6964
33,33,0000033.bin,3560552.49844
34,34,0000034.bin,456023.628779
35,35,0000035.bin,475930.706566
36,36,0000036.bin,2364521.36258
37,37,0000037.bin,143822.702987
38,38,0000038.bin,913902.733796
39,39,0000039.bin,4733182.05572
40,40,0000040.bin,249965.032483
41,41,0000041.bin,247056.019341
42,42,0000042.bin,620535.499572
43,43,0000043.bin,635082.678383
44,44,0000044.bin,208264.327707
45,45,0000045.bin,84395.9528195
46,46,0000046.bin,1675714.29861
47,47,0000047.bin,514938.765924
48,48,0000048.bin,415041.101345
49,49,0000049.bin,152452.401185
50,50,0000050.bin,137140.106468
51,51,0000051.bin,68838.6422658
52,52,0000052.bin,119326.280767
53,53,0000053.bin,2313721.6436
54,54,0000054.bin,963023.264985
55,55,0000055.bin,615470.4302
56,56,0000056.bin,77810.6282469
57,57,0000057.bin,67640.2020131
58,58,0000058.bin,121525.430408
59,59,0000059.bin,301772.909015
60,60,0000060.bin,3020516.98526
61,61,0000061.bin,605551.982646
62,62,0000062.bin,174923.155923
63,63,0000063.bin,482464.831731
64,64,0000064.bin,200933.147629
65,65,0000065.bin,250315.149133
66,66,0000066.bin,1254519.12139
67,67,0000067.bin,310331.108176
68,68,0000068.bin,264629.678946
69,69,0000069.bin,339302.732713
70,70,0000070.bin,646798.335983
71,71,0000071.bin,211569.391474
72,72,0000072.bin,63396.0898497
73,73,0000073.bin,249931.742476
74,74,0000074.bin,959160.688864
75,75,0000075.bin,451991.969906
76,76,0000076.bin,110125.733426
77,77,0000077.bin,3893766.69103
78,78,0000078.bin,212084.503237
79,79,0000079.bin,117855.839333
80,80,0000080.bin,179025.101397
81,81,0000081.bin,135814.152672
82,82,0000082.bin,336133.808101
83,83,0000083.bin,1738707.58243
84,84,0000084.bin,656455.659632
85,85,0000085.bin,611022.66356
86,86,0000086.bin,875692.941786
87,87,0000087.bin,93046.5395445
88,88,0000088.bin,1073456.0215
89,89,0000089.bin,751324.316127
90,90,0000090.bin,1398357.96614
91,91,0000091.bin,754939.174412
92,92,0000092.bin,110701.501591
93,93,0000093.bin,773605.168868
94,94,0000094.bin,169840.558202
95,95,0000095.bin,508238.987467
96,96,0000096.bin,146400.548109
97,97,0000097.bin,718717.117983
98,98,0000098.bin,276884.454527
99,99,0000099.bin,49707.4191026
100,100,0000100.bin,1837912.39158
101,101,0000101.bin,89044.810501
102,102,0000102.bin,3190155.82777
103,103,0000103.bin,730308.310447
104,104,0000104.bin,2200070.04537
105,105,0000105.bin,562071.596174
106,106,0000106.bin,2193402.96807
107,107,0000107.bin,695300.074877
108,108,0000108.bin,76023.3948108
109,109,0000109.bin,320147.780454
110,110,0000110.bin,293321.923768
111,111,0000111.bin,380738.745559
112,112,0000112.bin,594705.502534
113,113,0000113.bin,645156.109799
114,114,0000114.bin,703816.32378
115,115,0000115.bin,276767.229362
116,116,0000116.bin,166210.492514
117,117,0000117.bin,736402.183064
118,118,0000118.bin,289543.629215
119,119,0000119.bin,459261.800762
120,120,0000120.bin,2266396.03647
121,121,0000121.bin,151856.125544
122,122,0000122.bin,758883.122257
123,123,0000123.bin,787160.021414
124,124,0000124.bin,156660.833113
125,125,0000125.bin,244847.551269
126,126,0000126.bin,13624654.4418
127,127,0000127.bin,308630.407973
128,128,0000128.bin,173708.261192
129,129,0000129.bin,110888.251256
130,130,0000130.bin,1194389.36704
131,131,0000131.bin,333189.114722
132,132,0000132.bin,1940476.09659
133,133,0000133.bin,186059.996949
134,134,0000134.bin,187876.363471
135,135,0000135.bin,898709.119167
136,136,0000136.bin,240714.359606
137,137,0000137.bin,1438121.47629
138,138,0000138.bin,39913.679175
139,139,0000139.bin,61978.372028
140,140,0000140.bin,76606.2643822
141,141,0000141.bin,707137.149204
142,142,0000142.bin,163043.611722
143,143,0000143.bin,698534.470991
144,144,0000144.bin,1956001.91837
145,145,0000145.bin,281297.718725
146,146,0000146.bin,46495.7128493
147,147,0000147.bin,295976.602642
148,148,0000148.bin,254755.710444
149,149,0000149.bin,150199.176933
150,150,0000150.bin,177375.773807
151,151,0000151.bin,44621.7383343
152,152,0000152.bin,1966462.84401
153,153,0000153.bin,113161.186241
154,154,0000154.bin,218049.719157
155,155,0000155.bin,133702.159802
156,156,0000156.bin,4329743.6395
157,157,0000157.bin,1261416.6653
158,158,0000158.bin,500429.830784
159,159,0000159.bin,345353.858328
160,160,0000160.bin,970080.122935
161,161,0000161.bin,157106.662863
162,162,0000162.bin,208038.433706
163,163,0000163.bin,179705.277555
164,164,0000164.bin,3446588.23049
165,165,0000165.bin,2912677.69752
166,166,0000166.bin,534945.886937
167,167,0000167.bin,475633.867783
168,168,0000168.bin,557239.660774
169,169,0000169.bin,270109.193317
170,170,0000170.bin,138924.77647
171,171,0000171.bin,225318.822552
172,172,0000172.bin,253987.511489
173,173,0000173.bin,4345546.83223
174,174,0000174.bin,386711.409295
175,175,0000175.bin,491799.301202
176,176,0000176.bin,361726.514246
177,177,0000177.bin,173364.172077
178,178,0000178.bin,108585.005391
179,179,0000179.bin,63518.8922169
180,180,0000180.bin,47314.1412629
181,181,0000181.bin,92022.1010663
182,182,0000182.bin,271877.235635
183,183,0000183.bin,421623.966406
184,184,0000184.bin,157197.630146
185,185,0000185.bin,1329080.00707
186,186,0000186.bin,320815.000875
187,187,0000187.bin,2624589.06176
188,188,0000188.bin,8035334.48548
189,189,0000189.bin,149737.377678
190,190,0000190.bin,3467805.0153
191,191,0000191.bin,393810.42535
192,192,0000192.bin,115587.130551
193,193,0000193.bin,537305.597643
194,194,0000194.bin,284313.876499
195,195,0000195.bin,217661.220271
196,196,0000196.bin,2351635.6358
197,197,0000197.bin,155585.784124
198,198,0000198.bin,210851.83767
199,199,0000199.bin,7078428.17934
200,200,0000200.bin,511152.954273
201,201,0000201.bin,249187.515097
202,202,0000202.bin,236822.858245
203,203,0000203.bin,58114.514191
204,204,0000204.bin,949174.587424
205,205,0000205.bin,3114575.24943
206,206,0000206.bin,162542.009951
207,207,0000207.bin,722603.31927
208,208,0000208.bin,285719.608533
209,209,0000209.bin,341136.454379
210,210,0000210.bin,54858.1210397
211,211,0000211.bin,15700780.3943
212,212,0000212.bin,162312.825054
213,213,0000213.bin,159189.765134
214,214,0000214.bin,241424.119184
215,215,0000215.bin,1795989.67288
216,216,0000216.bin,348334.301225
217,217,0000217.bin,1821234.51387
218,218,0000218.bin,410784.137367
219,219,0000219.bin,800654.182917
220,220,0000220.bin,87545.824878
221,221,0000221.bin,365421.046846
222,222,0000222.bin,997030.410116
223,223,0000223.bin,210607.999627
224,224,0000224.bin,143646.55347
225,225,0000225.bin,142384.096638
226,226,0000226.bin,205847.251495
227,227,0000227.bin,391714.990881
228,228,0000228.bin,635534.25854
229,229,0000229.bin,1388535.30103
230,230,0000230.bin,727902.215434
231,231,0000231.bin,2484001.24079
232,232,0000232.bin,778536.420033
233,233,0000233.bin,531711.109773
234,234,0000234.bin,250666.201091
235,235,0000235.bin,294767.319754
236,236,0000236.bin,142201.330689
237,237,0000237.bin,795506.113694
238,238,0000238.bin,1174354.53336
239,239,0000239.bin,163484.903501
240,240,0000240.bin,993645.775958
241,241,0000241.bin,157344.681217
242,242,0000242.bin,153098.837003
243,243,0000243.bin,632052.040668
244,244,0000244.bin,452285.552434
245,245,0000245.bin,168970.133637
246,246,0000246.bin,461042.833458
247,247,0000247.bin,418708.163627
248,248,0000248.bin,8392619.12906
249,249,0000249.bin,89891.9216682
250,250,0000250.bin,463893.580427
251,251,0000251.bin,231569.133953
252,252,0000252.bin,252768.251992
253,253,0000253.bin,1143525.94325
254,254,0000254.bin,59843.723941
255,255,0000255.bin,1702439.03802
256,256,0000256.bin,313117.28431
257,257,0000257.bin,1040397.17409
258,258,0000258.bin,185416.089925
259,259,0000259.bin,444506.429503
260,260,0000260.bin,224006.170902
261,261,0000261.bin,600337.437332
262,262,0000262.bin,456460.659714
263,263,0000263.bin,965203.639201
264,264,0000264.bin,309417.659482
265,265,0000265.bin,1754788.11064
266,266,0000266.bin,2766645.45355
267,267,0000267.bin,78591.5750921
268,268,0000268.bin,540268.927883
269,269,0000269.bin,790922.519668
270,270,0000270.bin,1429501.37371
271,271,0000271.bin,197757.77979
272,272,0000272.bin,360827.060518
273,273,0000273.bin,222032.15316
274,274,0000274.bin,115317.55424
275,275,0000275.bin,534873.00226
276,276,0000276.bin,208095.591366
277,277,0000277.bin,515003.891016
278,278,0000278.bin,270881.687756
279,279,0000279.bin,207285.927127
280,280,0000280.bin,680034.23375
281,281,0000281.bin,116504.736166
282,282,0000282.bin,10160644.6221
283,283,0000283.bin,271559.542967
284,284,0000284.bin,4387041.14673
