Unnamed: 0,runstring,t
0,0000000.bin,114464.57968111828
1,0000001.bin,30203.396179498777
2,0000002.bin,31295.003812582196
3,0000003.bin,17960.153320399426
4,0000004.bin,29770.833837714294
5,0000005.bin,20219.752022430344
6,0000006.bin,24834.108291942808
7,0000007.bin,19746.41720717102
8,0000008.bin,84468.50996237414
9,0000009.bin,44786.15455739658
10,0000010.bin,23860.17618340827
11,0000011.bin,22008.19829308377
12,0000012.bin,9808.568471297587
13,0000013.bin,45404.84306725869
14,0000014.bin,42674.09193442384
15,0000015.bin,59997.508774618975
16,0000016.bin,60968.323191689844
17,0000017.bin,24909.34857434498
18,0000018.bin,27357.74080266127
19,0000019.bin,35819.25880404676
20,0000020.bin,33126.820632684896
21,0000021.bin,48421.52112956733
22,0000022.bin,32438.503684633593
23,0000023.bin,66101.18615787345
24,0000024.bin,57986.63255351115
25,0000025.bin,38665.05274434253
26,0000026.bin,71360.80059621864
27,0000027.bin,50593.9630399247
28,0000028.bin,25354.72809130847
29,0000029.bin,37256.96480767539
30,0000030.bin,120710.59699324422
31,0000031.bin,77785.56554060828
32,0000032.bin,53226.40297505582
33,0000033.bin,33702.93533635325
34,0000034.bin,32708.114696574703
35,0000035.bin,101085.73509834884
36,0000036.bin,23465.580392964846
37,0000037.bin,100395.47825329335
38,0000038.bin,16692.534695195645
39,0000039.bin,66099.90444035528
40,0000040.bin,85258.70613283289
41,0000041.bin,43250.96874039998
42,0000042.bin,36568.12824448344
43,0000043.bin,57312.27593416704
44,0000044.bin,49238.66800857838
45,0000045.bin,40977.132582093756
46,0000046.bin,23548.614903516413
47,0000047.bin,122168.77583675351
48,0000048.bin,37256.96480767539
49,0000049.bin,23715.41138591349
50,0000050.bin,38186.10608491624
51,0000051.bin,19222.991485671577
52,0000052.bin,62152.3876908834
53,0000053.bin,138223.50018732165
54,0000054.bin,68595.37380721807
55,0000055.bin,73109.1325730304
56,0000056.bin,80679.23336345385
57,0000057.bin,94190.71838884687
58,0000058.bin,49906.3735532364
59,0000059.bin,36308.04351144622
60,0000060.bin,83803.81818565403
61,0000061.bin,28674.480385713243
62,0000062.bin,15698.961131796574
63,0000063.bin,20016.236065196113
64,0000064.bin,55505.435285460546
65,0000065.bin,50510.8592473626
66,0000066.bin,57721.38630938941
67,0000067.bin,33272.624660568974
68,0000068.bin,12527.645582703348
69,0000069.bin,46357.64415705474
70,0000070.bin,100679.70777320102
71,0000071.bin,14095.324670987242
72,0000072.bin,135148.79842528809
73,0000073.bin,69272.77883607786
74,0000074.bin,160805.422960691
75,0000075.bin,13739.873226398113
76,0000076.bin,15974.634321158263
77,0000077.bin,10154.528278052449
78,0000078.bin,28958.536700491233
79,0000079.bin,34068.08626482226
80,0000080.bin,27168.427661165937
81,0000081.bin,71542.21558656069
82,0000082.bin,65359.93774027716
83,0000083.bin,43562.35681515645
84,0000084.bin,18122.96608618681
85,0000085.bin,33182.97371636275
86,0000086.bin,51188.47212202177
87,0000087.bin,114479.57924018227
88,0000088.bin,37922.695814535975
89,0000089.bin,40942.110516949826
90,0000090.bin,20014.36545044026
91,0000091.bin,93596.24394751407
92,0000092.bin,16262.674352515694
93,0000093.bin,26004.697436940107
94,0000094.bin,25599.81326533948
95,0000095.bin,81095.06409556497
96,0000096.bin,26490.0526840565
97,0000097.bin,67054.85327341987
98,0000098.bin,44804.72214089524
99,0000099.bin,394980.236254156
100,0000100.bin,193489.7392892335
101,0000101.bin,13138.054890285946
102,0000102.bin,61867.49999182931
103,0000103.bin,24707.530026796616
104,0000104.bin,19902.405693200933
105,0000105.bin,77105.45851265613
106,0000106.bin,203665.81428119438
107,0000107.bin,131197.47116285432
108,0000108.bin,62100.42616989834
109,0000109.bin,43461.06649024957
110,0000110.bin,82212.89497647915
111,0000111.bin,26996.954641879223
112,0000112.bin,21328.888008596405
113,0000113.bin,45937.067606201665
114,0000114.bin,49307.53434439058
115,0000115.bin,20851.742681797376
116,0000116.bin,38574.50113377257
117,0000117.bin,51535.19403104808
118,0000118.bin,48452.698042158365
119,0000119.bin,24016.09538741019
120,0000120.bin,49292.53478533289
121,0000121.bin,77021.10764355495
122,0000122.bin,106123.95881619069
123,0000123.bin,52302.49249092746
124,0000124.bin,51563.35717542198
125,0000125.bin,188187.9667368447
126,0000126.bin,40669.93607003008
127,0000127.bin,32938.68528570499
128,0000128.bin,37128.20415867441
129,0000129.bin,21554.227804648945
130,0000130.bin,127535.39636735889
131,0000131.bin,22071.972399852828
132,0000132.bin,31747.9697116111
133,0000133.bin,63886.72469730874
134,0000134.bin,71277.14254739755
135,0000135.bin,84389.7709375417
136,0000136.bin,129128.29411433203
137,0000137.bin,92370.74879507362
138,0000138.bin,87962.16014777924
139,0000139.bin,26502.765936193515
140,0000140.bin,23537.52977903727
141,0000141.bin,32098.155722109965
142,0000142.bin,39334.76746781197
143,0000143.bin,53819.24928848136
144,0000144.bin,39433.044024501716
145,0000145.bin,45674.76584826908
146,0000146.bin,42437.66701394182
147,0000147.bin,17530.18905466474
148,0000148.bin,53547.10948257561
149,0000149.bin,202048.28677326397
150,0000150.bin,64899.558664349526
151,0000151.bin,65108.65182479341
152,0000152.bin,16395.62656422465
153,0000153.bin,68801.5917635874
154,0000154.bin,81649.49352470846
155,0000155.bin,16894.21467868802
156,0000156.bin,42969.30265564696
157,0000157.bin,104935.0792155531
158,0000158.bin,46357.64415705474
159,0000159.bin,37783.092528156114
160,0000160.bin,25378.665031980614
161,0000161.bin,32850.83567422625
162,0000162.bin,17062.327519616993
163,0000163.bin,27385.21112676114
164,0000164.bin,36856.133634796635
165,0000165.bin,51081.154260680625
166,0000166.bin,75013.69552300285
167,0000167.bin,25361.102037883975
168,0000168.bin,79239.76066750704
169,0000169.bin,12535.716938963875
170,0000170.bin,119053.89049847462
171,0000171.bin,28172.393528836146
172,0000172.bin,66647.82135886591
173,0000173.bin,35025.841019618885
174,0000174.bin,57361.292968962945
175,0000175.bin,52835.86018333211
176,0000176.bin,17628.04991920716
177,0000177.bin,47054.24030738045
178,0000178.bin,28529.369178078487
179,0000179.bin,42906.35993322706
180,0000180.bin,46007.354223587456
181,0000181.bin,102332.04950020605
182,0000182.bin,61142.151799891864
183,0000183.bin,13907.743580211476
184,0000184.bin,47099.412189623465
185,0000185.bin,67066.70050020944
186,0000186.bin,24816.995631028134
187,0000187.bin,33678.23629337835
188,0000188.bin,25670.27308781002
189,0000189.bin,25542.690233257905
190,0000190.bin,53901.002081497856
191,0000191.bin,42947.40953480526
192,0000192.bin,9287.048005622766
193,0000193.bin,41779.14133799116
194,0000194.bin,59919.878262267295
195,0000195.bin,28603.25846093476
196,0000196.bin,56334.36010922821
197,0000197.bin,50343.231380664794
198,0000198.bin,56281.1861527535
199,0000199.bin,86194.53312616693
200,0000200.bin,16409.656174893564
201,0000201.bin,52542.06974368258
202,0000202.bin,62143.27710420402
203,0000203.bin,9779.504660556891
204,0000204.bin,25496.652325655472
205,0000205.bin,30248.325574653296
206,0000206.bin,40986.31245080112
207,0000207.bin,67509.75906932817
208,0000208.bin,53572.08565366243
209,0000209.bin,36460.84502415629
210,0000210.bin,20095.63326927796
211,0000211.bin,20723.25916088133
212,0000212.bin,65605.78501659379
213,0000213.bin,60333.35340525241
214,0000214.bin,169022.75645677626
215,0000215.bin,32684.766653140512
216,0000216.bin,84150.12440265794
217,0000217.bin,169438.8296759854
218,0000218.bin,9416.709321001103
219,0000219.bin,20690.419479611875
220,0000220.bin,24119.533455206176
221,0000221.bin,29614.879992698377
222,0000222.bin,35123.04370487494
