,runstring,t
0,0000000.bin,14425502.837786656
1,0000001.bin,6905013.202351556
2,0000002.bin,3909453.628812165
3,0000003.bin,2207769.6495592715
4,0000004.bin,2775151.287097753
5,0000005.bin,592191.011553988
6,0000006.bin,3477349.0742611894
7,0000007.bin,6085735.846946985
8,0000008.bin,3904259.589472954
9,0000009.bin,1457566.445965418
10,0000010.bin,7639471.613715352
11,0000011.bin,1548062.9486505662
12,0000012.bin,15006519.283253904
13,0000013.bin,5549535.17705463
14,0000014.bin,1114359.260865302
15,0000015.bin,4098326.7032825956
16,0000016.bin,25679725.96218113
17,0000017.bin,7634753.749785853
18,0000018.bin,1021330.0497403889
19,0000019.bin,869009.2413593574
20,0000020.bin,4263020.209829227
21,0000021.bin,1406084.1107315097
22,0000022.bin,2672819.8890484544
23,0000023.bin,1552953.1516360317
24,0000024.bin,859966.0309165496
25,0000025.bin,1224990.4732089352
26,0000026.bin,1389701.7505969156
27,0000027.bin,2132639.5899244295
28,0000028.bin,7954009.512695354
29,0000029.bin,2091277.4543900911
30,0000030.bin,3096631.2110981876
31,0000031.bin,5664217.309841425
32,0000032.bin,3446673.484401495
33,0000033.bin,7243349.58343532
34,0000034.bin,8914433.039910786
35,0000035.bin,2400012.498169855
36,0000036.bin,1166147.129862753
37,0000037.bin,839249.1791188115
38,0000038.bin,14868851.138759054
39,0000039.bin,15032012.196027726
40,0000040.bin,1144008.160284647
41,0000041.bin,1255802.8950829145
42,0000042.bin,519195.08148228884
43,0000043.bin,6230921.369101574
44,0000044.bin,479721.0893136756
45,0000045.bin,9488114.14625882
46,0000046.bin,1877186.9671482716
47,0000047.bin,9872194.647512622
48,0000048.bin,773277.754297196
49,0000049.bin,2727845.4113499867
50,0000050.bin,3498874.239671924
51,0000051.bin,823728.7568554807
52,0000052.bin,1536020.4150348653
53,0000053.bin,4953311.741134987
54,0000054.bin,8769498.83832927
55,0000055.bin,1341767.1404037636
56,0000056.bin,38165969.88570497
57,0000057.bin,3709195.4379328946
58,0000058.bin,8133883.890368109
59,0000059.bin,1363401.3210927148
60,0000060.bin,3877479.520457414
61,0000061.bin,813553.512649441
62,0000062.bin,10485519.868192852
63,0000063.bin,2322347.755374194
64,0000064.bin,886664.4508772838
65,0000065.bin,4480098.865775918
66,0000066.bin,3504280.3166717524
67,0000067.bin,6492185.923024234
68,0000068.bin,27544959.60888236
69,0000069.bin,3805711.5792981284
70,0000070.bin,9233993.470558424
71,0000071.bin,20368256.78171108
72,0000072.bin,2430467.320832831
73,0000073.bin,22201204.519742094
74,0000074.bin,3179379.4883911433
75,0000075.bin,2791903.0590299005
76,0000076.bin,11060497.830267161
77,0000077.bin,2007163.2471844081
78,0000078.bin,1084209.2098635111
79,0000079.bin,2795917.156072763
80,0000080.bin,1546012.650820316
81,0000081.bin,22373656.556158297
82,0000082.bin,2643475.865213343
83,0000083.bin,9516830.405597001
84,0000084.bin,3769666.1815826455
85,0000085.bin,1038012.0891946513
86,0000086.bin,2471663.941591409
87,0000087.bin,4121566.010101651
88,0000088.bin,660001.7704043781
89,0000089.bin,19218783.39196933
90,0000090.bin,622272.334577306
91,0000091.bin,842562.6962262635
92,0000092.bin,2127974.3110576356
93,0000093.bin,3852717.844896135
94,0000094.bin,2158815.4156930903
95,0000095.bin,9952491.518647883
96,0000096.bin,1617554.2129382466
97,0000097.bin,6789260.211828661
98,0000098.bin,222765.0819357439
99,0000099.bin,8669364.997070406
100,0000100.bin,503610.2268767454
101,0000101.bin,3693494.882280619
102,0000102.bin,868719.5039011833
103,0000103.bin,3446012.672375039
104,0000104.bin,2700401.1008473793
105,0000105.bin,1884584.590814748
106,0000106.bin,2416813.0446529174
107,0000107.bin,3166376.4286761777
108,0000108.bin,588256.5195929696
109,0000109.bin,16591127.781905584
110,0000110.bin,1499248.8030541998
111,0000111.bin,14124676.234099355
112,0000112.bin,5329698.715161295
113,0000113.bin,5029528.697296464
114,0000114.bin,12747339.831456147
115,0000115.bin,1862653.675180388
116,0000116.bin,4578573.333073192
117,0000117.bin,1118865.3642623138
118,0000118.bin,3051418.5533998357
119,0000119.bin,1619411.872076993
120,0000120.bin,3378769.817889684
121,0000121.bin,1488354.8616151188
122,0000122.bin,2128944.8137695873
123,0000123.bin,8928361.776862644
124,0000124.bin,4907388.249782679
125,0000125.bin,1341314.3823210534
126,0000126.bin,64709289.087817766
127,0000127.bin,2419134.165948403
128,0000128.bin,7825369.960195226
129,0000129.bin,1833812.5349785362
130,0000130.bin,10753043.915192284
131,0000131.bin,2618147.7743949564
132,0000132.bin,1827902.777602074
133,0000133.bin,31052587.850346915
134,0000134.bin,2084763.280561668
135,0000135.bin,6771641.929515419
136,0000136.bin,11104851.910377145
137,0000137.bin,10926513.89641719
138,0000138.bin,917292.5476978066
139,0000139.bin,3928565.8049522536
140,0000140.bin,3258734.2624477977
141,0000141.bin,2182956.081755613
142,0000142.bin,13019529.46909152
143,0000143.bin,5812203.246392676
144,0000144.bin,1876634.5815027554
145,0000145.bin,51873636.51275364
146,0000146.bin,14811175.163020313
147,0000147.bin,4611991.452191354
148,0000148.bin,2138029.662774739
149,0000149.bin,21621480.142602332
150,0000150.bin,4850707.960774721
151,0000151.bin,1624935.555327074
152,0000152.bin,5799798.47166979
153,0000153.bin,3288240.3715980584
154,0000154.bin,6807004.933851306
155,0000155.bin,15194935.09630951
156,0000156.bin,4474683.782111858
157,0000157.bin,4795082.663917408
158,0000158.bin,1173434.6297384922
159,0000159.bin,1865244.3728645232
160,0000160.bin,1893006.9303836462
161,0000161.bin,897381.1341640578
162,0000162.bin,6842890.359353633
163,0000163.bin,1082033.1997852002
