,betaouter,nearpair,betanear,betafar,numfixedpointsnear,jnear,knear,strengthnear,C_AMDnear,EMcrossnear,numfixedpointsfar,jfar,kfar,strengthfar,C_AMDfar,EMcrossfar,numfixedpointsouter,jouter,kouter,strengthouter,C_AMDouter,EMcrossouter,unstableinNorbits,tlyap,megno,EMmednear,EMmaxnear,EMslopenear,EMrollingstdnear,Zcommednear,Zsepouternear,ZfreeICnear,ZfreeOCnear,Zfreenear,Zstarmednear,Zstarstdnear,Zstarslopenear,EMmedfar,EMmaxfar,EMslopefar,EMrollingstdfar,Zcommedfar,Zsepouterfar,ZfreeICfar,ZfreeOCfar,Zfreefar,Zstarmedfar,Zstarstdfar,Zstarslopefar,EMmedouter,EMmaxouter,EMslopeouter,EMrollingstdouter,Zcommedouter,Zsepouterouter,ZfreeICouter,ZfreeOCouter,Zfreeouter,Zstarmedouter,Zstarstdouter,Zstarslopeouter,testnear,testfar,testouter,KSpval,AMDerr,EMslopemax,Zstarslopemax
25,16.27229447425534,23,4.9092813774646755,17.31929651880886,3.0,11.0,1.0,1.2400979104397,5.505029970830399,0.14057179358727925,1.0,6.0,1.0,0.0015888289981769825,2.8155643735735687,0.21552168382505527,3.0,4.0,1.0,0.04635320816870711,0.7112640645342693,0.0657125580863672,False,1638.5724827849976,7.344356672201061,0.3440269059057681,0.356173529584916,0.023784440134908203,0.001678527492517832,0.04098758276297235,0.3233625968755539,,0.948441146886113,,,0.02854701992490107,,0.2856061977109413,0.3744482330172873,0.043335289403183284,0.008402943308775961,0.043551393289331816,,,,,0.2261091241314115,0.583327603492471,0.041065008302505784,0.6013604385926459,0.7020604216415816,-0.017942717781829706,0.006817307722062796,0.03896952520899909,0.6367476156217231,,,0.6810182819513936,0.4257892464261049,0.2728642857477141,-0.0710132246646231,2.6765808070199326,0.3835538144817436,2.89489964936955,0.5491661614735049,0.001231155090344994,0.043335289403183284,0.041065008302505784
26,30.999405423526376,12,5.322652031728553,6.060545084889448,3.0,4.0,1.0,0.05591853012231631,20.306287632563265,0.2399967447872305,3.0,3.0,1.0,0.07124297972465292,1.3245306278694011,0.5860028643684991,3.0,2.0,1.0,0.1287614039808465,3.633007127014584,0.27903792573313524,False,286.8681815634232,31.968593405629388,0.3532020695874272,0.4030185806029271,0.041353131422931975,0.02883459986552075,0.07514176305990912,0.2460343495351604,,0.9068684370912822,,,0.7580710937191321,,0.12747008764144585,0.1484252405803911,0.002998624499572139,0.029747618510986406,0.06428059014601359,0.2417484268977584,0.8565789425928554,,,,0.01176912399904336,,0.3851049043684441,0.6090705525567598,0.3005821810409145,0.03754779608070318,0.11321339991917255,0.1409438335225648,,0.01306792311805133,,,0.5411906719862614,,2.83069615252838,1.0174169258064458,2.7667300396978645,0.6019152823234225,0.0189045457491332,0.041353131422931975,
27,16.333494951308907,23,2.637971025004645,3.0086035720061677,1.0,9.0,1.0,2.9198628272821536,0.3960627418010253,0.0932631479016741,1.0,8.0,1.0,2.6527626869506253,0.3015667617692117,0.1827059444707557,3.0,9.0,2.0,0.040941311442330784,0.16937610055082172,0.08181268776940966,False,620.4853725775793,16.760827700563294,0.13309173724366213,0.2365515871701989,-0.0492959603252452,0.2602422938626679,0.006892219437011831,,,,,0.1340301625893147,0.14607596682027282,-0.05959887052810224,0.09539597042683567,0.1536527491927656,-0.008886452114956802,0.41766550669496144,0.007361708760497286,,,,,0.0889033585242825,0.041379668789406,-0.0015964053413399474,0.2134208619626614,0.5481413635623817,-0.11854903187753388,0.3743052607150004,0.01265007061521002,0.0383827029622774,,0.09717493501881108,,,,,1.6400335194614482,2.165643127806669,2.0159224418338346,0.7613652067734002,0.3502147914786791,-0.008886452114956802,-0.0015964053413399474
28,11.399244702466902,12,9.001233253599374,6.63740609958434,3.0,9.0,1.0,0.008572672024855607,2.7090902811836792,0.07790892618209108,3.0,6.0,1.0,0.030921919959837882,0.4002225818022541,0.2120630576063939,3.0,4.0,1.0,0.4020437440926893,0.2259997415651978,0.12445776091628745,False,196.53727843473203,50.510919828672726,0.536616551400066,0.7139403988904411,-0.059745459236279524,0.029895350930051988,0.015438089860764066,0.3458104083552616,,0.4276627558179884,,,0.22840617887725095,,0.08109515114430406,0.12613691405569805,0.04565090245488645,0.04437554557483975,0.018237465042772873,0.1869302388033884,0.9617822614108472,,,,0.10399942617929436,,0.3072079168507913,0.35663220083686176,0.05108321311932567,0.024964273583632648,0.01859366723431006,0.28629355407252743,,0.7466084007416364,,,0.15745686583738375,,0.6687621653285131,3.6633005677846016,2.3492976746278185,0.7613652067734018,0.07644514255835443,0.04565090245488645,
30,10.884228973141736,23,4.697864375417714,8.481114752759858,3.0,11.0,1.0,0.07131539133807427,0.9258806850535256,0.08975350312960413,3.0,8.0,1.0,0.007177670374281045,0.6595364224857995,0.16056170081044827,3.0,5.0,1.0,0.7515492323094111,0.07185052527060015,0.06497634325330813,False,10000.0,1.933094163094405,0.17618726853333952,0.2247407430084169,0.0021007500995944392,0.08978340635973328,0.012443101377088187,0.1988542760969887,,,0.4070218505515936,0.17589742888323154,0.09572581538468418,0.003328148201406818,0.031192678041105093,0.05144285825503135,0.0003540822557830976,0.15260957434411873,0.01568627889203028,0.14619801992905715,0.487836197325309,,,,0.06304361679850623,,0.2061861138712005,0.2525676358985814,-0.006231471849044286,0.022723128154610712,0.012881348648221092,0.30592721107179804,,,0.14121828598177225,0.20137503418866812,0.052523838767143366,-0.0019230687140218575,3.155264412438969,4.304295630880682,2.032716665665455,0.5491661614735049,0.03638002633025871,0.0021007500995944392,0.003328148201406818
31,25.78584207136375,12,15.88392650673782,13.378230986351598,3.0,11.0,2.0,0.019698960984270382,2.30276150775823,0.14177689399090587,3.0,5.0,1.0,0.976887522502802,1.1930719391188085,0.3249969315908634,1.0,3.0,1.0,0.01729831637932908,0.17303652490292515,0.1604692112480399,False,10000.0,1.9788113624188477,0.41205093110786417,0.5019797830466398,-0.0008260713283202522,0.007669541839026895,0.01887944192093492,0.4189943307710525,,0.7913165040674088,,,0.1372209731119836,,0.044660073204937985,0.06823618578670836,0.000700370728333783,0.019436897431250842,0.056913838076826824,0.05669452156071855,,,0.11308425047640855,0.040905465892634885,0.09891607005484618,-0.0015938082499085669,0.3204034552711823,0.33515473507130755,-0.010195251037727608,0.0019005351674091508,0.043874403026484994,,,,,0.001923349626183263,0.14251595001976095,-0.0003591225747531429,2.7552131728644818,2.9198530161392324,0.16543411732758842,0.8567045353837404,0.002009102720496753,0.000700370728333783,-0.0015938082499085669
33,13.035126665966125,12,2.9085261563377363,18.710906855255093,3.0,18.0,1.0,0.1430648479342281,5.705426500275626,0.03904922329833594,3.0,6.0,1.0,0.013802525957313495,0.8077978017723956,0.17641015410242813,1.0,5.0,1.0,0.006940360807612974,0.2418072359272224,0.1321986752158445,False,889.9352284518965,13.918764280884972,0.24656300568582,0.4915912704018585,-0.05445868251359672,0.1216866920123794,0.0058958317983358495,0.2650429974561763,,,0.8502265915544841,0.2493866749314653,0.33030002877726977,-0.11861162378846225,0.13808175726420968,0.2106964706590031,-0.036818622241204337,0.054475388101422204,0.02028027562756534,0.11814581956576417,,0.6493281740116714,,,0.7339085303171824,,0.17371435951075026,0.17965491189320448,0.002721251322679294,0.0052709724822025865,0.007760571123707119,,,,,0.0009718458918619584,0.008627306381964026,3.8023125101560763e-06,4.695364066682383,1.2021475376630368,3.5156093472747187,0.07742034064789523,0.049183423838416285,-0.036818622241204337,-0.11861162378846225
34,29.676942233267322,23,10.639512405568343,13.642976846617582,3.0,7.0,1.0,0.025420761927651275,0.9094681245786604,0.1258996270696588,3.0,6.0,1.0,0.03791372310158057,1.9463643902635182,0.25148454916659946,3.0,7.0,2.0,5.219306909271514,0.5375484687573246,0.11154184536306876,False,,,0.4046441513155265,0.5636109364910119,0.2150494155165148,0.0038488120558806678,0.011812783834895804,0.3293646981673429,,1.0658852224750173,,,0.1373082195986206,,0.4221580347503704,0.4571485800886583,-0.13118288881231724,0.005706822016955879,0.038847996775661024,0.4401727036392931,0.998849749834012,,,,0.01029648883727597,,1.2939477164327178,1.420444659600304,-0.5851031414731737,0.003683416118992047,0.007948004526775056,1.3323613413866493,1.0102935722558348,,,,0.07145063785875355,,3.2677005400037817,0.5445538457218517,0.12720838478642596,6.67730626421895e-09,0.08597866301461253,0.2150494155165148,
36,20.08491964922221,12,3.6663781639710193,3.750647792552993,3.0,11.0,2.0,1.4138280119387403,4.377564593596446,0.14321321307652024,3.0,5.0,1.0,0.055353218121513545,0.3861016098561539,0.3136871867185387,3.0,3.0,1.0,0.10745800979559897,1.0012524942088827,0.14911826743434242,False,1740.098533634968,7.348361301073787,0.2798854819330965,0.5050346849766015,0.00832179949670303,0.08928870635867002,0.011496182899343788,0.4703155546256715,1.3544870425427944,,,,0.4893656309432904,,0.0888768836771813,0.1158039557290346,0.0009124231876939707,0.12625904520807402,0.010333724733488536,0.2226778688175747,1.0715202071482073,,,,0.00984601113664457,,0.2880566282523284,0.6907161421803604,0.030881979846321975,0.13250565033855488,0.030973979115787118,0.144199399259219,,0.14214074261277254,,,1.1510814353952992,,2.754101589177077,2.040059687222349,3.4444908063669706,0.008212907610514936,0.03173776207254593,0.00832179949670303,
37,7.929307705645443,23,5.155945834335613,4.607752100957678,3.0,25.0,2.0,0.14615983059951748,0.4834648659853208,0.07773951786594295,3.0,19.0,2.0,0.016812383553940373,0.22907509690615754,0.13916543069643136,1.0,6.0,1.0,0.007345994166205925,0.03258474261239442,0.05699513826134842,False,674.5830373055722,19.08127867174845,0.1270385185055784,0.18878567395952325,0.02111857448859625,0.09016085925889268,0.003646728654753172,0.07697038694646376,,0.4015320220897546,,,0.23360168080219584,,0.05827996735892596,0.09307865261364523,0.013069432242470166,0.10608118538684284,0.002279681499594541,0.04194625596962885,,0.6005074978701567,,,,,0.10301519555759113,0.12409836777253587,-0.0020082484343330285,0.05184169724951418,0.0020009245986799965,,,,,0.006210962668388377,0.0077246973973512075,3.6023200972331656e-05,1.8051777473666175,4.510055137067597,0.9085876533917348,0.6555503111669643,0.011786007201042321,0.02111857448859625,
38,21.417949830495672,23,3.791590849943193,16.457459628476926,3.0,15.0,2.0,1.3096081032186508,8.09661629750063,0.7931852820203888,,,,,0.004137982818862463,0.9731683952428944,3.0,3.0,2.0,0.003238147257462125,0.2597319277095503,0.10037061703948293,False,58.39185618669729,161.4045111902004,0.0793446076837338,0.1432879109565703,0.004034731214180506,0.09006040662624093,0.025003225690060197,0.07053821795928977,,0.22926146152547625,,,0.06770803067417314,,0.02751060339555649,0.028654910899393014,0.000583088869077667,0.004279173133945146,,,,,,,,,0.7070967993193681,1.112542284446608,0.10696763643544822,0.07200031917559152,0.004308668461154662,2.4502011547499754,0.6344668620571271,,,,0.17016515951865227,,1.5112061894621298,2.615428593899712,2.4284720099921207,0.14355816610478422,0.11444269370844767,0.004034731214180506,
41,12.290724747076153,23,4.590186190061742,10.49402214076805,3.0,33.0,2.0,0.034861683804825815,2.033546640356875,0.33811354094028184,1.0,3.0,1.0,0.01053244845623192,0.02168524433196676,0.3953013827672997,3.0,5.0,2.0,0.004208577966494279,0.026192584056349888,0.042737660203955724,False,2597.460354700901,6.2464985505260895,0.029020396600586907,0.04371271643654171,-0.014254779798688359,0.08054917279020016,0.0049503979162776384,0.0369855049357148,1.4213283343729788,,,,0.2090341480990096,,0.016911115697361874,0.024894740687811005,0.017324395747399378,0.09335951739978272,0.00010181262894965944,,,,,0.0024260157305954788,0.006274213462052666,3.4459717237819284e-05,0.15310147657576104,0.2880560777131849,-0.2860866262192731,0.04699570244761857,0.00010652205267880959,1.6222881414337311,0.25135862251870833,,,,0.012609645637903346,,1.884155187472196,2.6560898480717703,1.5626724136126555,0.3599028659647988,0.01741849197589686,0.017324395747399378,3.4459717237819284e-05
42,17.12425562732028,12,6.166908320312233,15.629217710686016,3.0,5.0,1.0,0.8107085247410493,5.5380363746611305,0.1595511972714662,3.0,3.0,1.0,0.010526334591412759,1.5716537526721617,0.476924174756937,,,,,0.1118311145184658,0.27370328988688,False,10000.0,2.0041722554766364,0.6524075251011086,0.6923089532306755,-0.015919109672090242,0.0073744491637196185,0.05374680471199239,0.7163696366864951,,,0.1322496163926613,0.6929092319827936,0.015039330926627913,0.0031401387090887103,0.2747010909628601,0.3449571066831266,0.05939508159602276,0.010809353520409492,0.024814313917710176,0.24428650644790184,,0.26642762652387586,,,0.15094945770111529,,0.234160675426828,0.2528771801105806,-0.013536038243529593,0.0019800297414012766,,,,,,,,,0.4662651048105808,1.981608471634713,1.174161917883769,0.06567117973706273,0.007986653133117756,0.05939508159602276,0.0031401387090887103
43,16.9944946425239,23,3.2073273087175553,12.477003222129133,3.0,10.0,1.0,0.10843009618829663,81.8372034708718,0.4544352924640164,1.0,5.0,2.0,0.003085574685495228,0.10674043986102603,0.5628016478136758,3.0,2.0,1.0,0.08343947676195064,2.9004238078648066,0.07450751223594948,False,10000.0,1.9943252361607489,0.06160021886360373,0.07325871217853272,0.000549953570038646,0.06529388761019207,0.040457372579227394,0.07748062514568778,,,0.2848380476375843,0.06322253560972765,0.017744545191236073,-0.00020432969786382023,0.049325064843566455,0.05621990430019284,-0.012412732488013093,0.007586750059841949,0.045805424389643176,,,,,,,,0.5086395837949143,0.8186118265918108,-0.08790757768275766,0.08966739686172988,0.046465682394260084,1.7602316653429528,0.6616729959933584,,,,0.04891736823201538,,3.457454723690362,0.5059322847782803,0.5733239413229301,0.40310260702007983,0.002899388959756321,0.000549953570038646,-0.00020432969786382023
46,12.748580599409989,23,7.155678371354398,7.8574958116461655,3.0,6.0,1.0,10.610234355886137,2.9847486658103475,0.13027644817307404,3.0,6.0,1.0,0.2353792881098377,3.7483229756997365,0.27638594461842936,3.0,3.0,1.0,0.00696404499668673,0.04240423858302978,0.12926881444050248,False,1015.9543664830438,12.429355320430071,0.5167513622757871,0.6039940865875961,0.035471356022794824,0.041335249317055116,0.008927098814201572,0.5236333032313072,,,0.6401926798201182,0.4936926858240274,0.1024719248534514,0.046132442946459684,0.23121909503150634,0.289908017550214,-0.03476594572453468,0.043319018976516695,0.004435866857577176,0.27844754732783045,1.200894637318802,,,,0.12208339430339513,,0.06423338853557163,0.06922727141907957,0.0045895732182413,0.022796597346268373,0.005493458132781997,0.8430142401842633,0.0991215549471447,,,,0.002220762888917905,,4.45334176877934,3.1683768509889694,2.458517983940697,0.2184324844305039,0.02534581587497277,0.035471356022794824,0.046132442946459684
47,20.115796973273607,12,5.373980309201434,15.724389528733461,3.0,17.0,2.0,0.3058119889167733,0.8246345715555644,0.08703839922112527,,,,,0.013484626853718255,0.5940985689668017,1.0,2.0,1.0,0.2125201104948644,0.009894117029771223,0.4664602189848955,False,455.6209633958632,24.014901201966854,0.13954417215120998,0.21905050401567214,0.04394136312280618,0.15416303571719026,0.03823226462311383,0.10839174674382207,,0.32975718830456624,,,0.2994595781209504,,0.05830793754476823,0.07559152125478004,0.005797078976940189,0.010132802022293136,,,,,,,,,0.08961202426905053,0.10657090096335582,-0.005224410486496503,0.04354950603346195,0.004654778929656774,,,,,0.008944745090163301,0.13006047608004132,-1.7456084982327836e-05,3.2820017762762235,0.5342931686487385,4.03580813545647,0.14355816610478422,0.1376031564067574,0.04394136312280618,
48,15.765992038717904,12,3.3190184272380443,12.6613359929124,3.0,21.0,2.0,0.045779645563817306,0.2985728363778283,0.06827943184553678,3.0,5.0,2.0,0.00034839187365926275,0.0068749824076973646,0.4550228628542084,,,,,0.004116156764781596,0.3620245971978904,False,663.2857338670767,15.310280736453727,0.10682833559384586,0.2446234341573426,0.04048799745711453,0.30836169723259793,0.0026934456616532123,0.14637842911060944,,,0.9471641951518704,0.11853270313133805,0.3632556252003735,0.03923401350328156,0.016328821473846563,0.03429769598055726,-0.001541744472499895,0.12988897302734814,0.00435288832922251,0.28633118712810074,0.12153003304186218,,,,0.003679994171052897,,0.021058151331510438,0.038602293274988916,0.005463715841122099,0.11177573486333657,,,,,,,,,3.5050007430491,2.8474418675341155,3.3567246037592544,0.3198116437605909,0.09819040416916673,0.04048799745711453,0.03923401350328156
49,32.653733002898115,23,2.657679794785168,18.80649111509037,3.0,21.0,1.0,0.4670961361206651,7.077723457214508,0.2442686448191672,1.0,4.0,1.0,0.0034952705989406228,0.07957755890278581,0.28559132405810683,3.0,3.0,1.0,0.004509490864644126,0.17463597585128846,0.033210415942728465,False,10000.0,1.9978118039017323,0.06878641347859596,0.07775375089127516,-0.0008229332346847171,0.011567657869980024,0.01950528369474916,0.0779507960046768,,,0.07409067876637361,0.0694098260875475,0.060195343989518736,-0.0011664837192608278,0.06895127162432027,0.07607602866591329,0.0004020497156845643,0.007036419589475247,0.017253761680922734,,,,,0.00015223082111635552,0.008225104761616088,3.5277811986661745e-08,0.73955902795208,1.0683965213018876,-0.07062827858722212,0.042845939109674686,0.008169334677707786,2.8569794753741657,0.4235500333370431,,,,0.029361804704347714,,1.4404309034920808,0.13110769533650876,3.0802779851404734,5.088268557767811e-20,0.0017945407367268645,0.0004020497156845643,3.5277811986661745e-08
50,6.130884717108155,12,8.82158283081568,3.050816977291765,3.0,15.0,2.0,0.3140284732146294,27.777398129737353,0.09948470782793192,3.0,7.0,1.0,0.2546407733850302,2.949353999542696,0.22162042795718884,1.0,4.0,1.0,0.06278544938495285,4.702763154839488,0.11108451009795313,False,292.6675168821749,34.510214081467474,0.5353795877589735,0.8585709832920152,-0.028777719438737838,0.1621790523296242,0.050177736228103814,0.6911471718655477,1.3307111062526442,,,,0.4192893416692233,,0.21007566045216056,0.2526244328505424,-0.012807009725879163,0.07858050044732376,0.027898050689251174,0.2597566671714067,,,0.30589899148835803,0.2040874734853413,0.030757908402398643,-0.012151629261393028,0.2658492984897983,0.3780336792458027,-0.012817365174965343,0.0732880031800025,0.02984879646589288,,,,,0.04294943673157978,0.6508882574751021,0.07345162255056993,0.7875196507977056,1.7249473549739074,5.437705003278768,0.002229025519133204,0.004596558886004004,-0.012807009725879163,-0.012151629261393028
53,18.790015218778397,23,3.863272924066428,16.774757717195488,3.0,31.0,2.0,0.2182841611106008,9.293376097122644,0.5280595965753717,3.0,2.0,1.0,0.014061913527687887,0.11999150047854297,0.5972071703659093,1.0,2.0,1.0,0.05416324081440014,0.027952499337814143,0.04525188280974676,False,324.9226735148103,27.35259926610935,0.018720536970545463,0.025252353305133417,-0.0027489833394168826,0.07925945281771375,0.00406968653424329,0.023353360124809187,,,1.4618656962861123,0.018551751571644955,0.2401890843455819,-0.008119716194627915,0.013601585175787884,0.02358812806070444,-0.015488255506023813,0.05202227414605983,0.0009354948209261069,0.2886104817169776,0.1081373894738263,,,,0.0046428863080907705,,0.11796861431365055,0.1753084874496449,0.08574262098970599,0.11282513201147658,0.0008678131455999567,,,,,0.07313149449830286,0.016759021262263626,-0.0016934623952045529,2.1081380721736593,2.0023016328563683,2.3971854425189982,0.04667764677246235,0.0011733432722494655,-0.0027489833394168826,-0.008119716194627915
54,14.18735324571692,23,3.7385924968763633,10.742661664471557,3.0,10.0,1.0,0.41436896875177537,4.510743275041807,0.33275085411430605,1.0,3.0,1.0,0.043222762674491086,0.15100524901828685,0.4301555818099901,1.0,5.0,2.0,0.00862224253775898,0.15689293035059845,0.07308547384906051,False,10000.0,1.99678342000134,0.09272921744549144,0.11853664457152575,0.0033031919526170968,0.02390724415269886,0.04715274845731969,0.09458609549474824,,,0.08480274346695739,0.0939240310319973,0.10242481180262264,0.001650313095367526,0.13372012922593626,0.16130301765449476,0.01496075516915548,0.01664462271156452,0.012025246096866529,,,,,0.005078831827884314,0.3633896684992459,0.00034640277398414955,0.7175578804447238,1.0069974835411175,-0.02416483131077477,0.024522297719207147,0.013186365878521195,,,,,,,,3.7326858114694073,3.276928976651865,0.5433060054978465,0.190710292659619,0.023335654356821427,0.01496075516915548,0.001650313095367526
58,41.8596841517348,12,6.627209598386859,13.056874973324303,3.0,3.0,1.0,0.4604691658128838,2.9974594428217136,0.3126535360530138,3.0,2.0,1.0,1.5599656533923696,26.49597782310157,1.0787564853959348,3.0,3.0,2.0,0.8993470077793747,13.019706206433794,0.5836292123559864,False,3712.931484294526,6.273866825478296,0.20318294524468133,0.2879903912388561,-0.0021328051157737554,0.16698451209793874,0.208197912557586,0.22055912033213013,,,0.14176467311948268,0.15155314322310726,0.017084334470487957,0.0007724617521233763,0.1887805573783624,0.23981173191259794,0.05542683051394702,0.029262015379034213,0.17105068477957155,0.16090311811033353,,0.827001906964552,,,0.17435416060670314,,0.3599044242092175,0.4752301082121008,0.027097389321406592,0.060328114148419286,0.2167513754654826,0.20860758459890225,,0.9377623055312212,,,0.2020002011195325,,1.1047036596858908,3.1709661524197013,3.9466076923370026,0.7090913097601379,0.0047901594523798,0.05542683051394702,0.0007724617521233763
59,41.27243891199128,12,11.58165178793109,16.368405760125466,3.0,2.0,1.0,2.8689970031961898,0.5260287519832634,0.5890319355563371,,,,,3.698225656599071,1.6751261993686148,,,,,1.4331564943011683,0.6834942958097471,False,10000.0,3.7203355141660746,0.31953992178752744,0.4654027503717347,0.12006455184158675,0.0344609140932724,0.13652569848965596,0.17798561338717694,,0.013930821422468851,,,0.3582386497758133,,0.11984922160528975,0.14652114524185128,-0.012301405088940695,0.009514351443258212,,,,,,,,,0.2098380174382733,0.4239027341916807,0.035547796365771885,0.030746804126061813,,,,,,,,,3.5892574227357996,0.16555280672065234,4.261588299212579,0.4031026070200797,0.04215205244082094,0.12006455184158675,
60,17.80347013738395,12,6.176494616564753,18.672225049486762,3.0,7.0,2.0,0.4094555320836985,14.043879192521848,0.2481634268972921,3.0,5.0,2.0,0.030915714455152832,4.321843475631535,0.7402137584201597,,,,,0.3837092058829705,0.39421947552654657,False,1141.2568798437144,10.918507385154452,0.9050809508622452,1.0208412127461708,-0.21064684694763486,0.0038343205544926037,0.10088564944546018,1.0672003674588253,,,0.09477993182668387,1.0164588001920765,0.018240631224715257,-0.055563484323660886,0.3504177693858417,0.4132028002761016,0.12488532155519196,0.004686238322204878,0.04656041281442881,0.19429079531067636,,0.8736455386099865,,,0.17706539910964011,,0.2319847518518285,0.26779441269949,-0.050503787759838714,0.001387489021476362,,,,,,,,,0.5897695953381421,0.9452482621569294,0.6851421225048455,2.771242598076804e-20,0.005468216078174546,0.12488532155519196,-0.055563484323660886
61,33.340264893307285,12,3.1700788451729713,18.788136109489336,3.0,7.0,1.0,0.050545387748077236,0.9538090221105064,0.10016552004913312,1.0,2.0,1.0,0.043104749936103186,0.027540954728935724,0.7745364451976149,,,,,0.03138430534948177,0.612972241775369,False,226.66989978963628,43.52231075746951,0.13033599989095584,0.28249485559452786,-0.08291789506576358,0.2987215231942379,0.02261156975271625,0.4808083934563528,1.161513378690436,,,,0.04847737261539857,,0.01809592684169402,0.023401049516209645,-0.0004211825573835045,0.04582243269810729,0.025712715924063715,,,,,0.0017423091119416806,0.010831011269588384,-9.41064084372997e-06,0.02872984213381155,0.06267825958042544,-0.011683595796291269,0.18328017581605527,,,,,,,,,3.3493723638205712,1.6392982968846008,3.1698456119090785,0.0008097301144065586,0.036063614806915736,-0.0004211825573835045,-9.41064084372997e-06
62,15.777882808975118,23,2.860214972907104,10.546558976193431,3.0,18.0,1.0,0.22274092467130768,1.957555144609426,0.13941762562300128,1.0,6.0,1.0,0.00910135750273152,0.2046381313855592,0.18389715901229614,3.0,9.0,2.0,0.012450275775436498,0.15325398101261042,0.03903707682683488,False,7053.909020051971,3.6781769664065074,0.07170542019708018,0.08523476596532904,-0.0005946303533352088,0.04191995642429749,0.01860727119196738,0.09450369811593287,,,0.1523333723821792,0.07240442736203269,0.030101887499021582,-0.00048135584360133965,0.12572559952053042,0.14617446165992568,-0.0011400229093819667,0.03852648876746869,0.014824384141055516,,,,,0.0011000190577757877,0.1172563039298306,-5.3954872841074596e-05,0.5959916707911106,0.7563154997727355,-0.014339370723697769,0.06897822964063732,0.013182480778361172,0.4964092516114768,,0.7245903130677115,,,0.5178093300530819,,2.9462392779812565,3.1214608442705787,0.2551316381977353,1.1698567528628858e-05,0.014382385935003088,-0.0005946303533352088,-5.3954872841074596e-05
63,11.08239001259735,12,6.2460630670734405,6.502757524618229,3.0,9.0,2.0,0.3606528819960264,5.961159225363147,0.18242272760295053,1.0,4.0,1.0,0.014048683332930205,2.5018933766891776,0.4629341885117239,,,,,0.01592471891621401,0.23723449690233556,False,684.1305556001372,16.293331208811686,0.1216010798995704,0.25245395448919045,0.13699875598184716,0.08715238284666209,0.013429085028187442,0.09391547950118763,,0.2707107573091927,,,0.3874877075752364,,0.062386609665585964,0.13562897740468122,0.04477675170347769,0.06428544408958048,0.007491407464518747,,,,,0.002749942779459493,0.1824871205872658,0.0009604595340874764,0.0711953031528233,0.07498241495676966,0.0007288170223403674,0.02112203358810165,,,,,,,,,3.645608472373164,4.595294854538749,1.4432427499659932,0.3599028659647988,0.007737077506489367,0.13699875598184716,0.0009604595340874764
66,22.376379218493305,12,4.368885108917226,8.607647859050857,3.0,4.0,1.0,0.0447477803348921,47.86356717556729,0.1875063352642356,3.0,5.0,2.0,2.3147978233535045,0.2723364567002918,0.6699040158587171,,,,,3.431473858966918,0.4062274585567929,False,2091.9338882016928,6.353975408473092,0.17088358413635182,0.3128249418725766,-0.007968789351143564,0.07323456997348729,0.059522187661064166,0.5436285942486586,0.8452211637099399,,,,0.06217694885991847,,0.18901157827164114,0.2083173646384844,0.011485713225499577,0.0055745134450947325,0.0426205956536864,0.21835113324605626,,,0.060902974024106674,0.20045211378832867,0.00979003624511746,0.0015635495786299033,0.2979888245752642,0.3930854026906568,0.01215881781988099,0.02756584178960576,,,,,,,,,0.8273327213092345,2.0490861641803537,3.2554537823445875,0.40310260702007866,0.010562213822482965,0.011485713225499577,0.0015635495786299033
70,19.77457888731813,23,3.779474646451424,7.497132683922491,3.0,8.0,1.0,3.0135207870932925,5.778635518382888,0.17968700058830314,3.0,9.0,2.0,0.046004564979836855,3.440267537585649,0.2898818602245457,3.0,3.0,1.0,0.019174223181884,1.9336432753211563,0.09341025168649736,False,10000.0,2.3297656728445646,0.6215131675171702,0.6658921241542936,0.0012114954295932051,0.0009363867967170046,0.04914808698873395,0.6873664305747303,,,0.029847851399341475,0.6425969497856079,0.03353763098031715,0.04102355591751641,0.16353266582318798,0.1977047237005656,0.0129830325812587,0.01245051102840032,0.04670004409707911,0.22881979070781636,1.0361701147259579,,,,0.154726019006433,,1.0229976773272904,1.4819452948373693,-0.04987536522443455,0.00902930817249567,0.10899027824495236,1.2479520361883636,1.332456362980636,,,,0.14974502196751632,,2.8808839060676035,2.305174615989016,2.008436013026448,2.1699070622172285e-05,0.0012189495014837085,0.0129830325812587,0.04102355591751641
71,23.18707632552007,23,3.36357333958596,18.276835129713586,3.0,41.0,2.0,0.2606890192204913,1.1372327297830158,0.16770936735669206,1.0,5.0,1.0,0.006791611294569932,0.08393993313467765,0.20736591274881291,3.0,4.0,1.0,0.0072538165448864595,0.058207512206314364,0.03396097222538365,False,65.68263529175337,141.93775756583025,0.09147583916548972,0.2546662613594112,0.1548921473422151,0.08496614804518253,0.007303175056778121,0.09828436775392124,,,6.770962137320359,0.0949770581712249,0.19085292925164507,0.04334868722402261,0.055742207518521325,0.07915514236824878,-0.01730908106922881,0.052056039057285466,0.008441627173981746,,,,,0.00035119888350097284,124.99701589614206,0.04940247515302705,0.34416458164490904,0.834384033704231,0.7515247040959239,0.05617822387061047,0.008683065779877153,0.993330496419908,1.071269883517324,,,,0.4854225960059589,,1.7615386200424654,2.930855384294908,2.03564375304631,0.21843248443050312,0.8291604705061492,0.1548921473422151,0.04940247515302705
