Unnamed: 0,runstring,t
0,0000000.bin,31881989.08085256
1,0000001.bin,71784738.16810629
2,0000002.bin,53119483.83666489
3,0000003.bin,99999844.94164065
4,0000004.bin,33756092.41333113
5,0000005.bin,99999844.94164065
6,0000006.bin,99999844.94164065
7,0000007.bin,14251961.319645848
8,0000008.bin,99999844.94164065
9,0000009.bin,99999844.94164065
10,0000010.bin,21514955.919786975
11,0000011.bin,41911003.50595734
12,0000012.bin,99999844.94164065
13,0000013.bin,94138525.72458628
14,0000014.bin,99999844.94164065
15,0000015.bin,99999844.94164065
16,0000016.bin,60005280.498506464
17,0000017.bin,83459549.2497091
18,0000018.bin,99999844.94164065
19,0000019.bin,50239517.393251754
20,0000020.bin,30268416.020837516
21,0000021.bin,99999844.94164065
22,0000022.bin,51720198.17498145
23,0000023.bin,99999844.94164065
24,0000024.bin,62762551.02403615
25,0000025.bin,99999844.94164065
26,0000026.bin,99999844.94164065
27,0000027.bin,61361404.899892606
28,0000028.bin,32925488.18782346
29,0000029.bin,99999844.94164065
30,0000030.bin,84847811.01227203
31,0000031.bin,83709226.20783952
32,0000032.bin,99999844.94164065
33,0000033.bin,99999844.94164065
34,0000034.bin,56974435.94317786
35,0000035.bin,79110278.56873944
36,0000036.bin,65445215.12391124
37,0000037.bin,44389201.12909321
38,0000038.bin,14049458.314741306
39,0000039.bin,99999844.94164065
40,0000040.bin,57280137.946451284
41,0000041.bin,55131418.50127957
42,0000042.bin,25479109.776418485
43,0000043.bin,53856695.62851874
44,0000044.bin,99999844.94164065
45,0000045.bin,99999844.94164065
46,0000046.bin,98688201.99091652
47,0000047.bin,99999844.94164065
48,0000048.bin,64399106.25375567
49,0000049.bin,99999844.94164065
50,0000050.bin,36426935.386851706
51,0000051.bin,99999844.94164065
52,0000052.bin,21234930.17387761
53,0000053.bin,99999844.94164065
54,0000054.bin,99999844.94164065
55,0000055.bin,99999844.94164065
56,0000056.bin,99999844.94164065
57,0000057.bin,99999844.94164065
58,0000058.bin,77885994.81577453
59,0000059.bin,99999844.94164065
60,0000060.bin,99999844.94164065
61,0000061.bin,13689281.280523617
62,0000062.bin,99999844.94164065
63,0000063.bin,43373933.112610854
64,0000064.bin,99999844.94164065
65,0000065.bin,99999844.94164065
66,0000066.bin,99999844.94164065
67,0000067.bin,83263570.08721986
68,0000068.bin,14505711.78581984
69,0000069.bin,99999844.94164065
70,0000070.bin,83861257.65613845
71,0000071.bin,43300446.109832205
72,0000072.bin,34259296.67316804
73,0000073.bin,99999844.94164065
74,0000074.bin,83244830.77853587
75,0000075.bin,99999844.94164065
76,0000076.bin,99999844.94164065
77,0000077.bin,46581347.565426566
78,0000078.bin,99999844.94164065
79,0000079.bin,99999844.94164065
80,0000080.bin,93045992.48424426
81,0000081.bin,76893441.40152326
82,0000082.bin,45452771.85296152
83,0000083.bin,99999844.94164065
84,0000084.bin,93604058.37231907
85,0000085.bin,85299719.65438303
86,0000086.bin,99999844.94164065
87,0000087.bin,15909161.27947523
88,0000088.bin,34487754.271803476
89,0000089.bin,99999844.94164065
90,0000090.bin,99999844.94164065
91,0000091.bin,99999844.94164065
92,0000092.bin,99999844.94164065
93,0000093.bin,99999844.94164065
94,0000094.bin,28223475.63939842
95,0000095.bin,43674493.49559078
96,0000096.bin,99999844.94164065
97,0000097.bin,86205720.35880837
98,0000098.bin,99999844.94164065
99,0000099.bin,27430656.223378934
100,0000100.bin,99999844.94164065
101,0000101.bin,88801188.5007256
102,0000102.bin,23515424.963730708
103,0000103.bin,99999844.94164065
104,0000104.bin,99999844.94164065
105,0000105.bin,99999844.94164065
106,0000106.bin,99999844.94164065
107,0000107.bin,16204837.704524416
108,0000108.bin,43644513.08891789
109,0000109.bin,70288798.73285982
110,0000110.bin,38627035.8050941
111,0000111.bin,99999844.94164065
112,0000112.bin,35768330.63674704
113,0000113.bin,20226720.852490254
114,0000114.bin,99999844.94164065
115,0000115.bin,99999844.94164065
116,0000116.bin,76937520.95923719
117,0000117.bin,66951840.32779107
118,0000118.bin,99999844.94164065
119,0000119.bin,99999844.94164065
120,0000120.bin,71993792.00965348
121,0000121.bin,99999844.94164065
122,0000122.bin,77459804.7367033
123,0000123.bin,99999844.94164065
124,0000124.bin,57130030.38822458
125,0000125.bin,46688367.64861748
126,0000126.bin,99999844.94164065
127,0000127.bin,72471454.92964211
128,0000128.bin,99999844.94164065
129,0000129.bin,99999844.94164065
130,0000130.bin,99999844.94164065
131,0000131.bin,99999844.94164065
132,0000132.bin,99999844.94164065
133,0000133.bin,26713197.523880295
134,0000134.bin,99999844.94164065
135,0000135.bin,99999844.94164065
136,0000136.bin,99999844.94164065
137,0000137.bin,99999844.94164065
138,0000138.bin,99999844.94164065
139,0000139.bin,99999844.94164065
140,0000140.bin,99999844.94164065
141,0000141.bin,56627379.58713094
142,0000142.bin,99999844.94164065
143,0000143.bin,95935934.59109089
144,0000144.bin,78471416.67615727
145,0000145.bin,99999844.94164065
146,0000146.bin,17509242.47158613
147,0000147.bin,99999844.94164065
148,0000148.bin,18384056.867656574
149,0000149.bin,32560806.274003647
150,0000150.bin,99999844.94164065
151,0000151.bin,29447420.582938395
152,0000152.bin,25686706.227798536
153,0000153.bin,36371586.429478146
154,0000154.bin,43315429.64478234
155,0000155.bin,99999844.94164065
156,0000156.bin,79114544.81177548
157,0000157.bin,99999844.94164065
158,0000158.bin,99999844.94164065
159,0000159.bin,99999844.94164065
160,0000160.bin,78348291.34883639
161,0000161.bin,24033076.71676763
162,0000162.bin,33289287.72710008
163,0000163.bin,15470416.1830464
164,0000164.bin,24412785.67136118
165,0000165.bin,69714102.02789089
166,0000166.bin,99999844.94164065
167,0000167.bin,24556429.956194103
168,0000168.bin,46645736.56833307
169,0000169.bin,99999844.94164065
170,0000170.bin,91916911.98359576
171,0000171.bin,40209383.9130222
172,0000172.bin,88681208.64256707
173,0000173.bin,58025914.09406761
174,0000174.bin,52054129.89969478
175,0000175.bin,95479664.9628968
176,0000176.bin,99999844.94164065
177,0000177.bin,99999844.94164065
178,0000178.bin,99999844.94164065
179,0000179.bin,99999844.94164065
180,0000180.bin,99999844.94164065
181,0000181.bin,99999844.94164065
182,0000182.bin,31142685.791728623
183,0000183.bin,24803788.722195297
184,0000184.bin,77559487.13544413
185,0000185.bin,99999844.94164065
186,0000186.bin,40868269.04712061
187,0000187.bin,73499442.41669813
188,0000188.bin,99999844.94164065
189,0000189.bin,61419918.067192115
