Unnamed: 0,runstring,t
0,0000000.bin,27656851.846108563
1,0000001.bin,67688.09523320288
2,0000002.bin,131839.16951842207
3,0000003.bin,400945.7904419981
4,0000004.bin,287820.9795630172
5,0000005.bin,61825.345735527895
6,0000006.bin,306412.63973008277
7,0000007.bin,22734.656412813358
8,0000008.bin,22602.01596197118
9,0000009.bin,49681.79895717985
10,0000010.bin,97319.05050653915
11,0000011.bin,89113.63300912848
12,0000012.bin,413007.8269093257
13,0000013.bin,25654.305177068036
14,0000014.bin,407322.4394143811
15,0000015.bin,899459.5258445373
16,0000016.bin,2541941.2798203947
17,0000017.bin,32908.37644622984
18,0000018.bin,23043.411789767215
19,0000019.bin,146235.49085957507
20,0000020.bin,63377.40182348326
21,0000021.bin,61942.50165217518
22,0000022.bin,75655.97928281626
23,0000023.bin,61583.44751969466
24,0000024.bin,381668.965616338
25,0000025.bin,297768.4244809952
26,0000026.bin,854588.6367143396
27,0000027.bin,61751.837499240035
28,0000028.bin,564933.0352611296
29,0000029.bin,566017.3683452719
30,0000030.bin,55338.22656261615
31,0000031.bin,262075.36066199312
32,0000032.bin,65713.55731218119
33,0000033.bin,1689547.9096005943
34,0000034.bin,660089.7932261404
35,0000035.bin,200182.60350216422
36,0000036.bin,488818.547618178
37,0000037.bin,98173.43652906685
38,0000038.bin,44782.346836834186
39,0000039.bin,158629.1111335697
40,0000040.bin,451911.0044136829
41,0000041.bin,62988.34857100967
42,0000042.bin,182910.48892259967
43,0000043.bin,22059.641572094984
44,0000044.bin,22955.042557566016
45,0000045.bin,34901.30874683158
46,0000046.bin,210987.6214161565
47,0000047.bin,49709.71961620342
48,0000048.bin,3012849.9040589044
49,0000049.bin,102512.22380289083
50,0000050.bin,165630.78796049647
51,0000051.bin,89253.89448355333
52,0000052.bin,338240.4936071607
53,0000053.bin,966974.519699962
54,0000054.bin,999280.4194914562
55,0000055.bin,141216.94292567726
56,0000056.bin,147213.12961759392
57,0000057.bin,456856.1826753575
58,0000058.bin,383394.7810413433
59,0000059.bin,28276.45689461793
60,0000060.bin,25465708.001601838
61,0000061.bin,161836.14176848668
62,0000062.bin,385761.03957308276
63,0000063.bin,51777.7536398363
64,0000064.bin,28975.85901070661
65,0000065.bin,705513.5876133823
66,0000066.bin,41826.70605617782
67,0000067.bin,23813.620142868534
68,0000068.bin,85399.56182070283
69,0000069.bin,33133.54305125863
70,0000070.bin,74150.34215651298
71,0000071.bin,163291.06444713424
72,0000072.bin,23223.406509687808
73,0000073.bin,189406.37227259946
74,0000074.bin,49145.41746298512
75,0000075.bin,82383.05677465638
76,0000076.bin,83170.5856359986
77,0000077.bin,204000.32061093542
78,0000078.bin,39931.59998520705
79,0000079.bin,27613396.46255698
80,0000080.bin,203180.85273269526
81,0000081.bin,74746.89509577464
82,0000082.bin,228327.5284643428
83,0000083.bin,269701.19931805966
84,0000084.bin,531247.0720315437
85,0000085.bin,114215.8989580611
86,0000086.bin,63509.522659110924
87,0000087.bin,16399.5766611509
88,0000088.bin,1002608.7283127581
89,0000089.bin,95289.88370303586
90,0000090.bin,29283.263388030577
91,0000091.bin,25838.4914599429
92,0000092.bin,125893.87047924192
93,0000093.bin,63003.24420795773
94,0000094.bin,105945.42563230518
95,0000095.bin,599578.9356862515
96,0000096.bin,77012.8678857359
97,0000097.bin,203608.8771283469
98,0000098.bin,34969.23977951796
99,0000099.bin,37118.64555010662
100,0000100.bin,30283.83449853604
101,0000101.bin,32823.05562343201
102,0000102.bin,73196.32857151408
103,0000103.bin,329259.11734780465
104,0000104.bin,216877.21770135415
105,0000105.bin,584658.8768719422
106,0000106.bin,142411.95406008928
107,0000107.bin,736181.383038289
108,0000108.bin,229481.38607155878
109,0000109.bin,897910.968504418
110,0000110.bin,256455.96430283002
111,0000111.bin,569652.3540815924
112,0000112.bin,51920.43998539224
113,0000113.bin,131405.63720120126
114,0000114.bin,51208.18605216194
115,0000115.bin,29707.130861654205
116,0000116.bin,340587.0414007061
117,0000117.bin,136219.7684987491
118,0000118.bin,276707.65660521627
119,0000119.bin,46180.21576186907
120,0000120.bin,1690041.959774704
121,0000121.bin,21641.316661055516
122,0000122.bin,64747.973627785424
123,0000123.bin,343334.55895628355
124,0000124.bin,3513064.273809542
125,0000125.bin,46347.012254671165
126,0000126.bin,135152.65199599342
127,0000127.bin,112807.0834719202
128,0000128.bin,106848.93261574532
129,0000129.bin,26055.655990193514
130,0000130.bin,102806.36067109075
131,0000131.bin,608757.8349888952
132,0000132.bin,153025.75356488788
133,0000133.bin,43229.25151839407
134,0000134.bin,52667.023165635386
135,0000135.bin,24525.250537658514
136,0000136.bin,27898.93910060434
137,0000137.bin,1071630.675802992
138,0000138.bin,155568.12702277603
139,0000139.bin,116282.13164885374
140,0000140.bin,1300383.8045674649
141,0000141.bin,10702570.326352295
142,0000142.bin,37639.09217686855
143,0000143.bin,156593.50110106097
144,0000144.bin,298171.47270399675
145,0000145.bin,200220.18900469595
146,0000146.bin,29272.69787810452
147,0000147.bin,29474.793566329452
148,0000148.bin,121260.66920908875
149,0000149.bin,25680.978759504305
150,0000150.bin,160408.7933387011
151,0000151.bin,858072.102646493
152,0000152.bin,378928.44554602454
153,0000153.bin,33092.66665219187
154,0000154.bin,1134184.764812519
155,0000155.bin,2599084.9617030593
156,0000156.bin,243916.15894064747
157,0000157.bin,110044.21994618463
158,0000158.bin,371629.5141594436
159,0000159.bin,20533.843374708067
160,0000160.bin,293983.13136334816
161,0000161.bin,829561.4379315289
162,0000162.bin,1129788.3002320167
163,0000163.bin,32662.633077625167
164,0000164.bin,68747.38286630678
165,0000165.bin,39416.62663899813
166,0000166.bin,294812.9915464358
167,0000167.bin,55508.45251601792
168,0000168.bin,94648.40136581691
169,0000169.bin,221214.7925396126
170,0000170.bin,40773.09954972388
171,0000171.bin,1153845.169676171
172,0000172.bin,118292.52302159925
173,0000173.bin,626843.3552080936
174,0000174.bin,913069.8424833199
175,0000175.bin,2590439.118297157
176,0000176.bin,516285.5825351553
177,0000177.bin,22600.17998811518
178,0000178.bin,119996.54924744097
179,0000179.bin,44122.64332511599
180,0000180.bin,725983.483607758
181,0000181.bin,1177355.5424475756
182,0000182.bin,50247.382827996014
183,0000183.bin,48599.40576629838
184,0000184.bin,23938.57028812519
185,0000185.bin,52981.390387271735
186,0000186.bin,27724.55622530021
187,0000187.bin,79059332.0488846
188,0000188.bin,91390.65628324423
189,0000189.bin,1320059.4514782776
190,0000190.bin,51756.4147738828
191,0000191.bin,138441.67791615703
192,0000192.bin,44418.4429620915
193,0000193.bin,78953.04191872859
194,0000194.bin,25373.539741164186
195,0000195.bin,163325.94795040562
196,0000196.bin,47388.49440546971
197,0000197.bin,117097.54652820338
198,0000198.bin,103797.33622033053
199,0000199.bin,293161.20397296076
200,0000200.bin,279539.90608631686
201,0000201.bin,22341.34231543491
202,0000202.bin,1136255.3969193224
203,0000203.bin,54129.74007291856
204,0000204.bin,44424.95547312926
205,0000205.bin,41947.499279521726
206,0000206.bin,235329.10136822108
207,0000207.bin,5011041.098679808
208,0000208.bin,24974.856286282335
209,0000209.bin,663950.1880538453
210,0000210.bin,848143.0175004468
211,0000211.bin,256022.70911373847
212,0000212.bin,1039207.0656840313
213,0000213.bin,19385.666894383194
214,0000214.bin,694107.3749022951
215,0000215.bin,52444.38535478615
216,0000216.bin,41675.151610485365
217,0000217.bin,123480.3269604464
218,0000218.bin,595796.5870676889
219,0000219.bin,32376.0133099918
220,0000220.bin,146312.7749666242
221,0000221.bin,82887.88030313092
222,0000222.bin,51935.40490437261
223,0000223.bin,29087.403082712826
224,0000224.bin,296015.5197813542
225,0000225.bin,111681.07724169546
226,0000226.bin,716508.5421820205
227,0000227.bin,732358.1580207971
228,0000228.bin,399786.8059643907
229,0000229.bin,77649.53512170885
230,0000230.bin,38710.573447660165
231,0000231.bin,1285799.7635107387
232,0000232.bin,91491.73876839408
233,0000233.bin,134346.17449881262
234,0000234.bin,51639.12029317088
235,0000235.bin,21872.476161831135
236,0000236.bin,332140.17602067225
237,0000237.bin,42593.83135900283
238,0000238.bin,203074.4701720732
239,0000239.bin,32236.098245757912
240,0000240.bin,579352.6006756661
241,0000241.bin,495103.3632567254
242,0000242.bin,61373.245833646244
243,0000243.bin,84381.91268902118
244,0000244.bin,525941.0383223799
245,0000245.bin,72208.99032897092
246,0000246.bin,123311.93698090102
247,0000247.bin,82053.41286489423
248,0000248.bin,103888.06104164905
249,0000249.bin,9565249.435761739
250,0000250.bin,88700.08855823099
251,0000251.bin,49504.991210708016
252,0000252.bin,674692.6442565544
253,0000253.bin,130987.10444397698
254,0000254.bin,40776.18260016196
255,0000255.bin,29597.8384556978
256,0000256.bin,1392182.8441055578
257,0000257.bin,93473.79378992211
258,0000258.bin,29133.718121306712
259,0000259.bin,14996.996558213084
260,0000260.bin,288396.05507226073
261,0000261.bin,430487.4065346622
262,0000262.bin,45434.08291483598
263,0000263.bin,42463.511856215395
264,0000264.bin,43262.680098986806
265,0000265.bin,47590.8325808502
266,0000266.bin,4965147.606447593
267,0000267.bin,92403.83672384146
268,0000268.bin,43103.67783482032
269,0000269.bin,418606.0922486323
270,0000270.bin,152027.3994792064
271,0000271.bin,130145.32775133089
272,0000272.bin,3929489.611574267
273,0000273.bin,176598.8957785619
274,0000274.bin,415506.44876380597
275,0000275.bin,152499.10619623362
276,0000276.bin,90466.2261260445
277,0000277.bin,678035.0519713854
278,0000278.bin,410329.6953091133
279,0000279.bin,19577.439559795126
280,0000280.bin,33127.96584765715
281,0000281.bin,267079.8789843468
282,0000282.bin,2363406.2970419014
283,0000283.bin,91189.39197936465
284,0000284.bin,78395.84117382273
285,0000285.bin,161305.8570931358
286,0000286.bin,101530.35884090068
287,0000287.bin,478011.0701920385
288,0000288.bin,36319.37338428674
289,0000289.bin,47691.60329685462
290,0000290.bin,151067.28907536363
291,0000291.bin,2953760.990548351
292,0000292.bin,148034.12170054505
293,0000293.bin,74679.83008849222
294,0000294.bin,783173.3415807298
295,0000295.bin,190002.4402376349
296,0000296.bin,26598.619277344278
297,0000297.bin,162501.97674006489
298,0000298.bin,16056.977011417513
299,0000299.bin,133201.49676087857
300,0000300.bin,125939.83910768395
301,0000301.bin,1079511.610928533
302,0000302.bin,323996.4195320233
303,0000303.bin,1651196.5287137378
304,0000304.bin,535934.9021684245
305,0000305.bin,201677.50191345843
306,0000306.bin,3814046.3117368678
307,0000307.bin,153738.42319031208
308,0000308.bin,124757.61050823433
309,0000309.bin,19375.413153602498
310,0000310.bin,588097.7598164497
