,runstring,t
0,0000000.bin,123214.84895203898
1,0000001.bin,85836.77273750976
2,0000002.bin,177603.24306217502
3,0000003.bin,426456.1427924412
4,0000004.bin,44721.74104376703
5,0000005.bin,119750.99466858113
6,0000006.bin,155619.60136176992
7,0000007.bin,520045.0199091623
8,0000008.bin,522565.45574601763
9,0000009.bin,43050.08737750929
10,0000010.bin,218593.1553344224
11,0000011.bin,300746.17958594137
12,0000012.bin,957901.1982463489
13,0000013.bin,1131425.2436262744
14,0000014.bin,116286.10118727032
15,0000015.bin,197210.2392728801
16,0000016.bin,500296.1385184156
17,0000017.bin,197268.3304328601
18,0000018.bin,148673.5336327854
19,0000019.bin,222112.05246415825
20,0000020.bin,571826.8287716808
21,0000021.bin,792433.3956752534
22,0000022.bin,254896.87416864195
23,0000023.bin,45850.76023114195
24,0000024.bin,444935.3668842467
25,0000025.bin,280993.0374839904
26,0000026.bin,51669.43684938784
27,0000027.bin,338911.48287814134
28,0000028.bin,157213.66158834062
29,0000029.bin,49105.735746156555
30,0000030.bin,192870.47975909789
31,0000031.bin,154561.59402768002
32,0000032.bin,44730.60886544555
33,0000033.bin,366205.2178134213
34,0000034.bin,5243435.27134303
35,0000035.bin,302398.1924155543
36,0000036.bin,47976.71655878164
37,0000037.bin,208295.08565088603
38,0000038.bin,418332.66388241225
39,0000039.bin,83932.09627269187
40,0000040.bin,122810.87810666832
41,0000041.bin,57200.567421722066
42,0000042.bin,146015.95832350416
43,0000043.bin,96432.36476634613
44,0000044.bin,82180.87469082647
45,0000045.bin,137984.93339610987
46,0000046.bin,2045670.5025139826
47,0000047.bin,604504.4745925071
48,0000048.bin,115148.42201778748
49,0000049.bin,399921.74972958886
50,0000050.bin,296480.3070323358
51,0000051.bin,360492.4008068631
52,0000052.bin,200538.72071602682
53,0000053.bin,263289.0549917894
54,0000054.bin,161921.71282120884
55,0000055.bin,46031.96169676825
56,0000056.bin,467918.3705585266
57,0000057.bin,51391.83246293607
58,0000058.bin,241973.40966933742
59,0000059.bin,279619.7375190074
60,0000060.bin,133738.80560887858
61,0000061.bin,36530.95676644567
62,0000062.bin,204884.1265381434
63,0000063.bin,514073.1655173565
64,0000064.bin,420842.53454107814
65,0000065.bin,182061.64433083587
66,0000066.bin,71032.0830049356
67,0000067.bin,717678.2823184321
68,0000068.bin,193092.6602600589
69,0000069.bin,246124.41621309522
70,0000070.bin,368314.5123390297
71,0000071.bin,44392.696363594165
72,0000072.bin,165693.51606842465
73,0000073.bin,107138.35424709438
74,0000074.bin,124344.80341748155
75,0000075.bin,784628.3616278323
76,0000076.bin,304997.29553001025
77,0000077.bin,738510.4928327727
78,0000078.bin,205571.6598376561
79,0000079.bin,173876.88740106163
80,0000080.bin,313149.8373400422
81,0000081.bin,60872.95407433885
82,0000082.bin,265644.77796867513
83,0000083.bin,141713.2981730723
84,0000084.bin,188292.4321776339
85,0000085.bin,45827.23971973681
86,0000086.bin,267505.49636743986
87,0000087.bin,946670.5523907023
88,0000088.bin,134848.87675540135
89,0000089.bin,40033.60776974705
90,0000090.bin,233767.4877432914
91,0000091.bin,35298.329553131494
92,0000092.bin,42305.813875225445
93,0000093.bin,146631.26737223673
94,0000094.bin,494561.32515726634
95,0000095.bin,221745.5620213507
96,0000096.bin,551924.2846581528
97,0000097.bin,209595.1914447852
98,0000098.bin,342298.7136456
99,0000099.bin,72227.95725418373
100,0000100.bin,7511178.857211918
101,0000101.bin,147820.49075522597
102,0000102.bin,81614.0615418983
103,0000103.bin,104641.33500609414
104,0000104.bin,309738.56646221154
105,0000105.bin,67626.11204188714
106,0000106.bin,97168.01292645048
107,0000107.bin,75178.20531878453
108,0000108.bin,263164.870848153
109,0000109.bin,602541.7416043396
110,0000110.bin,215707.5800162036
111,0000111.bin,145016.18070910798
112,0000112.bin,172383.56008637036
113,0000113.bin,34039.86095320726
114,0000114.bin,553515.4697733375
115,0000115.bin,38907.94865543001
116,0000116.bin,65979.39912410024
117,0000117.bin,119738.00469541924
118,0000118.bin,409775.94338675984
119,0000119.bin,216523.69673005483
120,0000120.bin,429147.8384357507
121,0000121.bin,176234.86196933695
122,0000122.bin,85864.62323996886
123,0000123.bin,240691.42055800805
124,0000124.bin,148283.34947893056
125,0000125.bin,95668.97002356798
126,0000126.bin,84799.37616083673
127,0000127.bin,127559.31949608792
128,0000128.bin,38524.34608797719
129,0000129.bin,87852.74729237876
130,0000130.bin,1124364.0327633175
131,0000131.bin,37084.05250371488
132,0000132.bin,265425.8189806903
133,0000133.bin,353462.2619597616
134,0000134.bin,273805.04448276036
135,0000135.bin,292612.96685600677
136,0000136.bin,290129.69966242113
137,0000137.bin,1138480.2539420316
138,0000138.bin,162677.07110059084
139,0000139.bin,240590.0294874884
140,0000140.bin,156893.69256941686
141,0000141.bin,76680.05405587
142,0000142.bin,129041.21563439672
143,0000143.bin,206672.1703639317
144,0000144.bin,141849.4677317374
145,0000145.bin,181291.97976101158
146,0000146.bin,102606.34313051614
147,0000147.bin,350845.5271217043
148,0000148.bin,617091.0658089633
149,0000149.bin,41027.080917168656
150,0000150.bin,209078.95259136733
151,0000151.bin,227440.43553538164
152,0000152.bin,65338.768287684084
153,0000153.bin,118674.07393356752
154,0000154.bin,1234800.4547802547
155,0000155.bin,80275.60934722524
156,0000156.bin,97127.93452925498
157,0000157.bin,479521.9498842957
158,0000158.bin,36404.10534852873
159,0000159.bin,2191527.221329864
160,0000160.bin,47681.37652897283
161,0000161.bin,315883.72441625246
162,0000162.bin,145311.9710579864
163,0000163.bin,284750.39588736393
164,0000164.bin,450986.0271133671
165,0000165.bin,379691.2347731183
166,0000166.bin,50249.37298332965
167,0000167.bin,97978.13693268302
168,0000168.bin,514598.27219333523
169,0000169.bin,150940.40518928532
170,0000170.bin,94785.72112841609
171,0000171.bin,71226.2744437238
172,0000172.bin,1431764.0234520289
173,0000173.bin,36224.04700054067
174,0000174.bin,47488.847806749356
175,0000175.bin,273690.21311981627
176,0000176.bin,60005.743466050844
177,0000177.bin,259603.8515637288
178,0000178.bin,565382.0700761306
179,0000179.bin,251793.41370058767
180,0000180.bin,51705.9819738833
181,0000181.bin,112404.69720649657
182,0000182.bin,113885.13846781124
183,0000183.bin,111937.30065216743
184,0000184.bin,145054.90814909464
185,0000185.bin,109366.5676434645
186,0000186.bin,722674.2952847483
187,0000187.bin,32698.94932361554
188,0000188.bin,73376.30552162354
189,0000189.bin,99818.83344968753
190,0000190.bin,2579826.8251707964
191,0000191.bin,419854.3613010461
192,0000192.bin,77490.83622074274
193,0000193.bin,181316.98978933928
194,0000194.bin,91571.34360952345
195,0000195.bin,335378.90297073894
