,runstring,t
0,0000000.bin,21482.27729261687
1,0000001.bin,63680.01843806494
2,0000002.bin,1655026.6272606768
3,0000003.bin,1188272.799060087
4,0000004.bin,604427.3963517311
5,0000005.bin,13898.493701476742
6,0000006.bin,827028.1844130165
7,0000007.bin,171668.62809753467
8,0000008.bin,173117.38450976953
9,0000009.bin,4891889.485007789
10,0000010.bin,342156.30953727756
11,0000011.bin,301528.1526345217
12,0000012.bin,1079261.136697817
13,0000013.bin,48235.14995005316
14,0000014.bin,32373456.389740597
15,0000015.bin,242687.62213158354
16,0000016.bin,638437.4224003649
17,0000017.bin,528828.895399892
18,0000018.bin,372066.08693214704
19,0000019.bin,266426.1032029955
20,0000020.bin,21769096.003830742
21,0000021.bin,31115451.287400063
22,0000022.bin,554800.4745944941
23,0000023.bin,86391715.75930478
24,0000024.bin,267513.24208887294
25,0000025.bin,60092.07560094116
26,0000026.bin,247734.57512206063
27,0000027.bin,17836.44932489672
28,0000028.bin,219300.57412894213
29,0000029.bin,428407.4416099051
30,0000030.bin,71927.8355906987
31,0000031.bin,164563.583290222
32,0000032.bin,45115.969289824956
33,0000033.bin,1222122.9914789663
34,0000034.bin,368245.3218505188
35,0000035.bin,1446631.7372038
36,0000036.bin,89520.34290379105
37,0000037.bin,83824.63304161475
38,0000038.bin,84892.58080583607
39,0000039.bin,1058680.6342907709
40,0000040.bin,10993501.55950592
41,0000041.bin,2285244.985425633
42,0000042.bin,176207.0856699257
43,0000043.bin,116846.8707139121
44,0000044.bin,62907.45458430163
45,0000045.bin,1380661.5669965877
46,0000046.bin,384842.07328269817
47,0000047.bin,204643.61545693481
48,0000048.bin,85706.64459185576
49,0000049.bin,5030.394583659146
50,0000050.bin,407329.5288395138
51,0000051.bin,13674057.09341183
52,0000052.bin,382681.47871076234
53,0000053.bin,799161.0836782043
54,0000054.bin,45181.61400791667
55,0000055.bin,171631.8047015659
56,0000056.bin,79117.33517971504
57,0000057.bin,3913730.001214933
58,0000058.bin,182687.89943739158
59,0000059.bin,1684862.1342251233
60,0000060.bin,233642.29958992804
61,0000061.bin,29069.213215865224
62,0000062.bin,334069.4691621881
63,0000063.bin,60396.119764894196
64,0000064.bin,17986430.004591253
65,0000065.bin,98691.23910696714
66,0000066.bin,49662.25572906342
67,0000067.bin,60798.71760851527
68,0000068.bin,13704.469392265935
69,0000069.bin,374813.6041737901
70,0000070.bin,284553.1559901289
71,0000071.bin,47101.17641615746
72,0000072.bin,576755.6709250712
73,0000073.bin,292509.2958261871
74,0000074.bin,10843267.54107764
75,0000075.bin,376244.41654170526
76,0000076.bin,911422.5925891104
77,0000077.bin,523619.6839235296
78,0000078.bin,165705.5935394245
79,0000079.bin,14907.517104207036
80,0000080.bin,140951.1955032186
81,0000081.bin,13937.153071067754
82,0000082.bin,71242.46316489446
83,0000083.bin,235100.27051140813
84,0000084.bin,188807.61529368305
85,0000085.bin,95759.05063174857
86,0000086.bin,156022.39139911535
87,0000087.bin,637472.8434188932
88,0000088.bin,78543.3682490529
89,0000089.bin,637686.0242072565
90,0000090.bin,1885373.9423671642
91,0000091.bin,6862099.879676949
92,0000092.bin,139116.78070215942
93,0000093.bin,174310.21312386965
94,0000094.bin,3226759.785862219
95,0000095.bin,918555.3155412006
96,0000096.bin,88074.9120299418
97,0000097.bin,185119.2135196716
98,0000098.bin,279918.3964038214
99,0000099.bin,28511.83932991595
100,0000100.bin,76232.91666028035
101,0000101.bin,12666.416821330204
102,0000102.bin,872362.0801837279
103,0000103.bin,207837.23965369145
104,0000104.bin,726003.0073866525
105,0000105.bin,15596.007221251275
106,0000106.bin,227604.68293255093
107,0000107.bin,57101.30917288499
108,0000108.bin,97772.28233609351
109,0000109.bin,7853816.296936076
110,0000110.bin,3316363.4759989497
