,ID,Mean,Sigma,KSpval,instability_time,tlyap10,megno10,Nlyap10
3,3.0,6.83750428140782,0.306543385276229,0.40310260702007866,2287670.6431605443,16155.249034214048,13.950857086657548,141.60540876316114
4,4.0,5.687568150621653,0.23983756313057164,0.0013295146389830114,966893.1133122643,96689.31147379786,2.1046920145367807,9.999999985254686
5,5.0,5.797548918601388,0.4567843418743342,0.9307144002524204,575589.3738979587,691.6679840678208,80.7730034812572,832.1758230196177
8,8.0,5.891150942361628,0.41752862167080107,0.7090913097601381,293096.5984778255,2362.272278764785,12.44336070569324,124.07401175239782
13,13.0,4.644210361087789,0.25617377852546674,0.0002183068861607883,45060.89524776292,4506.103380947536,2.0224012997681764,9.999969250214493
14,14.0,4.641321006938654,0.2790606716906073,0.9762302453759644,20910.737630430922,334.3404217898174,8.721780955575703,62.5432531265287
15,15.0,5.394118484047972,0.4722553762191515,0.3599028659647999,140210.79461136015,428.12848328351953,32.25021186467632,327.49700168514215
19,19.0,5.5069624773832215,0.6117216691467854,0.9571669235102976,153688.08979383425,88.49962784255682,168.2090554915106,1736.595887919997
22,22.0,5.696338898452464,0.4219748814653336,0.6555503111669627,177459.7250300951,17746.00367690794,2.187813387854131,9.999982433285263
23,23.0,5.750305153315754,0.2329825506116089,0.010125210232304336,311092.64101306576,31109.295272398205,2.00421740445995,9.999989980135727
25,25.0,5.975441564155267,0.25585998412855976,0.5491661614735049,1835425.4553373016,3122.5057736415592,65.27157042411027,587.8053039424084
26,26.0,5.0833155513584085,0.4189024103378883,0.6019152823234225,86961.10954708565,349.74371646074525,22.77098906858748,248.64237855963324
27,27.0,4.935118481589787,0.3437021676782328,0.7613652067734002,98209.46318587141,679.614461805515,16.41576834448018,144.50761233797283
28,28.0,4.877459836870872,0.6191346255679913,0.7613652067734018,927399.341256148,,,
30,30.0,6.173449688422225,0.23908906214714065,0.5491661614735049,513878.2397582525,51387.834361958754,2.0021056075462007,9.999997978873088
31,31.0,6.869909286954626,0.2550058128610022,0.8567045353837404,9297808.76968848,5838.291016982107,155.34170262382708,1592.556579081706
33,33.0,4.651385929161704,0.4064284956656381,0.07742034064789523,17586.655002613352,1758.6897489918279,1.989855767230267,9.9998621204763
34,34.0,4.728932725405367,0.39651280383614296,6.67730626421895e-09,39653.98688171462,56.58185287394944,70.62863376844565,700.8251739308366
36,36.0,4.931004489943285,0.4972117527456042,0.008212907610514936,494549.6958954678,,,
37,37.0,4.911632989815414,0.2897801433752453,0.6555503111669643,52737.48299250134,824.8706348931303,9.490280839541294,63.93424709479927
38,38.0,5.0646753953062245,0.6260844462755424,0.14355816610478422,798445.457041073,,,
41,41.0,5.790898847711949,0.3904947785759276,0.3599028659647988,863656.4769195539,542.9182669701767,155.51276247274822,1590.7670260190305
42,42.0,5.189591239495999,0.4039721966322152,0.06567117973706273,269341.1059550944,7802.055184298107,6.508289881197124,34.521815033704485
43,43.0,5.344513230222252,0.392046368440622,0.40310260702007983,99076.18141015146,9907.642388356713,1.9915469530927983,9.999975526628216
46,46.0,5.4612605573392905,0.5875454897471052,0.2184324844305039,45518.60699426215,526.4572902277339,8.586275770165775,86.46210782753487
47,47.0,6.003410613668224,0.5249862700662636,0.14355816610478422,2168327.0420187474,,,
48,48.0,5.489677485579715,0.3953678464993448,0.3198116437605909,171918.9637776113,708.4745936965305,23.262504715182683,242.66073237800737
49,49.0,5.570551931437908,0.5814461932986259,5.088268557767811e-20,380981.4453686442,38098.154922998016,2.0100567052861087,9.999997273848663
50,50.0,4.387149063460002,0.2733753944185954,0.002229025519133204,16512.956707013127,524.9516708678136,4.69455117954214,31.456146581484454
53,53.0,5.357514096835872,0.5330589260320869,0.04667764677246235,1970204.1233826475,,,
54,54.0,6.219218442506127,0.1822190575733328,0.190710292659619,2220683.5432983446,222068.38181876866,3.276300376734512,9.999998762141013
58,58.0,5.371674198436327,0.3091636364888008,0.7090913097601379,248786.51260742,24878.65818443101,5.27798885121682,9.999997217016707
59,59.0,5.204664008802487,0.4415572742932717,0.4031026070200797,37312.87772770605,3731.322413714284,1.9989690870598487,9.999907161751684
60,60.0,4.28339727892259,0.08547398607404222,2.771242598076804e-20,17874.417923779693,1787.4417923975348,2.0123420259830094,9.99999999989054
61,61.0,5.1959598171226755,0.7268404472729847,0.0008097301144065586,21611.178977004143,440.0133980555075,5.973514157290172,49.11482030435333
62,62.0,5.059258002407302,0.3145827281824873,1.1698567528628858e-05,104994.35653367973,9159.724196934734,3.3281603837624885,11.462611130673093
63,63.0,5.088866693384881,0.35238315596905045,0.3599028659647988,175742.91626929113,500.85975896459007,34.665576406658424,350.8824838166243
66,66.0,6.5753834778358495,0.3956255654747842,0.40310260702007866,5383146.928068793,,,
70,70.0,5.912944702840158,0.3226988280339695,2.1699070622172285e-05,634628.0921791162,18149.52426218226,6.112565160053169,34.966651632928794
71,71.0,5.4285814748229635,0.8407233024993257,0.21843248443050312,32688.64848075456,220.15804085453541,15.39685712434333,148.478103974194
73,73.0,4.984286158870175,0.33661346251000823,0.3198116437605909,112341.68141983377,206.729625607159,47.764976782226555,543.4232325913108
75,75.0,5.465188773995954,0.3597488953995085,0.5491661614735049,243528.35276475552,2146.042917240627,12.87646543337504,113.47785769255876
77,77.0,5.395265408486947,0.5420504366457675,0.8110410183808878,150858.61159402624,404.27816119490564,37.16877743002009,373.1554807416276
80,80.0,4.587635179302416,0.4047969847467448,0.5491661614735077,50389.16850713181,187.4406365496137,25.177184062842475,268.82734413780275
81,81.0,5.788467504715871,0.5086659696038672,0.24912032165509,2527495.110008444,2197.420025716048,117.47754958167684,1150.2102831637017
84,84.0,5.5055448683159485,0.4369918729054346,0.8110410183808878,789609.4345152109,,,
89,89.0,4.266151058817618,0.01859695575684722,1.790086303085429e-18,18586.74113889269,1858.6983626210758,1.5158696131850502,9.999869539177014
92,92.0,5.111542453918497,0.6143265253337507,0.5491661614735064,109561.11633484137,,,
93,93.0,5.750191628960322,0.2345313111476869,0.9307144002524204,757643.2245270234,6972.456809379987,13.545113591085046,108.66230444163847
