,runstring,t
0,0000000.bin,6786007240.855332
1,0000001.bin,153282362.53484488
2,0000002.bin,780889358.949371
3,0000003.bin,11657760858.767836
4,0000004.bin,268511851.185825
5,0000005.bin,8927007722.838127
6,0000006.bin,697366002.5466417
7,0000007.bin,1311174053.8866663
8,0000008.bin,
9,0000009.bin,141705559.9296143
10,0000010.bin,4268757682.38631
11,0000011.bin,7266353.058809668
12,0000012.bin,380063980.33668876
13,0000013.bin,
14,0000014.bin,111393469.88516916
15,0000015.bin,6398146810.678304
16,0000016.bin,1090821011.7907352
17,0000017.bin,8480313.448970554
18,0000018.bin,
19,0000019.bin,
20,0000020.bin,51031080.32614525
21,0000021.bin,3898659979.8668995
22,0000022.bin,5788349944.1382065
23,0000023.bin,5993966696.894398
24,0000024.bin,3504007394.047991
25,0000025.bin,12908668176.883247
26,0000026.bin,
27,0000027.bin,728299037.0841705
28,0000028.bin,4231990393.701562
29,0000029.bin,142216996.7054262
30,0000030.bin,488002186.0418039
31,0000031.bin,81344454.36293054
32,0000032.bin,93395150.11655872
33,0000033.bin,1609442886.7837527
34,0000034.bin,6008506302.796318
35,0000035.bin,8508989123.134684
36,0000036.bin,
37,0000037.bin,7101518686.812869
38,0000038.bin,7955832.793041862
39,0000039.bin,40080730.37927995
40,0000040.bin,2219128413.0505066
41,0000041.bin,2861659920.619631
42,0000042.bin,18716892.038617328
43,0000043.bin,6780639.619233343
44,0000044.bin,12784654037.69455
45,0000045.bin,8263617.966949588
46,0000046.bin,9975035014.835432
47,0000047.bin,52374884.570512444
48,0000048.bin,9805674377.364439
49,0000049.bin,96599778.15076606
50,0000050.bin,129094217.77203286
51,0000051.bin,51249848.48487809
52,0000052.bin,3732467661.9684315
53,0000053.bin,8432297.357391482
54,0000054.bin,
55,0000055.bin,11735259280.813446
56,0000056.bin,11104213.3520512
57,0000057.bin,26429301.87259662
58,0000058.bin,
59,0000059.bin,9029161346.721653
60,0000060.bin,
61,0000061.bin,6188071899.468716
62,0000062.bin,
63,0000063.bin,
64,0000064.bin,8031927563.093017
65,0000065.bin,
66,0000066.bin,1360864115.7891536
67,0000067.bin,6957586587.704483
68,0000068.bin,10306264623.362162
69,0000069.bin,9642003213.24506
70,0000070.bin,4517682974.666842
71,0000071.bin,
72,0000072.bin,11311327395.251413
73,0000073.bin,
74,0000074.bin,7834622.6554050185
75,0000075.bin,10811391058.382826
76,0000076.bin,8997401937.493223
77,0000077.bin,68703597.43516779
78,0000078.bin,
79,0000079.bin,1868852740.999289
80,0000080.bin,20296753.049434032
81,0000081.bin,51582184.56929284
82,0000082.bin,
83,0000083.bin,
84,0000084.bin,17036953.89635217
85,0000085.bin,5765832024.994386
86,0000086.bin,
87,0000087.bin,
88,0000088.bin,7194264895.753454
89,0000089.bin,4782711034.719431
90,0000090.bin,4556210210.4233465
91,0000091.bin,2773751505.803575
92,0000092.bin,8199406414.387712
93,0000093.bin,
94,0000094.bin,
95,0000095.bin,47381602.54934118
96,0000096.bin,
97,0000097.bin,
98,0000098.bin,157791483.87051764
99,0000099.bin,4431076386.754488
100,0000100.bin,86113643.04289922
101,0000101.bin,
102,0000102.bin,2967458385.653151
103,0000103.bin,7931696248.33583
104,0000104.bin,9704709.188470468
105,0000105.bin,34561949.66615665
106,0000106.bin,
107,0000107.bin,10261981877.227428
108,0000108.bin,9374268100.221375
109,0000109.bin,9254045960.927486
110,0000110.bin,
111,0000111.bin,
112,0000112.bin,531998275.8501195
113,0000113.bin,58933897.26140329
114,0000114.bin,
115,0000115.bin,25533062.281595703
116,0000116.bin,7528902562.303686
117,0000117.bin,104400461.28388487
118,0000118.bin,23287431.47530472
119,0000119.bin,7487560555.3802595
120,0000120.bin,
121,0000121.bin,5719904685.465183
122,0000122.bin,
123,0000123.bin,1032025178.6810914
124,0000124.bin,758789114.1620333
125,0000125.bin,934829648.0819936
126,0000126.bin,3528866489.0940685
127,0000127.bin,36136707.53498631
128,0000128.bin,7626397305.474687
129,0000129.bin,50093196.93027187
130,0000130.bin,36784754.61910118
131,0000131.bin,510034551.1886364
132,0000132.bin,
133,0000133.bin,11921253575.793236
134,0000134.bin,5644514863.851293
135,0000135.bin,4996538954.444879
136,0000136.bin,776199027.3333135
137,0000137.bin,7730098.317759764
