,runstring,t
0,0000000.bin,160967.46531146928
1,0000001.bin,73970.71235375963
2,0000002.bin,154581.5753122482
3,0000003.bin,248351.3594249671
4,0000004.bin,77663.93413391984
5,0000005.bin,1112386.9268630599
6,0000006.bin,87594.7849707872
7,0000007.bin,91297.22109957728
8,0000008.bin,294663.74945246195
9,0000009.bin,142837.71479129908
10,0000010.bin,96114.17772768148
11,0000011.bin,2129071.383197876
12,0000012.bin,94902.94120816207
13,0000013.bin,126424.84682646782
14,0000014.bin,70698.75257994489
15,0000015.bin,77093.37196744372
16,0000016.bin,198062.73548416374
17,0000017.bin,310365.06878539175
18,0000018.bin,76732.869237402
19,0000019.bin,102860.9861472101
20,0000020.bin,152376.78260134044
21,0000021.bin,158822.53122619702
22,0000022.bin,130070.88837041041
23,0000023.bin,95802.17156937595
24,0000024.bin,213943.56141318334
25,0000025.bin,176450.8618354448
26,0000026.bin,456798.9428417813
27,0000027.bin,166040.37991285324
28,0000028.bin,115579.14280420587
29,0000029.bin,218934.27432554355
30,0000030.bin,602151.2394281377
31,0000031.bin,364016.6528500065
32,0000032.bin,64494.65543898993
33,0000033.bin,145642.09833040414
34,0000034.bin,41990.06381712932
35,0000035.bin,41756.1371394173
36,0000036.bin,163627.77939223056
37,0000037.bin,61018.21333595084
38,0000038.bin,36891.96563673045
39,0000039.bin,142869.1682820844
40,0000040.bin,191007.10782982875
41,0000041.bin,38996.16260266248
42,0000042.bin,134629.18506613025
43,0000043.bin,238121.35402989923
44,0000044.bin,800535.1953312077
45,0000045.bin,158173.95886058733
46,0000046.bin,174211.94832230848
47,0000047.bin,42290.91576380915
48,0000048.bin,56471.62509718577
49,0000049.bin,81697.11688195066
50,0000050.bin,394496.990643444
51,0000051.bin,85552.83681783544
52,0000052.bin,82331.555961485
53,0000053.bin,107998.81687816589
54,0000054.bin,123470.78208038372
55,0000055.bin,105855.44160946876
56,0000056.bin,376555.19897900196
57,0000057.bin,167435.7994825726
58,0000058.bin,101629.41570796988
59,0000059.bin,130716.37774021893
60,0000060.bin,89588.34047322792
61,0000061.bin,74153.33658675473
62,0000062.bin,157793.15685155313
63,0000063.bin,179021.5611797946
64,0000064.bin,92569.39009744236
65,0000065.bin,50343.632935585054
66,0000066.bin,136343.8159988306
67,0000067.bin,38474.06236773347
68,0000068.bin,57326.23861204336
69,0000069.bin,249989.7814592889
70,0000070.bin,225261.5181134215
71,0000071.bin,125289.12639722331
72,0000072.bin,102136.37808465485
73,0000073.bin,174865.9938724381
74,0000074.bin,225393.25558639131
75,0000075.bin,139861.82659043395
76,0000076.bin,486489.65252679214
77,0000077.bin,48260.6358995745
78,0000078.bin,92075.72963757646
79,0000079.bin,43744.0462544565
80,0000080.bin,51192.807906328795
81,0000081.bin,91019.40502434575
82,0000082.bin,160404.52403531037
83,0000083.bin,83401.563536027
84,0000084.bin,57111.71056301766
85,0000085.bin,337552.42007989273
86,0000086.bin,200389.11602839362
87,0000087.bin,71780.60717415386
88,0000088.bin,244969.86668268638
89,0000089.bin,165493.13074167864
90,0000090.bin,46064.95361514144
91,0000091.bin,147667.765489714
92,0000092.bin,66813.06869080882
93,0000093.bin,96210.33950135265
94,0000094.bin,137938.79896107665
95,0000095.bin,289021.7275822321
96,0000096.bin,52371.6556435149
97,0000097.bin,134390.27016971353
98,0000098.bin,168600.99889837205
99,0000099.bin,148065.81842210842
100,0000100.bin,55000.58551541194
101,0000101.bin,82635.52554504569
102,0000102.bin,99280.89994082872
103,0000103.bin,122223.9352210466
104,0000104.bin,249984.03115150216
105,0000105.bin,291072.3011951484
106,0000106.bin,131048.78709906204
107,0000107.bin,266265.26556068426
108,0000108.bin,65683.34105221457
109,0000109.bin,257979.93805019488
110,0000110.bin,151328.84096781886
111,0000111.bin,78371.6376771842
112,0000112.bin,41443.26497103362
113,0000113.bin,123451.903057815
114,0000114.bin,118371.78324722526
115,0000115.bin,158907.22702462226
116,0000116.bin,146715.812427741
117,0000117.bin,395372.7001666301
118,0000118.bin,109956.51955793022
119,0000119.bin,50434.390805510346
120,0000120.bin,461027.0125238225
121,0000121.bin,121258.29919696254
122,0000122.bin,291789.77333297394
123,0000123.bin,181495.78698687884
124,0000124.bin,102763.05771271141
125,0000125.bin,248660.24794625863
126,0000126.bin,180412.4428560196
127,0000127.bin,168622.33738991804
128,0000128.bin,89811.59790525625
129,0000129.bin,105227.89597120263
130,0000130.bin,64277.841123011916
131,0000131.bin,219318.40181377972
132,0000132.bin,117776.90351406428
133,0000133.bin,52872.17490403038
134,0000134.bin,729610.5180450142
135,0000135.bin,44334.52665550479
136,0000136.bin,43722.984886168495
137,0000137.bin,436289.46554851625
138,0000138.bin,212392.08680382976
139,0000139.bin,71789.57903992505
140,0000140.bin,36372.77519610439
141,0000141.bin,66580.14658484164
142,0000142.bin,382424.6004896667
143,0000143.bin,158967.57061597472
144,0000144.bin,59045.3727985519
145,0000145.bin,69618.52608492992
146,0000146.bin,193113.76426386996
147,0000147.bin,26685.688915819952
148,0000148.bin,130054.26097438658
149,0000149.bin,132476.7340122452
150,0000150.bin,184032.3308885917
151,0000151.bin,150352.74354122323
152,0000152.bin,424454.9857193134
153,0000153.bin,169318.36711497256
154,0000154.bin,39811.80565810558
155,0000155.bin,535274.6402621786
156,0000156.bin,238190.53092538193
157,0000157.bin,163016.48010600964
158,0000158.bin,358883.01361277816
159,0000159.bin,49590.966142555764
160,0000160.bin,213177.1077379454
161,0000161.bin,195921.30008013523
162,0000162.bin,44165.031137358055
163,0000163.bin,337182.42587826494
164,0000164.bin,68293.39190264726
165,0000165.bin,53274.80037049666
166,0000166.bin,161820.34680555016
167,0000167.bin,202153.6637895319
168,0000168.bin,101980.63480856495
169,0000169.bin,140903.255827185
170,0000170.bin,112996.83892088795
171,0000171.bin,422707.06535418495
172,0000172.bin,155732.36431817245
173,0000173.bin,231916.63336636894
174,0000174.bin,81252.40331912991
175,0000175.bin,306276.6692298334
176,0000176.bin,118562.30549333167
177,0000177.bin,225051.25083471346
178,0000178.bin,62349.75599322499
179,0000179.bin,104326.7257471193
180,0000180.bin,38863.87088310344
181,0000181.bin,161337.77127677226
182,0000182.bin,47118.229871991985
183,0000183.bin,149019.1224600072
184,0000184.bin,82950.06045316318
185,0000185.bin,156417.72479745396
186,0000186.bin,103158.30477236125
187,0000187.bin,307613.58114984306
188,0000188.bin,298753.4307031294
189,0000189.bin,68725.35779518307
190,0000190.bin,220315.97629355476
191,0000191.bin,168694.2508776607
192,0000192.bin,52211.61695685275
193,0000193.bin,354622.8669126013
194,0000194.bin,69637.12798423159
195,0000195.bin,108598.16522400828
196,0000196.bin,95300.50917517357
197,0000197.bin,208323.05123654124
198,0000198.bin,296207.4992507526
199,0000199.bin,67226.64052649327
200,0000200.bin,362447.5116323924
201,0000201.bin,401493.76424398576
202,0000202.bin,266616.10361649236
203,0000203.bin,366802.08808574197
204,0000204.bin,142871.69703189423
205,0000205.bin,27818.984516239612
206,0000206.bin,164375.94293185766
207,0000207.bin,114353.01090908177
208,0000208.bin,102026.91439416462
209,0000209.bin,309527.67155384505
210,0000210.bin,43216.36891378018
211,0000211.bin,584352.1662461136
212,0000212.bin,138064.1972393177
213,0000213.bin,122305.54802319691
214,0000214.bin,42044.76102194307
215,0000215.bin,43222.604187286495
216,0000216.bin,252477.62094685622
217,0000217.bin,564290.9011965394
218,0000218.bin,243961.90008040518
219,0000219.bin,98871.554234967
220,0000220.bin,103501.41801739471
221,0000221.bin,120315.04087669389
222,0000222.bin,125888.85578755791
223,0000223.bin,56031.48406845648
224,0000224.bin,115375.87288781452
225,0000225.bin,158622.51750836172
226,0000226.bin,931692.337539861
227,0000227.bin,100965.1165964094
228,0000228.bin,70452.73639960894
229,0000229.bin,41553.802514137285
230,0000230.bin,255179.57279845886
231,0000231.bin,86214.29541590852
232,0000232.bin,43912.952885660976
233,0000233.bin,108082.71594726948
234,0000234.bin,217636.92175187403
235,0000235.bin,203889.217528878
236,0000236.bin,81911.50636943294
237,0000237.bin,136073.06656713667
238,0000238.bin,243212.7319689358
239,0000239.bin,422576.0553297906
240,0000240.bin,229585.92277109483
241,0000241.bin,126552.18496768367
242,0000242.bin,121109.72648540793
243,0000243.bin,210768.69870673353
244,0000244.bin,157286.7833622361
245,0000245.bin,35692.85326064881
246,0000246.bin,171610.83469942398
247,0000247.bin,79943.51548837886
248,0000248.bin,77431.11594917781
249,0000249.bin,112435.45646263332
250,0000250.bin,402848.89701878955
251,0000251.bin,84530.45980482006
252,0000252.bin,58310.476535015616
253,0000253.bin,87790.67648019297
254,0000254.bin,71161.13275104096
255,0000255.bin,521564.4169610215
256,0000256.bin,120164.28581941115
257,0000257.bin,295568.5569186653
258,0000258.bin,120723.86697642987
259,0000259.bin,167378.01928143832
260,0000260.bin,97172.02651888104
261,0000261.bin,63202.08324113026
262,0000262.bin,110398.49652848871
263,0000263.bin,139322.82183644758
264,0000264.bin,188816.93337124633
265,0000265.bin,162679.9485388517
266,0000266.bin,1972085.4858842855
267,0000267.bin,1891471.955120496
268,0000268.bin,677218.3899473299
269,0000269.bin,43261.81712955956
270,0000270.bin,574749.9489716431
271,0000271.bin,348366.0817153151
272,0000272.bin,52997.50390150736
273,0000273.bin,351687.7504723687
274,0000274.bin,35172.69288858843
275,0000275.bin,27533.270427956773
276,0000276.bin,192379.14512390923
277,0000277.bin,79859.13145355791
278,0000278.bin,76952.69726900042
279,0000279.bin,159106.44401306543
280,0000280.bin,238443.8908720822
281,0000281.bin,117709.11223485878
282,0000282.bin,560182.2716425024
283,0000283.bin,216267.24000556162
284,0000284.bin,61848.54392454215
285,0000285.bin,51064.60375495723
286,0000286.bin,269155.5226720986
287,0000287.bin,49601.73930955835
288,0000288.bin,150400.27018148475
289,0000289.bin,139111.93103038915
290,0000290.bin,386793.51807207474
291,0000291.bin,495237.11772513064
292,0000292.bin,41767.25671050356
293,0000293.bin,225674.95138712507
294,0000294.bin,209324.99040776887
295,0000295.bin,461479.48553774087
296,0000296.bin,127908.56479832779
297,0000297.bin,135195.79822557466
298,0000298.bin,57787.96061518619
299,0000299.bin,79035.1054189435
300,0000300.bin,91787.24431656297
301,0000301.bin,177825.42787933513
302,0000302.bin,93539.04440889884
303,0000303.bin,74123.40727391183
304,0000304.bin,164320.9339633917
305,0000305.bin,192954.38374503376
306,0000306.bin,264627.0860092209
307,0000307.bin,231171.37962104357
308,0000308.bin,141217.99857748835
309,0000309.bin,112185.07559084111
310,0000310.bin,151433.1432373724
311,0000311.bin,214801.119362392
312,0000312.bin,41443.68065593404
313,0000313.bin,238008.28773703217
314,0000314.bin,68886.43569416394
315,0000315.bin,200888.21503195632
316,0000316.bin,57650.8885192723
317,0000317.bin,110047.72775320262
318,0000318.bin,193750.42032900592
319,0000319.bin,122542.24593367784
320,0000320.bin,228339.00663198857
321,0000321.bin,155608.35165626556
322,0000322.bin,99986.1093746895
323,0000323.bin,498133.78331209044
324,0000324.bin,165584.89318340807
325,0000325.bin,148811.972818051
326,0000326.bin,168273.09279289423
327,0000327.bin,146680.47921122005
328,0000328.bin,144406.82136850478
329,0000329.bin,226517.54467992485
330,0000330.bin,78205.3290765375
331,0000331.bin,81479.92152138935
332,0000332.bin,117882.1064343234
333,0000333.bin,47507.41486001132
334,0000334.bin,161328.07196243317
335,0000335.bin,121297.54677966046
336,0000336.bin,288079.82023868174
337,0000337.bin,201643.72233815445
338,0000338.bin,427446.84314842965
339,0000339.bin,95553.4880775945
340,0000340.bin,81730.4063144067
341,0000341.bin,173894.88466464542
342,0000342.bin,93418.28794527576
343,0000343.bin,23421.696436618873
344,0000344.bin,130520.52087122154
345,0000345.bin,200125.53716122895
346,0000346.bin,139480.05464996584
347,0000347.bin,79332.73580777009
348,0000348.bin,34326.115948472325
349,0000349.bin,208447.5488641651
350,0000350.bin,281137.91704497254
351,0000351.bin,251803.7610831482
352,0000352.bin,62506.60776231725
353,0000353.bin,49666.13582871526
354,0000354.bin,139403.29150505364
355,0000355.bin,97619.13026988022
356,0000356.bin,126070.61401034343
357,0000357.bin,125912.13414199128
358,0000358.bin,434941.2262149749
359,0000359.bin,106452.60760958302
360,0000360.bin,133500.73912359425
361,0000361.bin,122493.85328316681
362,0000362.bin,225683.12652349658
363,0000363.bin,238963.947322699
364,0000364.bin,50631.77185239367
365,0000365.bin,58285.88184507403
366,0000366.bin,18578155.370485246
367,0000367.bin,22555.928710084805
368,0000368.bin,341199.4661926143
369,0000369.bin,149739.81615580968
370,0000370.bin,466095.35459130374
371,0000371.bin,94308.4425194933
372,0000372.bin,38564.43919316671
373,0000373.bin,60433.13683860802
374,0000374.bin,49359.91461873832
375,0000375.bin,19728.78642090978
376,0000376.bin,121351.27405306247
377,0000377.bin,167753.86771207792
378,0000378.bin,63605.92112188944
379,0000379.bin,81405.23680091563
380,0000380.bin,181779.04160598852
381,0000381.bin,95084.21446523022
382,0000382.bin,614362.3990577806
383,0000383.bin,199671.36676730122
384,0000384.bin,104196.30460955737
385,0000385.bin,413890.3193391387
386,0000386.bin,180471.3315502212
387,0000387.bin,198110.5392476921
388,0000388.bin,105366.35368350941
389,0000389.bin,224499.8448145364
390,0000390.bin,55871.23753934411
391,0000391.bin,103339.1969849372
392,0000392.bin,63232.947844986535
393,0000393.bin,60583.85725541907
394,0000394.bin,44998.23687984395
395,0000395.bin,1307844.670224586
396,0000396.bin,44421.68192295977
397,0000397.bin,49129.244139412935
398,0000398.bin,166722.20707048266
399,0000399.bin,46545.90104492875
400,0000400.bin,88837.64818316027
401,0000401.bin,52351.979891561634
402,0000402.bin,112976.29715871684
403,0000403.bin,457876.95234975405
404,0000404.bin,152338.15854602586
405,0000405.bin,68185.76415380133
406,0000406.bin,259500.16701121326
407,0000407.bin,80805.33420853912
408,0000408.bin,339236.8445765085
409,0000409.bin,216509.13397709676
410,0000410.bin,314658.85132208024
411,0000411.bin,162253.49047160707
412,0000412.bin,15430336.471285665
413,0000413.bin,73877.46037439264
414,0000414.bin,128858.12767292214
415,0000415.bin,369005.66838235734
416,0000416.bin,59436.947974748655
417,0000417.bin,502759.2823991757
418,0000418.bin,44265.21119835956
419,0000419.bin,90528.03083143312
420,0000420.bin,162859.62833698327
421,0000421.bin,189781.2184185933
422,0000422.bin,140619.06591704977
423,0000423.bin,87402.73854671193
424,0000424.bin,66918.86049801046
425,0000425.bin,268635.95118719875
426,0000426.bin,181408.389236602
427,0000427.bin,181830.89829729428
428,0000428.bin,374448.75038741087
429,0000429.bin,184978.60292359465
430,0000430.bin,77184.16447781552
431,0000431.bin,189720.90946764918
432,0000432.bin,75987.71941267564
433,0000433.bin,49677.9482079689
434,0000434.bin,80871.87843304283
435,0000435.bin,164519.63134570955
436,0000436.bin,36085.60621073009
437,0000437.bin,205189.02957154065
438,0000438.bin,138177.679217085
439,0000439.bin,192771.6902313754
440,0000440.bin,466095.35459130374
441,0000441.bin,40084.044627473086
442,0000442.bin,499587.67589111114
443,0000443.bin,137638.74374391534
444,0000444.bin,58081.33023365844
445,0000445.bin,81261.96407184361
446,0000446.bin,34458.684791298314
447,0000447.bin,162413.56379861035
448,0000448.bin,137340.94015329704
449,0000449.bin,46981.053854852995
450,0000450.bin,247503.3622284641
451,0000451.bin,255078.2149636154
452,0000452.bin,369447.54143131943
453,0000453.bin,512347.6435103046
454,0000454.bin,127589.04167140315
455,0000455.bin,157050.32793481252
456,0000456.bin,88838.47955296146
457,0000457.bin,380329.2714691572
458,0000458.bin,227925.78120073513
459,0000459.bin,335145.9509115487
460,0000460.bin,99146.11411181053
461,0000461.bin,492951.4050203082
462,0000462.bin,240772.10735795484
463,0000463.bin,304296.5888479173
464,0000464.bin,289145.8095249557
465,0000465.bin,324548.58398588793
466,0000466.bin,419059.46499492973
467,0000467.bin,98357.35201292999
468,0000468.bin,277256.3553676952
469,0000469.bin,282656.6564684317
470,0000470.bin,80942.05990042676
471,0000471.bin,2246532.7117257477
472,0000472.bin,36866.92062148007
473,0000473.bin,117939.05526570503
474,0000474.bin,778115.7844829431
475,0000475.bin,2541810.5642650793
476,0000476.bin,75879.36421525366
477,0000477.bin,406148.36127408827
478,0000478.bin,124741.9465064057
479,0000479.bin,665756.0866654811
480,0000480.bin,271217.6315409967
481,0000481.bin,36232.72402507082
482,0000482.bin,116991.2590519382
483,0000483.bin,210110.0806227012
484,0000484.bin,2051576.6674098657
485,0000485.bin,130930.97507015151
486,0000486.bin,179840.14866960514
487,0000487.bin,446031.1104666111
488,0000488.bin,106632.52989072424
489,0000489.bin,74319.54126617628
490,0000490.bin,62842.827565941254
491,0000491.bin,62487.86730138993
492,0000492.bin,35451.75601840452
493,0000493.bin,161440.75721080834
494,0000494.bin,132131.95802789903
495,0000495.bin,265975.2214215372
496,0000496.bin,286847.3837902674
497,0000497.bin,106073.36441860611
498,0000498.bin,101021.3033388066
499,0000499.bin,96422.06167738944
500,0000500.bin,168690.89075805037
501,0000501.bin,134629.18506613025
502,0000502.bin,236369.58857944352
503,0000503.bin,146500.55693023
504,0000504.bin,62974.98072386682
505,0000505.bin,603610.4319896365
506,0000506.bin,112935.59467886684
507,0000507.bin,100373.28521918612
508,0000508.bin,158404.83718226594
509,0000509.bin,40269.54401428604
510,0000510.bin,354829.7047908823
511,0000511.bin,159053.30562665057
512,0000512.bin,261572.42551975907
513,0000513.bin,119871.78221102523
514,0000514.bin,175178.34643456503
515,0000515.bin,696329.2953937154
516,0000516.bin,297399.8567467015
517,0000517.bin,196357.00713641034
518,0000518.bin,98767.97941390188
519,0000519.bin,214407.88144675875
520,0000520.bin,54853.50234147958
521,0000521.bin,70832.60311793674
522,0000522.bin,148282.598097587
523,0000523.bin,53115.76625567719
524,0000524.bin,120053.54043381075
525,0000525.bin,138185.88899386488
526,0000526.bin,37652.634364092846
527,0000527.bin,101159.17216417087
528,0000528.bin,81893.2855146235
529,0000529.bin,92066.72313139688
530,0000530.bin,93344.60779664516
531,0000531.bin,110126.22291859846
532,0000532.bin,206283.90895838174
533,0000533.bin,180154.30253296648
534,0000534.bin,80094.20126484484
535,0000535.bin,424790.96303993766
536,0000536.bin,140516.49566791393
537,0000537.bin,49585.07727313313
538,0000538.bin,170057.4202272026
539,0000539.bin,176859.9996985125
540,0000540.bin,115655.76738754903
541,0000541.bin,343790.53409707616
542,0000542.bin,591911.9157632226
543,0000543.bin,63496.907756753986
544,0000544.bin,217161.51678762538
545,0000545.bin,310034.0796835704
546,0000546.bin,217066.0478222021
547,0000547.bin,158229.45279477024
548,0000548.bin,255792.361622239
549,0000549.bin,156188.33601333457
550,0000550.bin,164250.4753727999
551,0000551.bin,58539.65747678116
552,0000552.bin,565828.381080918
553,0000553.bin,127085.40477392294
554,0000554.bin,351023.79776544985
555,0000555.bin,407855.9602038928
556,0000556.bin,61400.36632107138
557,0000557.bin,61010.973490601835
558,0000558.bin,238279.0371687261
559,0000559.bin,450598.4483080702
560,0000560.bin,90798.36457845393
561,0000561.bin,194721.32169434847
562,0000562.bin,110930.81568411003
563,0000563.bin,102171.98842447255
564,0000564.bin,283780.3566750232
565,0000565.bin,74282.57995043164
566,0000566.bin,194743.56083651166
567,0000567.bin,75093.58119149406
568,0000568.bin,130078.0242945373
569,0000569.bin,390369.9670325711
570,0000570.bin,307927.8042940211
571,0000571.bin,145842.49309273134
572,0000572.bin,320750.50569274346
573,0000573.bin,84543.58851959721
574,0000574.bin,266262.63288964937
575,0000575.bin,267822.59439904965
576,0000576.bin,46074.30652540092
577,0000577.bin,195413.22921080887
578,0000578.bin,124426.1991839948
579,0000579.bin,128562.85283186559
580,0000580.bin,76364.71097710765
581,0000581.bin,284026.2689339274
582,0000582.bin,35016.60320848028
583,0000583.bin,326020.524217661
584,0000584.bin,228718.90799040557
585,0000585.bin,360681.7860973701
586,0000586.bin,66047.30782309458
587,0000587.bin,189247.75612994353
588,0000588.bin,194986.04369498882
589,0000589.bin,30229.056288571115
590,0000590.bin,732442.579270394
591,0000591.bin,50195.71839185185
592,0000592.bin,126436.76312695157
593,0000593.bin,81263.17648613702
594,0000594.bin,46334.04030734742
595,0000595.bin,89046.35664366775
596,0000596.bin,113830.14858494901
597,0000597.bin,37974.339836610474
598,0000598.bin,128560.08159919495
599,0000599.bin,221657.91107277572
600,0000600.bin,96815.47279539499
601,0000601.bin,96661.63474176616
602,0000602.bin,767430.3962796552
603,0000603.bin,98442.32493469345
604,0000604.bin,105056.3220284817
605,0000605.bin,96032.911329615
606,0000606.bin,346040.948225786
607,0000607.bin,131513.28033469873
608,0000608.bin,322371.3996804382
609,0000609.bin,146573.50963022327
610,0000610.bin,118072.83652288011
611,0000611.bin,373460.39025625796
612,0000612.bin,277603.0712149092
613,0000613.bin,76039.64538484173
614,0000614.bin,111840.40352743042
615,0000615.bin,76815.97157711278
616,0000616.bin,167186.49246364972
617,0000617.bin,174006.2189370948
618,0000618.bin,277270.66185634537
619,0000619.bin,511315.91358789266
620,0000620.bin,143054.4598263693
621,0000621.bin,51043.7848695278
622,0000622.bin,71617.58941230354
623,0000623.bin,457391.22454381594
624,0000624.bin,107422.8854483904
625,0000625.bin,200579.04938739794
626,0000626.bin,111911.03532012332
627,0000627.bin,130105.25165552633
628,0000628.bin,33010.05755373886
629,0000629.bin,167719.53906739922
630,0000630.bin,118591.7844808656
631,0000631.bin,587589.0352835169
632,0000632.bin,667496.0050962798
633,0000633.bin,525882.7941876412
634,0000634.bin,240379.56225048867
635,0000635.bin,99182.97150633002
636,0000636.bin,197519.67780239997
637,0000637.bin,91859.12316395766
638,0000638.bin,146934.63588731247
639,0000639.bin,467663.8376411591
640,0000640.bin,42257.07208483319
641,0000641.bin,639334.6694400928
642,0000642.bin,151909.96845836355
643,0000643.bin,37265.00819445009
644,0000644.bin,204815.3981270357
645,0000645.bin,71520.9773133234
646,0000646.bin,123738.5177967758
647,0000647.bin,80381.40489074816
648,0000648.bin,68342.30415928403
649,0000649.bin,57621.894497467925
650,0000650.bin,122907.84080375185
651,0000651.bin,213479.10281797452
652,0000652.bin,167687.98165538884
653,0000653.bin,142050.68471349892
654,0000654.bin,131816.79959269543
655,0000655.bin,49123.45919121541
656,0000656.bin,44223.815910359284
657,0000657.bin,355509.03783911024
658,0000658.bin,293401.17584877973
659,0000659.bin,47647.39675022815
660,0000660.bin,232433.6414610506
661,0000661.bin,379254.27567671123
662,0000662.bin,35380.743181249236
663,0000663.bin,75150.32218042538
664,0000664.bin,86352.3720837231
665,0000665.bin,182546.95017837733
666,0000666.bin,79815.65774103727
667,0000667.bin,99052.86213244354
668,0000668.bin,96829.95248609908
669,0000669.bin,33402.32553810298
670,0000670.bin,131382.82455683802
671,0000671.bin,92902.11121996092
672,0000672.bin,108778.78031331715
673,0000673.bin,311773.201384977
674,0000674.bin,307273.41233980795
675,0000675.bin,189351.78127623023
676,0000676.bin,469080.2146579325
677,0000677.bin,109449.79966410394
678,0000678.bin,326715.54937087325
679,0000679.bin,131541.68546954892
680,0000680.bin,113305.58888080549
681,0000681.bin,24420.829735399417
682,0000682.bin,213575.05674911477
683,0000683.bin,176730.2020884105
684,0000684.bin,216410.16633042973
685,0000685.bin,65805.76025544004
686,0000686.bin,373633.2805343522
687,0000687.bin,76740.52476765464
688,0000688.bin,275605.63598840777
689,0000689.bin,262596.56919274153
690,0000690.bin,197195.4089397993
691,0000691.bin,575733.0784011346
692,0000692.bin,236589.86693616584
693,0000693.bin,39336.019649165166
694,0000694.bin,59035.604203392
