,runstring,t
0,0000000.bin,2726202.5488280593
1,0000001.bin,143419.3689914976
2,0000002.bin,558097.095758435
3,0000003.bin,460342.7800730706
4,0000004.bin,301942.6662376939
5,0000005.bin,209232.1846821296
6,0000006.bin,433701.35371596523
7,0000007.bin,1248077.1363817058
8,0000008.bin,414031.6026525895
9,0000009.bin,460438.4931675854
10,0000010.bin,958953.0272215368
11,0000011.bin,210823.66169559275
12,0000012.bin,1150694.622594071
13,0000013.bin,490202.1132303073
14,0000014.bin,316927.46397444484
15,0000015.bin,461431.3736290342
16,0000016.bin,1288867.9233780545
17,0000017.bin,234586.5245293916
18,0000018.bin,589039.6877569935
19,0000019.bin,859897.9418296829
20,0000020.bin,218260.25390625437
21,0000021.bin,509540.69629384176
22,0000022.bin,179913.2165489017
23,0000023.bin,391851.4872992036
24,0000024.bin,509374.9390889003
25,0000025.bin,372379.32852359925
26,0000026.bin,440948.0785827848
27,0000027.bin,703381.9868519806
28,0000028.bin,413290.0426763759
29,0000029.bin,677511.114991577
30,0000030.bin,598212.4178145217
31,0000031.bin,494254.9375128836
32,0000032.bin,365154.8778224594
33,0000033.bin,564081.2599463618
34,0000034.bin,446265.2995174748
35,0000035.bin,872113.8494623216
36,0000036.bin,1340153.7914840174
37,0000037.bin,4226834.463294485
38,0000038.bin,582399.3190271218
39,0000039.bin,312265.82404362474
40,0000040.bin,354856.4190525
41,0000041.bin,221929.6022726965
42,0000042.bin,730705.6677861648
43,0000043.bin,24109947.95739347
44,0000044.bin,537709.236678667
45,0000045.bin,793488.8158933116
46,0000046.bin,214246.60859939147
47,0000047.bin,1142106.7366099027
48,0000048.bin,168185.19281895802
49,0000049.bin,1010484.5000470473
50,0000050.bin,1188002.672313428
51,0000051.bin,229284.23386749782
52,0000052.bin,353582.0457911861
53,0000053.bin,406203.1860437893
54,0000054.bin,263155.89597343904
55,0000055.bin,1946420.2082310938
56,0000056.bin,425289.8250840136
57,0000057.bin,384115.63145353895
58,0000058.bin,445971.1973920927
59,0000059.bin,702617.9795050664
60,0000060.bin,519122.0516365298
61,0000061.bin,359022.69262372487
62,0000062.bin,2308005.5731657376
63,0000063.bin,237361.89250128315
64,0000064.bin,428011.1530894038
65,0000065.bin,1422893.760656076
66,0000066.bin,929660.2823284637
67,0000067.bin,348956.4325047002
68,0000068.bin,200579.8317892055
69,0000069.bin,627614.0047426891
70,0000070.bin,210350.9159117189
71,0000071.bin,1096657.9123471673
72,0000072.bin,542645.4412085187
73,0000073.bin,271964.5144361627
74,0000074.bin,391983.67737110675
75,0000075.bin,403481.6501923741
76,0000076.bin,352095.2885333213
77,0000077.bin,2813856.7254923233
78,0000078.bin,315236.982971071
79,0000079.bin,195268.25733819482
80,0000080.bin,883488.361744736
81,0000081.bin,1168124.1052769306
82,0000082.bin,278524.13498532
83,0000083.bin,515652.4086591133
84,0000084.bin,576818.9996657796
85,0000085.bin,2386969.291832493
86,0000086.bin,534060.395786692
87,0000087.bin,273514.8379366749
88,0000088.bin,1138218.9074301762
89,0000089.bin,569204.3526936971
90,0000090.bin,513098.2581398354
91,0000091.bin,443337.92681929626
92,0000092.bin,890475.5562083327
93,0000093.bin,453809.79845611815
94,0000094.bin,247566.26630392362
95,0000095.bin,284000.25420612626
96,0000096.bin,921811.0464761589
97,0000097.bin,1506705.522497077
98,0000098.bin,288342.9544115762
99,0000099.bin,574414.9139765553
100,0000100.bin,601118.5555771455
101,0000101.bin,458715.3110562774
102,0000102.bin,465579.3221090545
103,0000103.bin,348396.7724413701
104,0000104.bin,1726237.6209759568
105,0000105.bin,6561330.6425089305
106,0000106.bin,1646831.9523780323
107,0000107.bin,1057940.562655264
108,0000108.bin,1122649.9584401487
109,0000109.bin,218219.5160853534
110,0000110.bin,155087.18665619817
111,0000111.bin,337326.99707261723
112,0000112.bin,89053.18818925908
113,0000113.bin,225066.93409713422
114,0000114.bin,351590.39589758
115,0000115.bin,405124.81158405513
116,0000116.bin,886572.4849867724
117,0000117.bin,176406.26520999678
118,0000118.bin,196802.12636172742
119,0000119.bin,1178042.240462135
120,0000120.bin,201936.44279441301
121,0000121.bin,455957.05574044463
122,0000122.bin,552238.643774632
123,0000123.bin,709476.2747921558
124,0000124.bin,655249.7318424141
125,0000125.bin,1667936.2220649882
126,0000126.bin,321272.97010123235
127,0000127.bin,589093.1734674281
128,0000128.bin,159515.51942395017
129,0000129.bin,886084.7050070899
130,0000130.bin,637503.491817447
131,0000131.bin,691624.1025764445
132,0000132.bin,226968.03240584646
133,0000133.bin,858248.5796982559
134,0000134.bin,542403.6469994296
135,0000135.bin,161926.91436505382
136,0000136.bin,617846.8696946508
137,0000137.bin,907463.0889600232
138,0000138.bin,845799.6420305824
139,0000139.bin,4398648.26214439
140,0000140.bin,354157.4328704082
141,0000141.bin,386825.0429534956
142,0000142.bin,287276.70430330065
143,0000143.bin,1225759.8772928207
144,0000144.bin,278523.3382422241
145,0000145.bin,1507102.9933788949
146,0000146.bin,629402.6237108695
147,0000147.bin,1628219.6179668694
148,0000148.bin,499380.108720469
149,0000149.bin,321683.81241065887
150,0000150.bin,328715.4166415983
151,0000151.bin,427865.2451798503
152,0000152.bin,3737884.657775801
153,0000153.bin,199736.53118375194
154,0000154.bin,790591.6847917713
155,0000155.bin,601601.0701241946
156,0000156.bin,673449.7690219755
157,0000157.bin,1138248.664052756
158,0000158.bin,627614.0047426891
159,0000159.bin,1211424.0441281437
160,0000160.bin,481300.4490303897
161,0000161.bin,172072.57166563038
162,0000162.bin,314346.74380497047
163,0000163.bin,169225.98178917047
164,0000164.bin,484158.1586691874
165,0000165.bin,444621.8609977604
166,0000166.bin,480990.6198891156
167,0000167.bin,974698.8878198477
168,0000168.bin,1412595.3018861166
169,0000169.bin,661099.4196521627
170,0000170.bin,534332.6394384444
171,0000171.bin,461264.9236040094
172,0000172.bin,371537.13643027906
173,0000173.bin,402286.08521554124
174,0000174.bin,459809.86286495783
175,0000175.bin,297235.92371944775
176,0000176.bin,184750.31316583016
177,0000177.bin,590120.5217280235
178,0000178.bin,465124.17395529774
179,0000179.bin,355387.98526145023
180,0000180.bin,567358.4375046237
181,0000181.bin,847294.7824114558
182,0000182.bin,232460.74466764898
183,0000183.bin,1042775.9088248756
184,0000184.bin,364447.02354330075
185,0000185.bin,2689695.780176101
186,0000186.bin,1365604.22547684
187,0000187.bin,1549968.2569098142
188,0000188.bin,848474.516449384
189,0000189.bin,412480.93274203566
190,0000190.bin,4527366.020252247
191,0000191.bin,796155.6535991464
192,0000192.bin,464853.03881567874
193,0000193.bin,659429.861815306
194,0000194.bin,542121.011046427
195,0000195.bin,551257.922305646
196,0000196.bin,685349.2657225482
197,0000197.bin,511956.144232433
198,0000198.bin,489094.39784004324
199,0000199.bin,193140.0179651563
200,0000200.bin,206737.40884399478
201,0000201.bin,422451.86081759137
202,0000202.bin,493020.7824574082
203,0000203.bin,746069.2995444915
204,0000204.bin,253129.64621422783
205,0000205.bin,738664.4731346514
206,0000206.bin,1657909.556613727
207,0000207.bin,197845.3402022316
208,0000208.bin,1228804.3019440812
209,0000209.bin,308703.066047006
210,0000210.bin,454287.49790358794
211,0000211.bin,894361.2030047966
212,0000212.bin,767375.4223627314
213,0000213.bin,429402.231893758
214,0000214.bin,938422.689691628
215,0000215.bin,313778.04243955266
216,0000216.bin,268951.19740664464
217,0000217.bin,349815.52940805414
218,0000218.bin,657800.2104152503
219,0000219.bin,2393396.8262327597
220,0000220.bin,617282.9834288122
221,0000221.bin,489427.4018131054
222,0000222.bin,788081.9786808403
223,0000223.bin,464279.41842766915
224,0000224.bin,531491.2110716054
225,0000225.bin,1250331.261163889
226,0000226.bin,367778.96852915146
227,0000227.bin,845043.8099606518
228,0000228.bin,157489.92134625994
229,0000229.bin,529161.4649773246
230,0000230.bin,3820032.6468276414
231,0000231.bin,460684.96391223714
232,0000232.bin,298217.5804955463
233,0000233.bin,2837001.592811774
234,0000234.bin,371975.51833801874
235,0000235.bin,213380.02923913737
236,0000236.bin,177815.7383875639
237,0000237.bin,334491.3883944784
238,0000238.bin,436784.33380486415
239,0000239.bin,3808563.2528348123
240,0000240.bin,5570522.467208286
241,0000241.bin,243425.41922975768
242,0000242.bin,414103.17096719955
243,0000243.bin,1757251.1231100461
244,0000244.bin,389861.5694558059
245,0000245.bin,209432.30576320522
246,0000246.bin,401966.4180290836
247,0000247.bin,136319.3487773274
248,0000248.bin,1163613.2922782558
249,0000249.bin,617788.1531925868
250,0000250.bin,859741.4337728542
251,0000251.bin,1515657.9704091041
252,0000252.bin,244209.8301281265
253,0000253.bin,923679.651522962
254,0000254.bin,773382.3456903963
255,0000255.bin,744774.9384237729
256,0000256.bin,400458.35655365576
257,0000257.bin,669677.2251041183
258,0000258.bin,503170.9777295307
259,0000259.bin,1282411.429098304
260,0000260.bin,1741236.9332934539
261,0000261.bin,172442.95328218926
262,0000262.bin,610840.0337816911
263,0000263.bin,808298.1915849583
264,0000264.bin,183530.53412708425
265,0000265.bin,806769.8304810884
266,0000266.bin,369258.52045814943
267,0000267.bin,350720.66420594667
268,0000268.bin,595190.9601490243
269,0000269.bin,415918.7752776264
270,0000270.bin,217020.66021312465
271,0000271.bin,231266.87710002036
272,0000272.bin,632540.336586353
273,0000273.bin,2231012.2694570334
274,0000274.bin,917685.926417885
275,0000275.bin,388135.75462818117
276,0000276.bin,977203.5709851744
277,0000277.bin,282052.9101568504
278,0000278.bin,345105.2535073829
279,0000279.bin,792610.3546686281
280,0000280.bin,457878.83472864487
281,0000281.bin,3256149.6718845186
282,0000282.bin,727817.8204737414
283,0000283.bin,405219.76257647824
284,0000284.bin,258751.98511362512
285,0000285.bin,192104.63299159397
286,0000286.bin,662620.6793501783
287,0000287.bin,1405756.8905354193
288,0000288.bin,698592.0366417241
289,0000289.bin,137777.70041177486
290,0000290.bin,369477.31304047134
291,0000291.bin,450913.0830466279
292,0000292.bin,158267.95829986193
293,0000293.bin,237917.29172110063
294,0000294.bin,184582.58142365114
295,0000295.bin,1212220.336890942
296,0000296.bin,280251.8550681739
297,0000297.bin,234256.18791365036
298,0000298.bin,1178485.9570845165
299,0000299.bin,1008664.1499190495
300,0000300.bin,772906.9325492015
301,0000301.bin,2339277.635754933
302,0000302.bin,378026.8514330263
303,0000303.bin,268871.48845605523
304,0000304.bin,479267.9920338743
305,0000305.bin,367491.4828355654
306,0000306.bin,212416.24722118926
307,0000307.bin,169626.0507463009
308,0000308.bin,309098.3891865655
309,0000309.bin,1238013.8900300437
310,0000310.bin,443420.4763322274
311,0000311.bin,478530.9353882025
312,0000312.bin,202803.0567956713
313,0000313.bin,277719.008766459
314,0000314.bin,687882.493075309
315,0000315.bin,439072.02572008566
316,0000316.bin,423779.44266130653
317,0000317.bin,315924.01800672495
318,0000318.bin,532562.1723564478
319,0000319.bin,592075.0364651621
320,0000320.bin,942408.3797081277
321,0000321.bin,388614.83971581765
322,0000322.bin,795754.4414888785
323,0000323.bin,577009.7330347259
324,0000324.bin,231055.35912857362
325,0000325.bin,355558.8346940043
326,0000326.bin,700100.9987832602
327,0000327.bin,403664.6239763868
328,0000328.bin,558823.4136928149
329,0000329.bin,1952196.1453429698
330,0000330.bin,573910.9912889308
331,0000331.bin,437107.91542479274
332,0000332.bin,301841.93019757484
333,0000333.bin,363430.48327600554
334,0000334.bin,1881438.2570254193
335,0000335.bin,879619.8276043307
336,0000336.bin,272856.0699604216
337,0000337.bin,417070.450102179
338,0000338.bin,185830.35039376438
339,0000339.bin,538339.183339453
340,0000340.bin,368976.126992176
341,0000341.bin,467013.66752761387
342,0000342.bin,326173.4943967915
343,0000343.bin,254975.90781334293
344,0000344.bin,437430.9081476505
345,0000345.bin,1049466.888061836
346,0000346.bin,143116.64125607786
347,0000347.bin,1729974.5539415297
348,0000348.bin,631695.0960846661
349,0000349.bin,662132.6222424625
350,0000350.bin,545410.5900841808
351,0000351.bin,161546.62542130303
352,0000352.bin,171743.51676704333
353,0000353.bin,329577.3887482981
354,0000354.bin,395023.63333282963
355,0000355.bin,1475534.507717038
356,0000356.bin,395253.5803184935
357,0000357.bin,637610.2900332954
358,0000358.bin,443103.9268361448
359,0000359.bin,1339976.6027477006
360,0000360.bin,2130388.189063421
361,0000361.bin,251083.88707211212
362,0000362.bin,558073.0549015427
363,0000363.bin,265622.9243672357
