,runstring,t
0,0000000.bin,43554.92718770089
1,0000001.bin,59770.48077089364
2,0000002.bin,16443.27229592725
3,0000003.bin,53271.422015703356
4,0000004.bin,22506.53410962326
5,0000005.bin,106264.17091552845
6,0000006.bin,233930.22888477493
7,0000007.bin,14960.017777895457
8,0000008.bin,9769.804700761426
9,0000009.bin,91218.28233245034
10,0000010.bin,21311.65170409627
11,0000011.bin,28291.88487709393
12,0000012.bin,121319.13499332122
13,0000013.bin,38246.317008307684
14,0000014.bin,56109.38463584708
15,0000015.bin,16697.490065869635
16,0000016.bin,15129.542476896324
17,0000017.bin,50833.23147381128
18,0000018.bin,42053.86807332981
19,0000019.bin,28593.48919960222
20,0000020.bin,12176.50812574738
21,0000021.bin,67487.87273258828
22,0000022.bin,50432.97444546038
23,0000023.bin,31262.72382505804
24,0000024.bin,89299.81973979036
25,0000025.bin,44832.28574914335
26,0000026.bin,81309.43551150693
27,0000027.bin,16902.797154362415
28,0000028.bin,79365.58231722158
29,0000029.bin,57035.396850377976
30,0000030.bin,12567.135430739774
31,0000031.bin,19974.471083700322
32,0000032.bin,27036.349069854296
33,0000033.bin,33588.78697645957
34,0000034.bin,18601.36951665902
35,0000035.bin,69609.70261330089
36,0000036.bin,42333.511084136975
37,0000037.bin,33685.77699631093
38,0000038.bin,125532.10434132205
39,0000039.bin,37703.31145431126
40,0000040.bin,59772.48984987628
41,0000041.bin,26277.887114457313
42,0000042.bin,114433.36317326642
43,0000043.bin,47940.815885379576
44,0000044.bin,60123.455164567
45,0000045.bin,87074.349095008
46,0000046.bin,31500.280095158174
47,0000047.bin,38839.13386535634
48,0000048.bin,57144.06031190431
49,0000049.bin,60717.79615049904
50,0000050.bin,38193.145693853454
51,0000051.bin,20912.745608080942
52,0000052.bin,75588.40991198861
53,0000053.bin,24019.647698207977
54,0000054.bin,37148.80565510389
55,0000055.bin,54574.44829311363
56,0000056.bin,54284.136380122814
57,0000057.bin,33117.935069374
58,0000058.bin,34299.031036113985
59,0000059.bin,49430.06300090447
60,0000060.bin,61272.64834263445
61,0000061.bin,130855.609416621
62,0000062.bin,39661.297480060675
63,0000063.bin,18960.4057866485
64,0000064.bin,17095.356983100624
65,0000065.bin,33809.473910914225
66,0000066.bin,108491.20032848699
67,0000067.bin,45655.69637838863
68,0000068.bin,17506.733224528034
69,0000069.bin,11721.624932596707
70,0000070.bin,175079.6984574411
71,0000071.bin,59218.572918646576
72,0000072.bin,56733.20365995537
73,0000073.bin,138212.71809386063
74,0000074.bin,50130.123108474494
75,0000075.bin,40480.031804777405
76,0000076.bin,39254.008675270554
77,0000077.bin,116083.30196810934
78,0000078.bin,37896.18303664426
79,0000079.bin,24672.702285580068
80,0000080.bin,117236.30546838524
81,0000081.bin,114853.39923780844
82,0000082.bin,77248.63657679434
83,0000083.bin,59037.16694223172
84,0000084.bin,32443.542677703626
85,0000085.bin,108409.93654756866
