,runstring,t
0,0000000.bin,38835.13195193186
1,0000001.bin,57370.478876348956
2,0000002.bin,37493.62552287589
3,0000003.bin,26854.411905587727
4,0000004.bin,44263.13037387233
5,0000005.bin,26412.60090016037
6,0000006.bin,25879.476282508887
7,0000007.bin,19473.389908691246
8,0000008.bin,33163.33034227006
9,0000009.bin,19336.21164450022
10,0000010.bin,51709.20812333213
11,0000011.bin,19153.06480541488
12,0000012.bin,32717.466342673422
13,0000013.bin,26564.328374189838
14,0000014.bin,33834.3953255803
15,0000015.bin,51698.26157497749
16,0000016.bin,34368.62845445757
17,0000017.bin,27120.835650510246
18,0000018.bin,21313.691748375135
19,0000019.bin,19363.266246604562
20,0000020.bin,17965.572154791564
21,0000021.bin,58112.107527375636
22,0000022.bin,27176.018724968908
23,0000023.bin,34882.66589444005
24,0000024.bin,26014.749293030593
25,0000025.bin,31630.952136524054
26,0000026.bin,24350.908584101522
27,0000027.bin,34991.23071261547
28,0000028.bin,28761.39762369781
29,0000029.bin,63243.3367095877
30,0000030.bin,28519.118638911943
31,0000031.bin,25060.77146031427
32,0000032.bin,22639.0901236814
33,0000033.bin,55040.734689504716
34,0000034.bin,57444.85305140404
35,0000035.bin,60634.871231409874
36,0000036.bin,19473.424549667052
37,0000037.bin,19502.765456174577
38,0000038.bin,50570.83637640146
39,0000039.bin,57123.55800080511
40,0000040.bin,33559.34597768213
41,0000041.bin,33892.86929274051
42,0000042.bin,32904.45833007321
43,0000043.bin,32553.649168087726
44,0000044.bin,55535.68495181819
45,0000045.bin,59823.371732182866
46,0000046.bin,18282.190673656707
47,0000047.bin,19313.244677540966
48,0000048.bin,69417.67495689505
49,0000049.bin,19423.333698651844
50,0000050.bin,20867.515979996246
51,0000051.bin,31494.36276892173
52,0000052.bin,32391.39083741329
53,0000053.bin,36653.51257763328
54,0000054.bin,35378.37825822125
55,0000055.bin,19400.470654620007
56,0000056.bin,18552.182439087224
57,0000057.bin,24225.681456563503
58,0000058.bin,48163.35783984897
59,0000059.bin,30032.236462109915
60,0000060.bin,29129.457991634587
61,0000061.bin,46556.22440831402
62,0000062.bin,64516.01151971751
63,0000063.bin,35459.88847429233
64,0000064.bin,26028.397837498083
65,0000065.bin,20155.124312549673
66,0000066.bin,19423.333698651844
67,0000067.bin,19423.333698651844
68,0000068.bin,22852.339970741992
69,0000069.bin,19314.734239500616
70,0000070.bin,31819.43368588349
71,0000071.bin,19473.389908691246
72,0000072.bin,19423.333698651844
73,0000073.bin,53398.12889874461
74,0000074.bin,24581.16715028277
75,0000075.bin,47146.264149214454
76,0000076.bin,32556.559010055415
77,0000077.bin,66804.42902295825
78,0000078.bin,37690.69803423517
79,0000079.bin,70484.72093508979
80,0000080.bin,29323.620661026176
81,0000081.bin,61223.28284644744
82,0000082.bin,69903.65320667897
83,0000083.bin,28543.159476121178
84,0000084.bin,19890.917590078727
85,0000085.bin,42336.95355516583
86,0000086.bin,20787.010352223533
87,0000087.bin,62424.80509227211
88,0000088.bin,19153.06480541488
89,0000089.bin,25796.996119115243
90,0000090.bin,33648.23472159985
91,0000091.bin,19400.470654620007
92,0000092.bin,20290.847655756854
93,0000093.bin,62770.14098008027
94,0000094.bin,48901.03741963379
95,0000095.bin,18578.267093869003
96,0000096.bin,23806.76813614379
97,0000097.bin,21166.50224217623
98,0000098.bin,39805.113915470465
99,0000099.bin,32900.43997687974
100,0000100.bin,62021.23772413437
101,0000101.bin,39444.70920318677
102,0000102.bin,63602.25185991174
103,0000103.bin,29210.656438923415
104,0000104.bin,70680.47708945068
105,0000105.bin,39494.66149029876
106,0000106.bin,41779.78810030511
107,0000107.bin,38842.06014709302
108,0000108.bin,24617.15912414501
109,0000109.bin,53073.404391540906
110,0000110.bin,40748.4223276386
111,0000111.bin,45568.47162418703
112,0000112.bin,44451.785128110794
113,0000113.bin,19000.0556152806
114,0000114.bin,32521.01736887865
115,0000115.bin,41042.52421222996
116,0000116.bin,62337.82160202371
117,0000117.bin,34745.66083512805
118,0000118.bin,41346.048442240506
119,0000119.bin,47887.546390483076
120,0000120.bin,50687.78431072189
121,0000121.bin,19503.458275690693
122,0000122.bin,36265.7761354388
123,0000123.bin,19913.849916062176
124,0000124.bin,73391.54913910419
125,0000125.bin,39855.82830405018
126,0000126.bin,47595.661528343284
127,0000127.bin,33716.4428029615
128,0000128.bin,26738.36463663825
129,0000129.bin,46514.72451929865
130,0000130.bin,60935.06992774306
131,0000131.bin,21968.61403695986
132,0000132.bin,34069.1225776405
133,0000133.bin,38202.587733717686
134,0000134.bin,19473.424549667052
135,0000135.bin,54485.820898071375
136,0000136.bin,61189.854304794826
137,0000137.bin,19423.333698651844
138,0000138.bin,29216.40684090718
139,0000139.bin,42965.09836945266
140,0000140.bin,65664.81020041984
141,0000141.bin,35846.204636478775
142,0000142.bin,59933.98036793083
143,0000143.bin,18385.247576679005
144,0000144.bin,37913.40486769075
145,0000145.bin,18675.53895393173
146,0000146.bin,64443.78508516239
147,0000147.bin,33585.29206856069
148,0000148.bin,34868.35917143225
149,0000149.bin,19423.333698651844
150,0000150.bin,51366.92064139488
151,0000151.bin,49396.36873268113
152,0000152.bin,32200.48441974745
153,0000153.bin,41282.828661394895
154,0000154.bin,63059.35848708302
155,0000155.bin,42198.008601208705
156,0000156.bin,19483.435791674932
157,0000157.bin,38116.193140057985
158,0000158.bin,25028.520711839057
159,0000159.bin,19153.06480541488
160,0000160.bin,37069.96638877078
161,0000161.bin,70797.73679260262
162,0000162.bin,36304.781874196146
163,0000163.bin,38880.92732194714
164,0000164.bin,19814.395674523683
165,0000165.bin,19183.09853143852
166,0000166.bin,21523.02716516967
167,0000167.bin,38725.978237167736
168,0000168.bin,47297.64521348586
169,0000169.bin,20772.287937506062
170,0000170.bin,24417.55782155191
171,0000171.bin,18342.188843752378
172,0000172.bin,19313.244677540966
173,0000173.bin,19473.389908691246
174,0000174.bin,69105.55976475355
175,0000175.bin,25895.93074601665
176,0000176.bin,19197.02420371246
177,0000177.bin,19663.29173805872
178,0000178.bin,17658.79167305527
179,0000179.bin,25006.281205371724
180,0000180.bin,69410.85068465844
181,0000181.bin,28821.257229890256
182,0000182.bin,29936.800573764896
183,0000183.bin,32913.118574024666
184,0000184.bin,56586.6921577666
185,0000185.bin,39148.70206492609
186,0000186.bin,26152.620376737734
187,0000187.bin,19313.244677540966
188,0000188.bin,18588.416899780106
