,runstring,t
0,0000000.bin,994618.1270400995
1,0000001.bin,900161.6711164688
2,0000002.bin,6890409.933689999
3,0000003.bin,1722700.4927724332
4,0000004.bin,1371379.1484773338
5,0000005.bin,806099.7668185673
6,0000006.bin,3566621.351047936
7,0000007.bin,1343275.2602358789
8,0000008.bin,1302010.563775006
9,0000009.bin,805296.1146924115
10,0000010.bin,877753.8060687521
11,0000011.bin,4303982.400604445
12,0000012.bin,887426.2097293491
13,0000013.bin,3098267.056609082
14,0000014.bin,1152420.626576516
15,0000015.bin,1056542.8488710255
16,0000016.bin,895462.5924301957
17,0000017.bin,1184489.3949613303
18,0000018.bin,888443.4878323154
19,0000019.bin,1192356.4565257162
20,0000020.bin,1058371.4692319215
21,0000021.bin,1004044.7932790177
22,0000022.bin,1029574.0501127591
23,0000023.bin,1198894.7208587856
24,0000024.bin,1032457.0828349873
25,0000025.bin,800790.8478012177
26,0000026.bin,1278177.9480520666
27,0000027.bin,810910.0751159218
28,0000028.bin,800193.4779341678
29,0000029.bin,1585408.9272795946
30,0000030.bin,1465163.0659783364
31,0000031.bin,8686229.302116828
32,0000032.bin,804043.5605014776
33,0000033.bin,4365629.135368916
34,0000034.bin,811035.9921624121
35,0000035.bin,1593632.4016362906
36,0000036.bin,806747.2956631462
37,0000037.bin,1685326.130791682
38,0000038.bin,1140956.9446019859
39,0000039.bin,1229993.3217759908
40,0000040.bin,1455742.4617072225
41,0000041.bin,2417796.506805348
42,0000042.bin,1067539.6851655126
43,0000043.bin,3224806.276184353
44,0000044.bin,10976949.326896759
45,0000045.bin,2771999.9139170675
46,0000046.bin,795376.5533628437
47,0000047.bin,1078396.8522619635
48,0000048.bin,4922748.262625772
49,0000049.bin,4359825.34673177
50,0000050.bin,1645794.1706787676
51,0000051.bin,819762.4072060614
52,0000052.bin,893145.7534149509
53,0000053.bin,1491366.6979706169
54,0000054.bin,913484.1795976387
55,0000055.bin,2999589.3479492096
56,0000056.bin,11330869.758393707
57,0000057.bin,2749955.4241868434
58,0000058.bin,1050477.1458473832
59,0000059.bin,804366.857281366
60,0000060.bin,2529782.660123634
61,0000061.bin,2261091.9966309993
62,0000062.bin,1119940.2635957033
63,0000063.bin,1195391.9060508937
64,0000064.bin,1431951.0331560255
65,0000065.bin,982477.5760674021
66,0000066.bin,2973810.0581384627
67,0000067.bin,893752.2336487757
68,0000068.bin,1666642.846821341
69,0000069.bin,812851.4146032558
70,0000070.bin,3132134.689441818
71,0000071.bin,809981.7529896783
72,0000072.bin,1108754.7768913687
73,0000073.bin,1048257.7842798344
74,0000074.bin,813626.0036201942
75,0000075.bin,925250.8244906064
76,0000076.bin,983928.9648792039
77,0000077.bin,809060.1164177601
78,0000078.bin,805254.4425584561
79,0000079.bin,955944.7586411237
80,0000080.bin,1385209.0317364514
81,0000081.bin,3327584.3427240727
82,0000082.bin,1460369.3156537742
83,0000083.bin,4946100.003396544
84,0000084.bin,808573.6990403688
85,0000085.bin,1087031.88657448
86,0000086.bin,2926402.688178244
87,0000087.bin,1056444.8171670467
88,0000088.bin,3469311.756221506
89,0000089.bin,815027.5105758897
90,0000090.bin,2763878.2124035833
91,0000091.bin,6680333.984814289
92,0000092.bin,2471190.1498608617
93,0000093.bin,811913.6357084588
94,0000094.bin,880981.1967990025
95,0000095.bin,4229585.79405317
96,0000096.bin,1137223.5301285863
97,0000097.bin,813258.6791742564
98,0000098.bin,1950527.5930664123
99,0000099.bin,3609905.5698911278
100,0000100.bin,809165.630399496
101,0000101.bin,1544265.090400058
102,0000102.bin,814876.4101201013
103,0000103.bin,2800148.69582932
104,0000104.bin,1099801.7457440377
105,0000105.bin,812428.4926718663
106,0000106.bin,1276358.957660678
107,0000107.bin,1108154.9475676597
108,0000108.bin,816210.5419298756
109,0000109.bin,1500867.3556932837
110,0000110.bin,1889832.5971948088
111,0000111.bin,1132545.062316689
112,0000112.bin,1291154.228042829
113,0000113.bin,1759411.668543759
114,0000114.bin,906311.168689564
115,0000115.bin,824689.7300241984
116,0000116.bin,3400915.45203765
117,0000117.bin,12908411.38833961
118,0000118.bin,1467807.6010938317
119,0000119.bin,14693157.642799811
120,0000120.bin,6438172.293866503
121,0000121.bin,1181299.6927231431
122,0000122.bin,3714282.3152896194
123,0000123.bin,1167215.48127653
124,0000124.bin,898416.3257554189
125,0000125.bin,1061489.3277407617
126,0000126.bin,798977.1920094445
127,0000127.bin,1439834.8952067823
128,0000128.bin,809917.0451374516
129,0000129.bin,2958179.5784225194
130,0000130.bin,807614.0621933475
131,0000131.bin,815969.654133096
132,0000132.bin,2281729.9219301073
133,0000133.bin,1663216.8639284403
134,0000134.bin,805766.2858263905
135,0000135.bin,1660961.7190547914
136,0000136.bin,1864584.4798748076
137,0000137.bin,3907618.5020265905
138,0000138.bin,2442191.6443801997
139,0000139.bin,1127648.777064997
140,0000140.bin,891971.5206661393
141,0000141.bin,2753069.402995738
142,0000142.bin,813471.8201885769
143,0000143.bin,2327486.0638814
144,0000144.bin,1890896.431703958
145,0000145.bin,2343404.576678115
146,0000146.bin,1116630.1520984948
147,0000147.bin,1066582.438484329
148,0000148.bin,1098679.6118151725
149,0000149.bin,7083681.343293953
150,0000150.bin,2878573.435489136
151,0000151.bin,1045821.2288099347
152,0000152.bin,891787.719882459
153,0000153.bin,1371985.4901545227
154,0000154.bin,861707.1247209812
155,0000155.bin,3564773.089706066
156,0000156.bin,806842.8332736607
157,0000157.bin,816305.0749752325
158,0000158.bin,1108745.6318843544
159,0000159.bin,2184270.820095065
160,0000160.bin,4105127.6178164957
161,0000161.bin,2632427.1541366605
162,0000162.bin,811267.5963915276
163,0000163.bin,809992.5953653458
164,0000164.bin,799784.4813542747
165,0000165.bin,905235.97220923
166,0000166.bin,4416717.751694339
167,0000167.bin,811424.4124766615
168,0000168.bin,1164250.039551261
169,0000169.bin,2398701.9053604333
170,0000170.bin,1682929.238309312
171,0000171.bin,1162252.2712007791
172,0000172.bin,1457040.6370211125
173,0000173.bin,9712442.153053926
174,0000174.bin,1585648.3601905138
175,0000175.bin,1465418.675852421
176,0000176.bin,1298385.780900079
177,0000177.bin,11817007.55817716
178,0000178.bin,1365311.0899215818
179,0000179.bin,1429856.6879890442
180,0000180.bin,798969.3979694279
181,0000181.bin,1043548.0710589607
182,0000182.bin,1040450.7541965429
183,0000183.bin,5376172.813511151
184,0000184.bin,1349772.3373972059
185,0000185.bin,799233.4600451902
186,0000186.bin,797439.1334726581
187,0000187.bin,811329.0480670362
188,0000188.bin,1055446.071552518
189,0000189.bin,2628877.990770492
190,0000190.bin,803713.058564596
191,0000191.bin,2790161.8285670606
192,0000192.bin,1169984.651752773
193,0000193.bin,1753583.008258748
194,0000194.bin,977441.7602122341
195,0000195.bin,2781234.050109553
196,0000196.bin,1202956.3510195345
197,0000197.bin,812397.1779510885
198,0000198.bin,2254052.7314022956
199,0000199.bin,810232.6171576792
200,0000200.bin,3536993.7106529055
201,0000201.bin,911037.0242333164
202,0000202.bin,799440.0540658968
203,0000203.bin,826276.1462492655
204,0000204.bin,798678.4204754749
205,0000205.bin,8226772.233498412
206,0000206.bin,2725201.414367038
207,0000207.bin,9660067.90115908
208,0000208.bin,1124326.991827774
209,0000209.bin,901812.8298339405
210,0000210.bin,7103698.932283926
211,0000211.bin,1743888.469459343
212,0000212.bin,8203643.679395038
213,0000213.bin,1220165.106529358
214,0000214.bin,1807323.1223754615
215,0000215.bin,981418.9375920811
216,0000216.bin,2709868.84018262
217,0000217.bin,1452654.081989932
218,0000218.bin,2548759.5542434184
219,0000219.bin,1197192.0868255824
220,0000220.bin,1643858.0618452758
221,0000221.bin,1280919.6835072667
222,0000222.bin,2451224.036175522
223,0000223.bin,1422246.1369433731
224,0000224.bin,3413223.07267085
225,0000225.bin,3901022.700357723
226,0000226.bin,1882566.9584023238
227,0000227.bin,809156.3814720096
228,0000228.bin,810166.2812170935
229,0000229.bin,1730986.5965711058
230,0000230.bin,1376700.9883167923
231,0000231.bin,989400.2424101437
232,0000232.bin,898620.217842253
233,0000233.bin,1152296.649379152
234,0000234.bin,907332.5343335167
235,0000235.bin,1692180.5560301275
236,0000236.bin,903350.7498100154
237,0000237.bin,2838803.635913494
238,0000238.bin,12029973.88351223
239,0000239.bin,2511419.4167586146
240,0000240.bin,18352405.62435107
241,0000241.bin,902592.7880784458
242,0000242.bin,1105356.0558186204
243,0000243.bin,801769.1210639231
244,0000244.bin,2645014.3902873574
245,0000245.bin,4398327.55827077
246,0000246.bin,1243075.5314313353
247,0000247.bin,3284921.4993953584
248,0000248.bin,969403.9572640957
249,0000249.bin,808436.212174476
250,0000250.bin,797111.783791961
251,0000251.bin,805351.2618555512
252,0000252.bin,810218.0682829815
253,0000253.bin,1203040.318811211
254,0000254.bin,964516.3320897765
255,0000255.bin,1317640.5585284561
256,0000256.bin,5144632.251486349
257,0000257.bin,1982115.83290084
258,0000258.bin,2010414.5028636635
259,0000259.bin,2743677.065109941
260,0000260.bin,1598399.0287014127
261,0000261.bin,1431995.0261821926
262,0000262.bin,1535628.150877747
263,0000263.bin,2516199.4842128335
264,0000264.bin,989355.7990619602
265,0000265.bin,808964.5441670677
266,0000266.bin,3929203.6629954157
267,0000267.bin,886822.7431909974
268,0000268.bin,2501294.369825977
