,runstring,t
0,0000000.bin,100000000.0
1,0000001.bin,76600.38971754214
2,0000002.bin,33586.020679893365
3,0000003.bin,24361.707888702265
4,0000004.bin,25008.35167322161
5,0000005.bin,27009.00872208485
6,0000006.bin,29386.802476474535
7,0000007.bin,44733.81034359858
8,0000008.bin,97429.47641229378
9,0000009.bin,26780.966935322605
10,0000010.bin,27281.529569184742
11,0000011.bin,59669.56010766303
12,0000012.bin,26074.80989094339
13,0000013.bin,30799.08192422024
14,0000014.bin,45646.35854178753
15,0000015.bin,35989.24093762248
16,0000016.bin,190954.46035904452
17,0000017.bin,167657.20150770622
18,0000018.bin,42867.28329600276
19,0000019.bin,29666.66721827192
20,0000020.bin,58686.48280756797
21,0000021.bin,158508.61397032984
22,0000022.bin,64656.34173536253
23,0000023.bin,28930.68426193732
24,0000024.bin,695156.2363775066
25,0000025.bin,30134.28624903351
26,0000026.bin,78633.74788241686
27,0000027.bin,87288.00816822144
28,0000028.bin,47319.173046230615
29,0000029.bin,44285.45171591155
30,0000030.bin,29500.736767323848
31,0000031.bin,23657.00576685746
32,0000032.bin,23733.423840926655
33,0000033.bin,34793.918152567334
34,0000034.bin,44747.73603071364
35,0000035.bin,33695.90197225397
36,0000036.bin,40657.15204319735
37,0000037.bin,23637.433594668386
38,0000038.bin,38938.61140195855
39,0000039.bin,31600.91744574321
40,0000040.bin,122248.2031834839
41,0000041.bin,303739.570182357
42,0000042.bin,73843.83113002799
43,0000043.bin,45597.168303719416
44,0000044.bin,54297.53577745966
45,0000045.bin,25830.10577706089
46,0000046.bin,31973.342973539184
47,0000047.bin,30610.288404874314
48,0000048.bin,33092.143761486965
49,0000049.bin,24637.069298845527
50,0000050.bin,84141.01072629481
51,0000051.bin,24909.624786958142
52,0000052.bin,11143303.49818645
53,0000053.bin,42054.57049648445
54,0000054.bin,65502.3099070959
55,0000055.bin,24987.70562963809
56,0000056.bin,60069.5252405746
57,0000057.bin,32542.321607531267
58,0000058.bin,41080.18809058312
59,0000059.bin,33412.50384715873
60,0000060.bin,30125.7645599034
61,0000061.bin,27233.517125549246
62,0000062.bin,49732.33527461153
63,0000063.bin,29906.417667334885
64,0000064.bin,50870.67359373566
65,0000065.bin,62926.78525207749
66,0000066.bin,24944.05795360582
67,0000067.bin,25169.778792515557
68,0000068.bin,33355.13833008775
69,0000069.bin,23976.95016037654
70,0000070.bin,255173.70179747514
71,0000071.bin,26579.494805319686
72,0000072.bin,23780.327772154982
73,0000073.bin,26145.096505760434
74,0000074.bin,26936.054749288058
75,0000075.bin,40505.70153556792
76,0000076.bin,39286.64965679681
77,0000077.bin,45560.656676308296
78,0000078.bin,59662.97831524546
79,0000079.bin,63344.03625033835
80,0000080.bin,32498.25823934631
81,0000081.bin,35390.67887876408
82,0000082.bin,27061.316651298126
83,0000083.bin,26798.66849282458
84,0000084.bin,34509.48079709038
85,0000085.bin,23311.49630594805
86,0000086.bin,70049.77421142934
87,0000087.bin,24717.33252532709
88,0000088.bin,77440.67676318878
89,0000089.bin,25365.361950355393
90,0000090.bin,22837.953662010652
91,0000091.bin,22916.27699177967
92,0000092.bin,80885.20586340204
93,0000093.bin,241755.57480085015
94,0000094.bin,29326.076781169322
95,0000095.bin,65949.14433022308
96,0000096.bin,37670.09215701754
97,0000097.bin,45512.33246355828
98,0000098.bin,31181.587986718907
99,0000099.bin,206656.2268374753
100,0000100.bin,23894.850960220603
101,0000101.bin,170985.51001023038
102,0000102.bin,24087.385708940725
103,0000103.bin,46727.12349776433
104,0000104.bin,30622.516682365895
105,0000105.bin,81868.59493261161
106,0000106.bin,60452.86268737864
107,0000107.bin,110653.26732753699
108,0000108.bin,25347.69503386614
109,0000109.bin,29479.84823665126
110,0000110.bin,32280.816602477615
111,0000111.bin,53896.323568090025
112,0000112.bin,54648.69172344309
113,0000113.bin,60805.3696328583
114,0000114.bin,35990.86906522051
115,0000115.bin,111374.8396225784
116,0000116.bin,31610.75549335683
117,0000117.bin,25981.48700266487
118,0000118.bin,63655.97856991818
119,0000119.bin,31067.168721691458
120,0000120.bin,37716.095421915044
121,0000121.bin,24405.21700068364
122,0000122.bin,280106.46675237024
123,0000123.bin,44044.73131849231
124,0000124.bin,71733.39671184232
125,0000125.bin,47273.13514032039
126,0000126.bin,38748.25903704004
127,0000127.bin,35301.27042492338
128,0000128.bin,31097.964582003115
129,0000129.bin,62606.702294507515
130,0000130.bin,135301.6988801758
131,0000131.bin,34169.2021291023
132,0000132.bin,101929.72501628437
133,0000133.bin,26036.358366819724
134,0000134.bin,103965.05771888436
135,0000135.bin,30185.970640017753
136,0000136.bin,387867.3825430629
137,0000137.bin,26820.630894891612
138,0000138.bin,26161.16993566438
139,0000139.bin,24483.33248437631
140,0000140.bin,45352.25634376057
141,0000141.bin,215419.9873645005
142,0000142.bin,72411.77166401687
143,0000143.bin,36134.0403708089
144,0000144.bin,33535.54872435446
145,0000145.bin,83025.08514240313
146,0000146.bin,50280.875711096436
147,0000147.bin,23260.78186332008
148,0000148.bin,71120.49327371617
149,0000149.bin,24535.986823716827
150,0000150.bin,54488.40775756903
151,0000151.bin,162015.91258559903
152,0000152.bin,31577.811890256286
153,0000153.bin,41693.16081073471
154,0000154.bin,24010.96763487153
155,0000155.bin,27019.574230965678
156,0000156.bin,60353.89331402611
157,0000157.bin,62903.33328646333
158,0000158.bin,23196.003169526157
159,0000159.bin,80292.15172556676
160,0000160.bin,33608.81446626577
161,0000161.bin,13632044.782762807
162,0000162.bin,159432.31657461592
163,0000163.bin,29787.56435267876
164,0000164.bin,28173.916697968307
165,0000165.bin,24603.01718333781
166,0000166.bin,39841.3561935466
167,0000167.bin,24568.930426817373
168,0000168.bin,54884.181327941
169,0000169.bin,28033.308827321496
170,0000170.bin,88483.19238922569
171,0000171.bin,79896.51671924569
172,0000172.bin,49185.3536836992
173,0000173.bin,71231.44843747122
174,0000174.bin,47145.79477754688
175,0000175.bin,28104.70395454571
176,0000176.bin,25261.265707119703
177,0000177.bin,67765.0608582291
178,0000178.bin,39217.610118437835
179,0000179.bin,51178.14722267409
180,0000180.bin,24550.154997920952
181,0000181.bin,28215.62447728803
182,0000182.bin,68122.93716068099
183,0000183.bin,55896.5995658133
184,0000184.bin,32377.915361143052
185,0000185.bin,111407.88714871711
186,0000186.bin,60213.63185350654
187,0000187.bin,31048.531856845933
188,0000188.bin,84431.16384887123
189,0000189.bin,131516.3714967836
190,0000190.bin,24437.08673238974
191,0000191.bin,28432.269370864073
192,0000192.bin,270018.4149668694
193,0000193.bin,208397.97695723918
194,0000194.bin,28544.229123988116
195,0000195.bin,33739.89605841348
196,0000196.bin,41149.40083400572
197,0000197.bin,63588.98285130992
198,0000198.bin,26949.42618019953
199,0000199.bin,33731.790061436055
200,0000200.bin,142779.4810918471
201,0000201.bin,25863.95004649226
202,0000202.bin,27823.626777302983
203,0000203.bin,72009.13917312554
204,0000204.bin,271819.2280103018
205,0000205.bin,31607.845648288014
206,0000206.bin,43000.16622081211
207,0000207.bin,28470.54768992412
208,0000208.bin,41618.50942831444
209,0000209.bin,42876.60172842552
210,0000210.bin,63409.92345653944
211,0000211.bin,42115.12298672604
212,0000212.bin,35434.63832391087
213,0000213.bin,38617.6970600832
214,0000214.bin,207509.26177580436
215,0000215.bin,25387.39363444787
216,0000216.bin,25109.08773822307
217,0000217.bin,34689.78726831892
218,0000218.bin,24097.84729478338
219,0000219.bin,39212.17147944016
220,0000220.bin,37090.96370629732
221,0000221.bin,24430.816709086692
222,0000222.bin,56840.0821883648
223,0000223.bin,79163.8593001326
224,0000224.bin,22701.745199979792
225,0000225.bin,38503.90133328478
226,0000226.bin,159023.69118852334
227,0000227.bin,34653.34492293325
228,0000228.bin,33375.09155341679
229,0000229.bin,436540.9151835978
230,0000230.bin,210822.64000184447
231,0000231.bin,29665.662628902923
232,0000232.bin,33884.66085058717
233,0000233.bin,23372.845539482296
234,0000234.bin,67815.46353174256
235,0000235.bin,33144.20920361117
236,0000236.bin,45947.87391653743
237,0000237.bin,47995.26169156538
238,0000238.bin,30741.058227907502
239,0000239.bin,27772.150232395084
240,0000240.bin,34653.34492293325
241,0000241.bin,23010.258059299944
242,0000242.bin,44176.12467975453
243,0000243.bin,38013.41923412534
244,0000244.bin,65154.13308820674
245,0000245.bin,26424.30306831606
246,0000246.bin,30364.198650482853
247,0000247.bin,41935.85574587922
248,0000248.bin,26305.588317710834
249,0000249.bin,48942.55482551652
250,0000250.bin,34609.593323862806
251,0000251.bin,55509.936581787755
252,0000252.bin,147962.78118472997
253,0000253.bin,27932.191711180072
254,0000254.bin,60397.85275917289
255,0000255.bin,44559.912459723986
256,0000256.bin,33460.7587778833
257,0000257.bin,40277.174774627536
258,0000258.bin,25690.606418821248
259,0000259.bin,50031.252573407124
260,0000260.bin,26787.756573816514
261,0000261.bin,48690.99179111466
262,0000262.bin,32755.675604898526
263,0000263.bin,31665.696139537133
264,0000264.bin,33115.87285520292
265,0000265.bin,36423.1542630036
266,0000266.bin,31111.647782029104
267,0000267.bin,23162.990284400163
268,0000268.bin,41193.32563813978
269,0000269.bin,72123.4198741021
270,0000270.bin,33008.00074158031
271,0000271.bin,36530.26427434628
272,0000272.bin,63105.35967266983
273,0000273.bin,75193.79139588318
274,0000274.bin,26395.86279686964
275,0000275.bin,113382.77128411368
276,0000276.bin,37420.261173251885
277,0000277.bin,107518.25567601288
278,0000278.bin,46670.00046778242
279,0000279.bin,41597.89802574365
280,0000280.bin,47054.5503500318
281,0000281.bin,23908.880570373833
282,0000282.bin,50962.264431377975
283,0000283.bin,30303.680801253984
284,0000284.bin,32735.72238156949
285,0000285.bin,37563.05142770031
286,0000286.bin,62975.66372103109
287,0000287.bin,32369.774723152907
288,0000288.bin,33509.08299063331
289,0000289.bin,47418.03849654498
290,0000290.bin,29370.347995430624
291,0000291.bin,57648.53414331806
292,0000292.bin,47535.67937575576
293,0000293.bin,25273.28613853494
294,0000294.bin,38957.00577971501
295,0000295.bin,43276.08188715896
296,0000296.bin,23656.13974153936
297,0000297.bin,35356.48819920547
298,0000298.bin,27568.807487705068
299,0000299.bin,59893.8953060638
300,0000300.bin,81528.97444386529
301,0000301.bin,34091.0520043969
302,0000302.bin,88914.68084371612
303,0000303.bin,29826.085158827875
304,0000304.bin,26832.789890357744
305,0000305.bin,36272.56978069227
306,0000306.bin,30676.175611075407
307,0000307.bin,52790.51315991375
308,0000308.bin,29237.29186555765
309,0000309.bin,50822.1415349093
310,0000310.bin,35358.53201895619
311,0000311.bin,44273.46592550904
312,0000312.bin,39010.803272475416
313,0000313.bin,186476.2434391464
314,0000314.bin,23987.30782318102
315,0000315.bin,36269.348166508935
316,0000316.bin,63072.27750551839
317,0000317.bin,27354.10249084157
318,0000318.bin,29095.540841490947
319,0000319.bin,65210.97899008686
320,0000320.bin,75335.78490703895
321,0000321.bin,73492.05164581553
322,0000322.bin,105206.03735870977
323,0000323.bin,66738.92477931808
324,0000324.bin,75360.31074404756
325,0000325.bin,98257.70838551245
326,0000326.bin,82868.64632894144
327,0000327.bin,57467.257723733244
328,0000328.bin,88799.88052754871
329,0000329.bin,59101.75926810356
330,0000330.bin,29324.136884456777
331,0000331.bin,30203.741479545177
332,0000332.bin,60053.27860560703
333,0000333.bin,42824.60556832676
334,0000334.bin,29855.73786571964
335,0000335.bin,24616.18076817294
336,0000336.bin,23568.532620360304
337,0000337.bin,23612.526706519813
338,0000338.bin,117617.0115513965
339,0000339.bin,104682.81950252612
340,0000340.bin,98230.16878039685
341,0000341.bin,55985.10735332318
342,0000342.bin,42330.17439371678
343,0000343.bin,22443.635014173095
344,0000344.bin,42594.831730928316
345,0000345.bin,52186.54710307041
346,0000346.bin,61169.06562544782
347,0000347.bin,41639.22475392341
348,0000348.bin,33191.39026294129
349,0000349.bin,32721.588848378087
350,0000350.bin,36640.526617846845
351,0000351.bin,34135.04609055641
352,0000352.bin,29222.084460971804
353,0000353.bin,23746.171733609095
354,0000354.bin,31994.439350288114
355,0000355.bin,48173.628266081374
356,0000356.bin,89231.0225719119
357,0000357.bin,23386.459457482837
358,0000358.bin,76442.35741749515
359,0000359.bin,23878.1193510749
360,0000360.bin,39862.10616016829
361,0000361.bin,85667.08590083894
362,0000362.bin,47736.63189056782
363,0000363.bin,126994.26441376416
364,0000364.bin,31246.19347544921
365,0000365.bin,30492.786089714427
366,0000366.bin,23634.523749599568
367,0000367.bin,54128.41835334098
368,0000368.bin,45240.98941089101
369,0000369.bin,31799.930063842723
370,0000370.bin,25310.525227213264
371,0000371.bin,119038.3669444759
372,0000372.bin,36165.97938454045
373,0000373.bin,204571.35748667995
374,0000374.bin,41599.595435367126
375,0000375.bin,40354.18174591304
376,0000376.bin,220399.35581547706
377,0000377.bin,24662.32259712134
378,0000378.bin,48170.545215948936
379,0000379.bin,28334.062099791467
380,0000380.bin,39650.103162297266
381,0000381.bin,52061.423765111234
382,0000382.bin,206884.85752145384
383,0000383.bin,51594.35899055323
384,0000384.bin,85442.57749737454
385,0000385.bin,29664.450193457582
386,0000386.bin,27219.93784856143
387,0000387.bin,36226.220105667526
388,0000388.bin,44032.84945112797
389,0000389.bin,112107.77416979328
390,0000390.bin,26556.216044769142
391,0000391.bin,43714.15213406696
392,0000392.bin,52621.257171744175
393,0000393.bin,35759.67494630038
394,0000394.bin,55281.40982084737
395,0000395.bin,30115.0951279844
396,0000396.bin,38675.270423230526
397,0000397.bin,67054.43512320849
398,0000398.bin,41684.25807046464
399,0000399.bin,62636.42428342473
400,0000400.bin,150084.92426521637
401,0000401.bin,27692.926236295243
402,0000402.bin,32352.731344892687
403,0000403.bin,27106.38460885208
404,0000404.bin,23723.274024198516
405,0000405.bin,272251.6517714092
406,0000406.bin,38905.11354265442
407,0000407.bin,25553.185521345047
408,0000408.bin,32368.666210745738
409,0000409.bin,112222.74769102431
410,0000410.bin,34526.90522649056
411,0000411.bin,100524.92802728705
412,0000412.bin,25230.85089794801
413,0000413.bin,41266.210328911126
414,0000414.bin,92750.41090062178
415,0000415.bin,28006.80845258762
416,0000416.bin,39393.27469396136
417,0000417.bin,38593.86404332907
418,0000418.bin,52064.47217423095
419,0000419.bin,26487.31507046106
