,runstring,t
0,0000000.bin,1144054.601068596
1,0000001.bin,365933.87028766057
2,0000002.bin,191198.22873846797
3,0000003.bin,290591.39480382187
4,0000004.bin,424224.24399632873
5,0000005.bin,2681509.2174027166
6,0000006.bin,1377316.6907790774
7,0000007.bin,154618.4658740678
8,0000008.bin,176052.02081055223
9,0000009.bin,294148.5044495662
10,0000010.bin,1852840.3720923574
11,0000011.bin,267495.8508271224
12,0000012.bin,704340.3413209666
13,0000013.bin,76375.702083255
14,0000014.bin,83668.80568429532
15,0000015.bin,2422174.1162186475
16,0000016.bin,236494.9990660544
17,0000017.bin,571947.5580682992
18,0000018.bin,473455.152789404
19,0000019.bin,1112143.5664791246
20,0000020.bin,262883.51774265553
21,0000021.bin,172275.28945246135
22,0000022.bin,194492.34657977457
23,0000023.bin,92919.31377711084
24,0000024.bin,735949.5521533643
25,0000025.bin,524883.7682538361
26,0000026.bin,2581469.7960688225
27,0000027.bin,247095.0029077477
28,0000028.bin,863877.8832505881
29,0000029.bin,629844.5872117158
30,0000030.bin,450598.24824115174
31,0000031.bin,105314.3613904266
32,0000032.bin,551208.4788556513
33,0000033.bin,1543354.9303562162
34,0000034.bin,410939.86701060395
35,0000035.bin,250073.19803350215
36,0000036.bin,180668.9957419362
37,0000037.bin,84946.2835246607
38,0000038.bin,341635.4297871071
39,0000039.bin,173764.73342182493
40,0000040.bin,186834.51158925524
41,0000041.bin,334753.8570918518
42,0000042.bin,555322.5408501509
43,0000043.bin,575384.2914600365
44,0000044.bin,185664.00407187507
45,0000045.bin,452652.26550197025
46,0000046.bin,210607.10704352782
47,0000047.bin,175417.61197144893
48,0000048.bin,223409.11299700878
49,0000049.bin,457962.57301578583
50,0000050.bin,372792.26838897896
51,0000051.bin,602716.0749989715
52,0000052.bin,887247.9543677208
53,0000053.bin,207911.57961063582
54,0000054.bin,551168.7460316669
55,0000055.bin,269424.7460650709
56,0000056.bin,224066.10753902217
57,0000057.bin,157496.16847813182
58,0000058.bin,545317.1437422791
59,0000059.bin,365963.0377138113
60,0000060.bin,1675863.2046408034
61,0000061.bin,394008.97286500764
62,0000062.bin,259856.0982551906
63,0000063.bin,492947.93074545806
64,0000064.bin,129248.93651771692
65,0000065.bin,168639.8919408017
66,0000066.bin,82124.3523648992
67,0000067.bin,244263.92661674652
68,0000068.bin,285090.8408477023
69,0000069.bin,939137.9139906752
70,0000070.bin,1509711.7940653344
71,0000071.bin,380253.79482368316
72,0000072.bin,655555.7772855547
73,0000073.bin,153078.51583899424
74,0000074.bin,704094.7044814951
75,0000075.bin,234960.6261754111
76,0000076.bin,238027.32815842825
77,0000077.bin,217063.53505808447
78,0000078.bin,89825.00319713152
79,0000079.bin,181232.633735878
80,0000080.bin,349487.8066603612
81,0000081.bin,163747.59313406592
82,0000082.bin,1955223.9261036334
83,0000083.bin,581303.9279833436
84,0000084.bin,390183.0171452063
85,0000085.bin,142912.351480807
86,0000086.bin,461166.10556091164
87,0000087.bin,383913.09438290104
88,0000088.bin,577191.3555367354
89,0000089.bin,486932.23570348584
90,0000090.bin,281315.21799036773
91,0000091.bin,470846.05377485655
92,0000092.bin,1490399.3554558796
93,0000093.bin,223557.40961381566
94,0000094.bin,408388.6871605744
95,0000095.bin,100041.67362102873
96,0000096.bin,258884.6012642191
97,0000097.bin,386163.10843369697
98,0000098.bin,156451.57971854025
99,0000099.bin,1481374.1848430964
